variable,label_clean,label,wave,value_labels_sample,n_waves,cluster_id,domains,primary_domain,all_domains
q119,choose between democracy and economic development,choose between democracy and economic development?,"Wave1, Wave2, Wave3, Wave4, Wave5",Economic development is definitely more important = 1; Economic development is somewhat more important = 2; Democracy is somewhat more important = 3,5,-1,['other'],other,other
q139,if people have too many different ways of thinking society will be chaotic,"If people have too many different ways of thinking, society will be chaotic","Wave1, Wave2, Wave3, Wave4, Wave5",Strongly agree = 1; Somewhat agree = 2; Somewhat disagree = 3,5,-1,['other'],other,other
q155,given the chance how willing would you be to go and live in another country,"Given the chance, how willing would you be to go and live in another country?","Wave2, Wave3, Wave4, Wave5, Wave6",Very willing = 1; Willing = 2; Not willing = 3,5,-1,['other'],other,other
q157,relation the united nations or un,Relation: The United Nations or UN,"Wave2, Wave3, Wave4, Wave5, Wave6",Yes = 1; No = 2; Decline to answer = 9,5,-1,['other'],other,other
q158,relation international monetary fund or imf,Relation: International Monetary Fund or IMF,"Wave2, Wave3, Wave4, Wave5, Wave6",Yes = 1; No = 2; Decline to answer = 9,5,-1,['other'],other,other
q159,relation world bank,Relation: World Bank,"Wave2, Wave3, Wave4, Wave5, Wave6",Yes = 1; No = 2; Decline to answer = 9,5,-1,['other'],other,other
q161,impression the united nations or un,Impression: The United Nations or UN,"Wave2, Wave3, Wave4, Wave5, Wave6",Very Bad = 1; ... = 2; ... = 3,5,-1,['other'],other,other
q23,general speaking would you say most people can be trusted or that you must be very careful,"General speaking, would you say ""Most people can be trusted"" or ""that you must be very careful""?","Wave2, Wave3, Wave4, Wave5, Wave6",You must be very careful in dealing with people = 1; Most people can be trusted = 2; Do not understand the question = 7,5,-1,['other'],other,other
q31,would you have a hard time conversing with your friends or co workers about politics if you had differing opinions,Would you have a hard time conversing with your friends or co-workers about politics if you had differing opinions?,"Wave2, Wave3, Wave4, Wave5, Wave6",Very hard = 1; A bit hard = 2; Not too hard = 3,5,-1,['other'],other,other
q34,have you been a victim of car motorcycle or bicycle theft,"Have you been a victim of car, motorcycle or bicycle theft?","Wave2, Wave3, Wave4, Wave5, Wave6",Do not own any kind of vehicle = 0; No = 1; Yes = 2,5,-1,['other'],other,other
q35,have you been a victim of pick pocketing robbery of personal property,Have you been a victim of pick-pocketing/robbery of personal property?,"Wave2, Wave3, Wave4, Wave5, Wave6",Not applicable = 0; No = 1; Yes = 2,5,-1,['other'],other,other
q36,have you been a victim of break in at your home,Have you been a victim of break-in at your home?,"Wave2, Wave3, Wave4, Wave5, Wave6",Not applicable = 0; No = 1; Yes = 2,5,-1,['other'],other,other
q37,have you been a victim of physical violence,Have you been a victim of physical violence?,"Wave2, Wave3, Wave4, Wave5, Wave6",Not applicable = 0; No = 1; Yes = 2,5,-1,['other'],other,other
q40,attend a campaign meeting or rally,Attend a campaign meeting or rally,"Wave2, Wave3, Wave4, Wave5, Wave6",Not applicable = 0; No = 1; Yes = 2,5,-1,['other'],other,other
q44,how easy is it to obtain an identity document,How easy is it to obtain: An identity document,"Wave2, Wave3, Wave4, Wave5, Wave6",Not applicable = 0; Very Difficult = 1; Difficult = 2,5,-1,['other'],other,other
q45,how easy is it to obtain a place in public primary school for a child,How easy is it to obtain: A place in public primary school for a child,"Wave2, Wave3, Wave4, Wave5, Wave6",Not applicable = 0; Very Difficult = 1; Difficult = 2,5,-1,['other'],other,other
q46,how easy is it to obtain medical treatment at a nearby clinic,How easy is it to obtain: Medical treatment at a nearby clinic,"Wave2, Wave3, Wave4, Wave5, Wave6",Not applicable = 0; Very Difficult = 1; Difficult = 2,5,-1,['other'],other,other
q48,how would you describe the present political situation in our country,How would you describe the present political situation in our country,"Wave2, Wave3, Wave4, Wave5, Wave6",Very good = 1; Good = 2; Average = 3,5,-1,['other'],other,other
q53,how much impact do you feel government politics have on your daily life,How much impact do you feel government politics have on your daily life?,"Wave2, Wave3, Wave4, Wave5, Wave6",No impact at all = 1; A little impact = 2; Quite some impact = 3,5,-1,['other'],other,other
q54,among the political parties listed here which party if any do you feel closest to,"Among the political parties listed here, which party if any do you feel closest to?","Wave2, Wave3, Wave4, Wave5, Wave6",Cannot choose = 95; Decline to answer = 96; Do not know = 97,5,-1,['other'],other,other
q55,how close do you feel to the party answer in q54,How close do you feel to the party(answer in Q54)?,"Wave2, Wave3, Wave4, Wave5, Wave6",Not applicable = 0; Just a little close = 1; Somewhat close = 2,5,-1,['other'],other,other
q56,even if parents demands are unreasonable children still should do what they ask,"Even if parents' demands are unreasonable, children still should do what they ask","Wave2, Wave3, Wave4, Wave5, Wave6",Strongly agree = 1; Somewhat agree = 2; Somewhat disagree = 3,5,-1,['other'],other,other
q57,being a student one should not question the authority of their teacher,"Being a student, one should not question the authority of their teacher","Wave2, Wave3, Wave4, Wave5, Wave6",Strongly agree = 1; Somewhat agree = 2; Somewhat disagree = 3,5,-1,['other'],other,other
q59,a person should not insist on his own opinion if his co workers disagree with him,A person should not insist on his own opinion if his co-workers disagree with him,"Wave2, Wave3, Wave4, Wave5, Wave6",Strongly agree = 1; Somewhat agree = 2; Somewhat disagree = 3,5,-1,['other'],other,other
q60,for the sake of the family the individual should put his personal interests second,"For the sake of the family, the individual should put his personal interests second","Wave2, Wave3, Wave4, Wave5, Wave6",Strongly agree = 1; Somewhat agree = 2; Somewhat disagree = 3,5,-1,['other'],other,other
q61,sometimes one has to follow one s own beliefs regardless of what other people think,Sometimes one has to follow one's own beliefs regardless of what other people think,"Wave2, Wave3, Wave4, Wave5, Wave6",Strongly agree = 1; Somewhat agree = 2; Somewhat disagree = 3,5,-1,['other'],other,other
q63,open quarrels criticisms among politicians are harmful to society,Open quarrels (criticisms) among politicians are harmful to society,"Wave2, Wave3, Wave4, Wave5, Wave6",Strongly agree = 1; Somewhat agree = 2; Somewhat disagree = 3,5,-1,['other'],other,other
q64,the relationship between the government and the people should be like that between parents and children,The relationship between the government and the people should be like that between parents and children,"Wave2, Wave3, Wave4, Wave5, Wave6",Strongly agree = 1; Somewhat agree = 2; Somewhat disagree = 3,5,-1,['other'],other,other
q67,how closely do you follow major events in foreign countries the world,How closely do you follow major events in foreign countries/the world?,"Wave2, Wave3, Wave4, Wave5, Wave6",Very closely = 1; Somewhat closely = 2; Not too closely = 3,5,-1,['other'],other,other
q68,have you traveled abroad before if you have how often do you travel abroad,"Have you traveled abroad before? If you have, how often do you travel abroad?","Wave2, Wave3, Wave4, Wave5, Wave6",A few times a year = 1; Almost once a year = 2; Just a few times in my whole life = 3,5,-1,['other'],other,other
q70,we should give up gains in the present for the possibility of larger gains in the future,We should give up gains in the present for the possibility of larger gains in the future,"Wave2, Wave3, Wave4, Wave5, Wave6",Strongly agree = 1; Somewhat agree = 2; Somewhat disagree = 3,5,-1,['other'],other,other
q71,conflict among political groups is not a bad thing for our country,Conflict among political groups is not a bad thing for our country,"Wave2, Wave3, Wave4, Wave5, Wave6",Strongly agree = 1; Somewhat agree = 2; Somewhat disagree = 3,5,-1,['other'],other,other
q73,the best way to deal with complicated political issues should be to leave them to the future,The best way to deal with complicated political issues should be to leave them to the future,"Wave2, Wave3, Wave4, Wave5, Wave6",Strongly agree = 1; Somewhat agree = 2; Somewhat disagree = 3,5,-1,['other'],other,other
q74,political reform should be introduced little by little instead of all at once,Political reform should be introduced little-by-little instead of all-at-once,"Wave2, Wave3, Wave4, Wave5, Wave6",Strongly agree = 1; Somewhat agree = 2; Somewhat disagree = 3,5,-1,['other'],other,other
q77,the most important thing for political leaders is to accomplish their goals even if they have to ignore the established procedure,The most important thing for political leaders is to accomplish their goals even if they have to ignore the established procedure,"Wave2, Wave3, Wave4, Wave5, Wave6",Strongly agree = 1; Somewhat agree = 2; Somewhat disagree = 3,5,-1,['other'],other,other
q86,refused to pay taxes or fees to the government,Refused to pay taxes or fees to the government,"Wave2, Wave3, Wave4, Wave5, Wave6",Once = 1; More than once = 2; Never = 3,5,-1,['other'],other,other
q87,got together with others to raise an issue or sign a petition,Got together with others to raise an issue or sign a petition,"Wave2, Wave3, Wave4, Wave5, Wave6",Once = 1; More than once = 2; Never = 3,5,-1,['other'],other,other
q88,attended a demonstration or protest march,Attended a demonstration or protest march,"Wave2, Wave3, Wave4, Wave5, Wave6",Not applicable = 0; Once = 1; More than once = 2,5,-1,['other'],other,other
q89,used force or violence for a political cause,Used force or violence for a political cause,"Wave2, Wave3, Wave4, Wave5, Wave6",Once = 1; More than once = 2; Never = 3,5,-1,['other'],other,other
q92,people often differ in their views on the characteristic that is essential to democracy if you have to choose only one of the things,People often differ in their views on the characteristic that is essential to democracy. If you have to choose only one of the things,"Wave2, Wave3, Wave4, Wave5, Wave6",No answer = 0; Opportunity to change the government through elections = 1; Freedom to criticize those in power = 2,5,-1,['other'],other,other
q95,where would you place our country during the period of,Where would you place our country during the period of [the name of the most recent government under authoritarian rule]?,"Wave2, Wave3, Wave4, Wave5, Wave6",Complete Dictatorship = 1; ... = 2; ... = 3,5,-1,['other'],other,other
q96,where would you place our country under the present government,Where would you place our country under the present government?,"Wave2, Wave3, Wave4, Wave5, Wave6",Complete Dictatorship = 1; ... = 2; ... = 3,5,-1,['other'],other,other
q99,how satisfied or dissatisfied are you with the government,How satisfied or dissatisfied are you with the [name of present] government?,"Wave2, Wave3, Wave4, Wave5, Wave6",Very satisfied = 1; Somewhat satisfied = 2; Somewhat dissatisfied = 3,5,-1,['other'],other,other
q162,impression international monetary fund or imf,Impression: International Monetary Fund or IMF,"Wave2, Wave4, Wave5, Wave6",Very Bad = 1; ... = 2; ... = 3,4,-1,['other'],other,other
q163,impression world bank,Impression: World Bank,"Wave2, Wave4, Wave5, Wave6",Very Bad = 1; ... = 2; ... = 3,4,-1,['other'],other,other
q164,impression united states,Impression: United States,"Wave2, Wave4, Wave5, Wave6",Very Bad = 1; ... = 2; ... = 3,4,-1,['other'],other,other
q165,impression china,Impression: China,"Wave2, Wave4, Wave5, Wave6",Very Bad = 1; ... = 2; ... = 3,4,-1,['other'],other,other
q166,impression japan,Impression: Japan,"Wave2, Wave4, Wave5, Wave6",Very Bad = 1; ... = 2; ... = 3,4,-1,['other'],other,other
q52,when you get together with your family members or friends how often do you discuss political matters,"When you get together with your family members or friends, how often do you discuss political matters?","Wave2, Wave3, Wave4, Wave5",Frequently = 1; Occasionally = 2; Never = 3,4,-1,['other'],other,other
q91,here is a scale 1 means completely undemocratic and 10 means completely democratic where would you place our country under the present government,q91. Here is a scale: 1 means completely undemocratic and 10 means completely democratic. Where would you place our country under the present government?,"Wave3, Wave4, Wave5, Wave6",Missing = -1; Do not understand the question = 97; Can't choose = 98,4,-1,['other'],other,other
q157a,a does china do more good or harm to the region,q157a. Does China do more good or harm to the region?,"Wave3, Wave5, Wave6",Missing = -1; Not applicable = 0; Much more good than harm = 1,3,-1,['other'],other,other
q167,which country should be a model for our own country s future development,167 Which country should be a model for our own country's future development?,"Wave4, Wave5, Wave6",Missing = -1; United States = 1; China = 2,3,-1,['other'],other,other
q168,how much influence does china have on our country,168 How much influence does China have on our country?,"Wave4, Wave5, Wave6",Missing = -1; A great deal of influence = 1; Some influence = 2,3,-1,['other'],other,other
q169,general speaking the influence china has on our country is,"169 General speaking, the influence China has on our country is?","Wave4, Wave5, Wave6",Missing = -1; Very positive = 1; Positive = 2,3,-1,['other'],other,other
q170,how much influence does the united states have on our country,170 How much influence does the United States have on our country?,"Wave4, Wave5, Wave6",Missing = -1; A great deal of influence = 1; Some influence = 2,3,-1,['other'],other,other
q171,general speaking the influence the united states has on our country is,"171 General speaking, the influence the United States has on our country is?","Wave4, Wave5, Wave6",Missing = -1; Very positive = 1; Positive = 2,3,-1,['other'],other,other
q119_1,_1 personally witnessed,119_1 Personally witnessed,"Wave2, Wave3",Not applicable = 0; Yes = 1; No = 2,2,-1,['other'],other,other
q119_2,_2 told about it by family member,119_2 Told about it by family member,"Wave2, Wave3",Not applicable = 0; Yes = 1; No = 2,2,-1,['other'],other,other
q119_3,_3 told about it by friend,119_3 Told about it by friend,"Wave2, Wave3",Not applicable = 0; Yes = 1; No = 2,2,-1,['other'],other,other
q147a,a political leader should not tolerate the views of those who challenge his political ideals,A political leader should not tolerate the views of those who challenge his political ideals,"Wave1, Wave3",Strongly agree = 1; Somewhat agree = 2; Somewhat disagree = 3,2,-1,['other'],other,other
q156_1,_1 our country should do more to learn from other countries q156 q156a,156_1 Our country should do more to learn from other countries(q156+q156a),"Wave5, Wave6",Missing = -1; Not applicable = 0; Strongly disagree = 1,2,-1,['other'],other,other
q156a,a do you strongly agree or just agree with the chosen statement,156a Do you strongly agree or just agree with the chosen statement?,"Wave5, Wave6",Missing = -1; Not applicable = 0; Strongly agree = 1,2,-1,['other'],other,other
q157_1,_1 our country should do more trade with other countries q157 q157a,157_1 Our country should do more trade with other countries(q157+q157a),"Wave5, Wave6",Missing = -1; Not applicable = 0; Strongly disagree = 1,2,-1,['other'],other,other
q172,how close do you feel to asean asean countries only,172 How close do you feel to ASEAN? (ASEAN countries only),"Wave4, Wave5",Missing = -1; Very close = 1; Close = 2,2,-1,['other'],other,other
q173,as long as a government can solve our country s economic problem it does not matter if it is democratic or not democratic,"173 As long as a government can solve our country's economic problem, it does not matter if it is democratic or not democratic","Wave5, Wave6",Missing = -1; Strongly agree = 1; Somewhat agree = 2,2,-1,['other'],other,other
q174,which country has the most influence in asia,174 Which country has the most influence in Asia?,"Wave5, Wave6",Missing = -1; China = 1; Japan = 2,2,-1,['other'],other,other
q175,does the united states do more good or harm to asia,175 Does the United States do more good or harm to Asia?,"Wave5, Wave6",Missing = -1; Much more good than harm = 1; Somewhat more good than harm = 2,2,-1,['other'],other,other
q176,the influence of the u s on world affairs today is negative or positive,176 The influence of the U.S. on world affairs today is negative or positive?,"Wave5, Wave6",Missing = -1; 1 Highly negative = 1; 2 = 2,2,-1,['other'],other,other
q177,does china do more good or harm to asia,177  Does China do more good or harm to Asia?,"Wave5, Wave6",Missing = -1; Much more good than harm = 1; Somewhat more good than harm = 2,2,-1,['other'],other,other
q178,the infulece of china on world affairs today is negative or positive,178 The infulece of China on world affairs today is negative or positive?,"Wave5, Wave6",Missing = -1; 1 Highly negative = 1; 2 = 2,2,-1,['other'],other,other
q179,in ten years which country will have the most influence in asia,"179 In ten years, which country will have the most influence in Asia?","Wave5, Wave6",Missing = -1; China = 1; Japan = 2,2,-1,['other'],other,other
q180,which country should be a model for our own country s future development,180 Which country should be a model for our own country's future development?,"Wave5, Wave6",Missing = -1; United States = 1; China = 2,2,-1,['other'],other,other
q181,how much influence does china have on our country,181 How much influence does China have on our country?,"Wave5, Wave6",Missing = -1; A great deal of influence = 1; Some influence = 2,2,-1,['other'],other,other
q182,general speaking the influence china has on our country is,"182 General speaking, the influence China has on our country is?","Wave5, Wave6",Missing = -1; Very positive = 1; Positive = 2,2,-1,['other'],other,other
q183,how much influence does the united states have on our country,183 How much influence does the United States have on our country?,"Wave5, Wave6",Missing = -1; A great deal of influence = 1; Some influence = 2,2,-1,['other'],other,other
q184,general speaking the influence the united states has on our country is,"184 General speaking, the influence the United States has on our country is?","Wave5, Wave6",Missing = -1; Very positive = 1; Positive = 2,2,-1,['other'],other,other
q185,which aspect about the asian power s influence and impact you have in mind when answering the above questions,185 Which aspect about the Asian power's influence and impact you have in mind when answering the above questions?,"Wave5, Wave6",Missing = -1; Politics = 1; Economy = 2,2,-1,['other'],other,other
q186,how close do you feel to asean asean countries only,186 How close do you feel to ASEAN?(ASEAN countries only)?,"Wave5, Wave6",Missing = -1; Very close = 1; Close = 2,2,-1,['other'],other,other
q51,in a group we should sacrifice our individual interest for the sake of the group s collective interest,"q51. In a group, we should sacrifice our individual interest for the sake of the group's collective interest.","Wave3, Wave4",Missing = -1; Missing = 0; Strongly agree = 1,2,-1,['other'],other,other
q51a,from q51 which is most important,From Q51 Which is most important,"Wave2, Wave5",Television = 1; Newspaper = 2; Radio = 3,2,-1,['other'],other,other
q74a,a do you strongly agree or just agree with the chosen statement,q74a. Do you strongly agree or just agree with the chosen statement?,"Wave3, Wave4",Missing = -1; Not applicable = 0; Strongly agree = 1,2,-1,['other'],other,other
q75a,a do you strongly agree or just agree with the chosen statement,q75a. Do you strongly agree or just agree with the chosen statement?,"Wave3, Wave4",Missing = -1; Not applicable = 0; Strongly agree = 1,2,-1,['other'],other,other
q76a,a do you strongly agree or just agree with the chosen statement,q76a. Do you strongly agree or just agree with the chosen statement?,"Wave3, Wave4",Missing = -1; Not applicable = 0; Strongly agree = 1,2,-1,['other'],other,other
q77a,a do you strongly agree or just agree with the chosen statement,q77a. Do you strongly agree or just agree with the chosen statement?,"Wave3, Wave4",Missing = -1; Not applicable = 0; Strongly agree = 1,2,-1,['other'],other,other
q79a,a do you strongly agree or just agree with the chosen statement,q79a. Do you strongly agree or just agree with the chosen statement?,"Wave3, Wave4",Missing = -1; Not applicable = 0; Strongly agree = 1,2,-1,['other'],other,other
q82a,a do you strongly agree or just agree with the chosen statement,82a. Do you strongly agree or just agree with the chosen statement?,"Wave4, Wave5",Missing = -1; Not applicable = 0; Strongly agree = 1,2,-1,['other'],other,other
Q106c,c,"106c:(India only) In your opinion, what are the most important problems facing this country that government should address? (1st response)",Wave5,"Missing = -1; (Women) within this Paradigm but no clear answer = 0; Economy, economic growth, economic development = 1",1,-1,['other'],other,other
Q106d,d,"106d:(India only) In your opinion, what are the most important problems facing this country that government should address? (2nd response)",Wave5,"Missing = -1; (Women) within this Paradigm but no clear answer = 0; Economy, economic growth, economic development = 1",1,-1,['other'],other,other
Q106e,e,"106e:(India only) In your opinion, what are the most important problems facing this country that government should address? (3rd response)",Wave5,"Missing = -1; (Women) within this Paradigm but no clear answer = 0; Economy, economic growth, economic development = 1",1,-1,['other'],other,other
q009,how much trust do you have in political parties,How much trust do you have in political parties?,Wave1,Not sure = 0; None at all = 1; Not very much trust = 2,1,-1,['other'],other,other
q018_2,trust state owned enterprises,TRUST STATE OWNED ENTERPRISES,Wave1,Not sure = 0; None at all = 1; Not very much trust = 2,1,-1,['other'],other,other
q018_3,trust private enterprises,TRUST PRIVATE ENTERPRISES,Wave1,Not sure = 0; None at all = 1; Not very much trust = 2,1,-1,['other'],other,other
q018_4,trust foreign enterprises,TRUST FOREIGN ENTERPRISES,Wave1,Not sure = 0; None at all = 1; Not very much trust = 2,1,-1,['other'],other,other
q018_5,trust our country,TRUST OUR COUNTRY,Wave1,Not sure = 0; None at all = 1; Not very much trust = 2,1,-1,['other'],other,other
q018_7,local mp q18_1,Local MP(q18_1),Wave1,none at all = 1; not very much trust = 2; quite a lot of trust = 3,1,-1,['other'],other,other
q023,how often do you discuss politics,How often do you discuss politics?,Wave1,Never = 1; Rarely = 2; Sometimes = 3,1,-1,['other'],other,other
q024,most people can be trusted,most people can be trusted??,Wave1,One can't be too careful in dealing with them = 1; Most people can be trusted = 2; Both = 3,1,-1,['other'],other,other
q026,i have some friends with influence so i don t have to worry too much if i get into a tight spot,"I have some friends with influence, so I don't have to worry too much if I get into a tight spot",Wave1,Applies very well = 1; Applies pretty well = 2; Doesn't apply much = 3,1,-1,['other'],other,other
q029,did you attend a campaign meeting or rally,Did you attend a campaign meeting or rally?,Wave1,No = 1; Yes = 2; Not applicable = 97,1,-1,['other'],other,other
q044,influential_family member relative,Influential_FAMILY MEMBER/RELATIVE,Wave1,No = 1; Yes = 2; Not applicable = 97,1,-1,['other'],other,other
q045,influential_seniors in a clan or extended family,Influential_SENIORS IN A CLAN OR EXTENDED FAMILY,Wave1,No = 1; Yes = 2; Not applicable = 97,1,-1,['other'],other,other
q048,influential_superior at work school,Influential_SUPERIOR AT WORK/SCHOOL,Wave1,No = 1; Yes = 2; Not applicable = 97,1,-1,['other'],other,other
q049,influential_owners of the firm unit that you work for,Influential_OWNERS OF THE FIRM/UNIT THAT YOU WORK FOR,Wave1,No = 1; Yes = 2; Not applicable = 97,1,-1,['other'],other,other
q051,influential_government official whom you know personally,Influential_GOVERNMENT OFFICIAL WHOM YOU KNOW PERSONALLY,Wave1,No = 1; Yes = 2; Not applicable = 97,1,-1,['other'],other,other
q052,influential_government official whom you don t know,Influential_GOVERNMENT OFFICIAL WHOM YOU DON'T KNOW,Wave1,No = 1; Yes = 2; Not applicable = 97,1,-1,['other'],other,other
q053,influential_candidate party activist whom you know personally,Influential_CANDIDATE/PARTY ACTIVIST WHOM YOU KNOW PERSONALLY,Wave1,No = 1; Yes = 2; Not applicable = 97,1,-1,['other'],other,other
q054,influential_candidate party activist whom you don t know,Influential_CANDIDATE/PARTY ACTIVIST WHOM YOU DON'T KNOW,Wave1,No = 1; Yes = 2; Not applicable = 97,1,-1,['other'],other,other
q055,influential_others,Influential_OTHERS,Wave1,No = 1; Yes = 2; Not applicable = 97,1,-1,['other'],other,other
q061,how much impact do you feel government policies have on your daily life,How much impact do you feel government policies have on your daily life?,Wave1,No impact at all = 1; A little impact = 2; Quite some impact = 3,1,-1,['other'],other,other
q062,party feel closest to,party feel closest to,Wave1,Don't know = 97; No answer = 98; Don't feel close to any political party = 99,1,-1,['other'],other,other
q063,closeness,closeness,Wave1,Extent unknown = 0; Just a little close = 1; Somewhat close = 2,1,-1,['other'],other,other
q064,even if parents demands are unreasonable children still should do what they ask,"Even if parents' demands are unreasonable, children still should do what they ask?",Wave1,Strongly agree = 1; Somewhat agree = 2; Somewhat disagree = 3,1,-1,['other'],other,other
q065,when hiring someone even if a stranger is more qualified the opportunity should still be given to relatives and friend,"When hiring someone, even if a stranger is more qualified, the opportunity should still be given to relatives and friend",Wave1,Strongly agree = 1; Somewhat agree = 2; Somewhat disagree = 3,1,-1,['other'],other,other
q067,wealth and poverty success and failure are all determined by fate,"Wealth and poverty, success and failure are all determined by fate?",Wave1,Strongly agree = 1; Somewhat agree = 2; Somewhat disagree = 3,1,-1,['other'],other,other
q068,a person should not insist on his own opinion if his co workers disagree with him,A person should not insist on his own opinion if his co-workers disagree with him?,Wave1,Strongly agree = 1; Somewhat agree = 2; Somewhat disagree = 3,1,-1,['other'],other,other
q069,for the sake of the family the individual should put his personal interests second,"For the sake of the family, the individual should put his personal interests second?",Wave1,Strongly agree = 1; Somewhat agree = 2; Somewhat disagree = 3,1,-1,['other'],other,other
q070,a man will lose face if he works under a female supervisor,A man will lose face if he works under a female supervisor?,Wave1,Strongly agree = 1; Somewhat agree = 2; Somewhat disagree = 3,1,-1,['other'],other,other
q071,if there is a quarrel we should ask an elder to resolve the dispute,"If there is a quarrel, we should ask an elder to resolve the dispute?",Wave1,Strongly agree = 1; Somewhat agree = 2; Somewhat disagree = 3,1,-1,['other'],other,other
q072,when a mother in law and a daughter in law come into conflict even if the mother in law is in the wrong the husband sh,"When a mother-in-law and a daughter-in-law come into conflict, even if the mother-in-law is in the wrong, the husband sh",Wave1,Strongly agree = 1; Somewhat agree = 2; Somewhat disagree = 3,1,-1,['other'],other,other
q079,demonstrated striken or sat in for something,"Demonstrated, striken, or sat-in for something?",Wave1,Once = 1; More than once = 2; Never done = 9,1,-1,['other'],other,other
q087,did you do this alone or with others _demonstration strike sit in,"Did you do this alone or with others?_demonstration, strike, sit-in",Wave1,No = 1; Yes(with others) = 2; Not applicable = 97,1,-1,['other'],other,other
q095,gift or dinner_demonstration strike sit in,"Gift or dinner_demonstration, strike, sit-in",Wave1,No = 1; Yes(with others) = 2; Not applicable = 97,1,-1,['other'],other,other
q097_1,meaning of democracy first,MEANING OF DEMOCRACY FIRST,Wave1,Evaluation = 1; Freedom = 2; Scepticism = 3,1,-1,['other'],other,other
q097_2,meaning of democracy second,MEANING OF DEMOCRACY SECOND,Wave1,Evaluation = 1; Freedom = 2; Scepticism = 3,1,-1,['other'],other,other
q097_3,meaning of democracy third,MEANING OF DEMOCRACY THIRD,Wave1,Evaluation = 1; Freedom = 2; Scepticism = 3,1,-1,['other'],other,other
q099,where would you place our country on this scale during the period of,Where would you place our country on this scale during the period of [name of the most recent government under authoritarian rule]?,Wave1,Complete dictatorship = 1; Complete democracy = 10; NOT APPLICABLE = 97,1,-1,['other'],other,other
q102a,how likely is it that the government will solve the most important problem you identified,How likely is it that the government will solve the most important problem you identified?,Wave2,Not applicable = 0; Very likely = 1; Likely = 2,1,-1,['other'],other,other
q106a,a what are the most important problems facing this country that government should address 2nd response,106a What are the most important problems facing this country that government should address(2nd response)?,Wave5,"Missing = -1; Management of the economy = 1; Wages, incomes and salaries = 2",1,-1,['other'],other,other
q106b,b what are the most important problems facing this country that government should address 3rd response,106b What are the most important problems facing this country that government should address(3rd response)?,Wave5,"Missing = -1; Management of the economy = 1; Wages, incomes and salaries = 2",1,-1,['other'],other,other
q116e,anyone you know personally witnessed,anyone you know personally witnessed ?,Wave1,Personally = 1; Family member = 2; Friend = 3,1,-1,['other'],other,other
q119a,a did you personally witness it or were you told about it by a family member or friend who personally witnessed personally witnessed,119a Did you personally witness it or were you told about it by a family member or friend who personally witnessed? Personally witnessed,Wave6,Missing = -1; Not applicable = 0; Yes = 1,1,-1,['other'],other,other
q119b,b did you personally witness it or were you told about it by a family member or friend who personally witnessed told about it by a family member who personally witnessed,119b Did you personally witness it or were you told about it by a family member or friend who personally witnessed? Told about it by a family member who personally witnessed,Wave6,Missing = -1; Not applicable = 0; Yes = 1,1,-1,['other'],other,other
q119c,c did you personally witness it or were you told about it by a family member or friend who personally witnessed told about it by a friend who personally witnessed,119c Did you personally witness it or were you told about it by a family member or friend who personally witnessed? Told about it by a friend who personally witnessed,Wave6,Missing = -1; Not applicable = 0; Yes = 1,1,-1,['other'],other,other
q127a_1,a_1 did you personally witness it or were you told about it by a family member or friend who personally witnessed personally witnessed,127a_1 Did you personally witness it or were you told about it by a family member or friend who personally witnessed? personally witnessed,Wave5,Missing = -1; Not applicable = 0; Yes = 1,1,-1,['other'],other,other
q127a_2,a_2 did you personally witness it or were you told about it by a family member or friend who personally witnessed told about it by a family member who personally witnessed,127a_2  Did you personally witness it or were you told about it by a family member or friend who personally witnessed? told about it by a family member who personally witnessed,Wave5,Missing = -1; Not applicable = 0; Yes = 1,1,-1,['other'],other,other
q127a_3,a_3 did you personally witness it or were you told about it by a family member or friend who personally witnessed told about it by a friend who personally witnessed,127a_3  Did you personally witness it or were you told about it by a family member or friend who personally witnessed? told about it by a friend who personally witnessed,Wave5,Missing = -1; Not applicable = 0; Yes = 1,1,-1,['other'],other,other
q129a_q131a,sum of q129a_q131a reject all authoritarian options,sum of Q129a_q131a(reject all authoritarian options),Wave3,0 rejection = 0; 1 acceptance/others = 1,1,-1,['other'],other,other
q130a,one poltical party,one poltical party,Wave3,0 rejection = 0; 1 acceptance/others = 1,1,-1,['other'],other,other
q131a,army,army,Wave3,0 rejection = 0; 1 acceptance/others = 1,1,-1,['other'],other,other
q139a,a did you or a member of your family suffer from serious illness or death,139a Did you or a member of your family suffer from serious illness or death?,Wave6,Missing = -1; Not applicable = 0; Yes = 1,1,-1,['other'],other,other
q139b,b did you or a member of your family suffer from loss of job,139b Did you or a member of your family suffer from loss of job,Wave6,Missing = -1; Not applicable = 0; Yes = 1,1,-1,['other'],other,other
q139c,c did you or a member of your family suffer from loss of household income,139c Did you or a member of your family suffer from loss of household income?,Wave6,Missing = -1; Not applicable = 0; Yes = 1,1,-1,['other'],other,other
q139d,d did you or a member of your family suffer from disruption of my kids education,139d Did you or a member of your family suffer from disruption of my kids' education?,Wave6,Missing = -1; Not applicable = 0; Yes = 1,1,-1,['other'],other,other
q141a,government leader,government leader,Wave3,Missing = -1; Strongly agree = 1; Somewhat agree = 2,1,-1,['other'],other,other
q141a_q147a,average rejection of authoritarian values,average rejection of authoritarian values,Wave3,0 acceptance = 0; 1 rejection authoritarian values = 1,1,-1,['other'],other,other
q142a,certain ideas,certain ideas,Wave3,Missing = -1; Strongly agree = 1; Somewhat agree = 2,1,-1,['other'],other,other
