variable,w5_label,w1_label,w2_label,w3_label,w4_label,w6_label,w5_values,w1_values,w2_values,w3_values,w4_values,w6_values,w5_label_present,w1_label_present,w2_label_present,w3_label_present,w4_label_present,w6_label_present,n_waves_present,similar_variables,similarity_scores,suggested_concept_group,suggested_domain
q137,137 We should get rid of parliament and elections and have a strong leader decide things.,"If the government is constantly checked by the legislature, it cannot possibly accomplish great things","When judges decide important cases, they should accept the view of the executive branch","q137. A citizen should always remain loyal only to his country, no matter how imperfect it is or what wrong it has done.",137 You can generally trust the people who run our government to do what is right.,"137 A citizen should always remain loyal only to his country, no matter how imperfect it is or what wrong it has done.",Missing = -1; Strongly agree = 1; Somewhat agree = 2,Strongly agree = 1; Somewhat agree = 2; Somewhat disagree = 3,Strongly agree = 1; Somewhat agree = 2; Somewhat disagree = 3,Missing = -1; Strongly agree = 1; Somewhat agree = 2,Missing = -1; Strongly agree = 1; Agree = 2,Missing = -1; Not applicable = 0; Strongly agree = 1,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,6,NA,NA,NA,governance; legislature
q138,138 Only one political party should be allowed to stand for election and hold office,"If we have political leaders who are morally upright, we can let them decide everything","If the government is constantly checked by the legislature, it cannot possibly accomplish great things","q138. I have here other statements. For each statement, would you say you strongly agree, somewhat agree, somewhat disagree, or strongly disagree? The government should consult religious authorities when interpreting the laws.","138 A citizen should always remain loyal only to his country, no matter how imperfect it is or what wrong it has done.",138 Have you or your family members previously contracted the Covid-19 virus?,Missing = -1; Strongly agree = 1; Somewhat agree = 2,Strongly agree = 1; Somewhat agree = 2; Somewhat disagree = 3,Strongly agree = 1; Somewhat agree = 2; Somewhat disagree = 3,Missing = -1; Strongly agree = 1; Somewhat agree = 2,Missing = -1; Strongly agree = 1; Agree = 2,Missing = -1; Not applicable = 0; Yes = 1,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,6,NA,NA,NA,politics; values
q140,140 We should get rid of elections and parliaments and have experts make decisions on behalf of the people.,The government should maintain ownership of major state-owned enterprises,"If people have too many different ways of thinking, society will be chaotic",q140. People with little or no education should have as much say in politics as highly-educated people.,140 The government should consult religious authorities when interpreting the laws,"140 Thinking of the negative impact of Covid-19 on your family's livelihood, how serious it is in your view?",Missing = -1; Strongly agree = 1; Somewhat agree = 2,Strongly agree = 1; Somewhat agree = 2; Somewhat disagree = 3,Strongly agree = 1; Somewhat agree = 2; Somewhat disagree = 3,Missing = -1; Strongly agree = 1; Somewhat agree = 2,Missing = -1; Strongly agree = 1; Agree = 2,Missing = -1; Not applicable = 0; Very serious impact = 1,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,6,NA,NA,NA,governance
q141,141 I think I have the ability to participate in politics,The national government should have more authority over local decisions than it does now,"When the country is facing a difficult situation, it is ok for the government to disregard the law in order to deal with the situation",q141. Government leaders are like the head of a family; we should all follow their decisions.,141 People with little or no education should have as much say in politics as highly-educated people,141 How much do you trust the Covid-19 related information provided by the government?,Missing = -1; Strongly agree = 1; Somewhat agree = 2,Strongly agree = 1; Somewhat agree = 2; Somewhat disagree = 3,Strongly agree = 1; Somewhat agree = 2; Somewhat disagree = 3,Missing = -1; Strongly agree = 1; Somewhat agree = 2,Missing = -1; Strongly agree = 1; Agree = 2,Missing = -1; Not applicable = 0; A great deal of trust = 1,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,6,NA,NA,NA,governance
q142,142 Sometimes politics and government seems so complicated that a person like me can't really understand what is going on,Our country should defend our way of life instead of becoming more and more like other countries,The government should maintain ownership of major state-owned enterprises,q142. The government should decide whether certain ideas should be allowed to be discussed in society.,142 Government leaders are like the head of a family; we should all follow their decisions,142 How well or badly do you think the government handled the pandemic?,Missing = -1; Strongly agree = 1; Somewhat agree = 2,Strongly disagree = 1; Somewhat disagree = 2; Somewhat agree = 3,Strongly agree = 1; Somewhat agree = 2; Somewhat disagree = 3,Missing = -1; Strongly agree = 1; Somewhat agree = 2,Missing = -1; Strongly agree = 1; Agree = 2,Missing = -1; Not applicable = 0; Very well = 1,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,6,NA,NA,NA,other
q144,144 You can generally trust the people who run our government to do what is right,"The state is like a big machine and the individual is but a small cog, with no independent status",Our country should defend our way of life instead of becoming more and more like other countries,"q144. When judges decide important cases, they should accept the view of the executive branch.",144 Harmony of the community will be disrupted if people organize lots of groups,144 Have you been vaccinated against Covid-19?,Missing = -1; Strongly agree = 1; Somewhat agree = 2,Strongly agree = 1; Somewhat agree = 2; Somewhat disagree = 3,Strongly agree = 1; Somewhat agree = 2; Somewhat disagree = 3,Missing = -1; Strongly agree = 1; Somewhat agree = 2,Missing = -1; Strongly agree = 1; Agree = 2,Missing = -1; Not applicable = 0; Yes = 1,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,6,NA,NA,NA,other
q145,"145 A citizen should always remain loyal only to his country, no matter how imperfect it is or what wrong it has done.",The most important thing for a political leader is to accomplish his goals even if he has to ignore the established proc,"In order to preserve social justice, the government should prevent the gap between rich and poor from growing any larger","q145. If the government is constantly checked [i.e. monitored and supervised] by the legislature, it cannot possibly accomplish great things.","145 When judges decide important cases, they should accept the view of the executive branch",145 Why do you prefer not to be vaccinated against Covid-19?,Missing = -1; Strongly agree = 1; Somewhat agree = 2,Strongly agree = 1; Somewhat agree = 2; Somewhat disagree = 3,Strongly agree = 1; Somewhat agree = 2; Somewhat disagree = 3,Missing = -1; Strongly agree = 1; Somewhat agree = 2,Missing = -1; Strongly agree = 1; Agree = 2,Missing = -1; Not applicable = 0; I'm worried about the side effects = 1,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,6,q77; q77,0.851; 0.851,"q145, q77",politics
q146,146 Women should not be involved in politics as much as men,"If a political leader really believes in his position, he should refuse to compromise regardless of how many people disa",Our country should become more self-sufficient and less reliant on trade with other countries,"q146. If we have political leaders who are morally upright, we can let them decide everything.","146 If the government is constantly checked [i.e. monitored and supervised] by the legislature, it cannot possibly accomplish great things",146 I have here other statements: Women should not be involved in politics as much as men,Missing = -1; Strongly agree = 1; Somewhat agree = 2,Strongly agree = 1; Somewhat agree = 2; Somewhat disagree = 3,Strongly agree = 1; Somewhat agree = 2; Somewhat disagree = 3,Missing = -1; Strongly agree = 1; Somewhat agree = 2,Missing = -1; Strongly agree = 1; Agree = 2,Missing = -1; Not applicable = 0; Strongly agree = 1,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,6,NA,NA,NA,politics
q147,147 The government should consult religious authorities when interpreting the laws,A political leader should tolerate the views of those who challenge his political ideals,Let us suppose that you had to choose between being a..... which of these do you feel most strongly attached to,"q147. If people have too many different ways of thinking, society will be chaotic.","147 If we have political leaders who are morally upright, we can let them decide everything",147 The government should consult religious authorities when interpreting the laws.,Missing = -1; Strongly agree = 1; Somewhat agree = 2,Strongly disagree = 1; Somewhat disagree = 2; Somewhat agree = 3,"R""s Citizenship = 1; R""s ethnic/regional group = 2; R""S another identity = 3",Missing = -1; Strongly agree = 1; Somewhat agree = 2,Missing = -1; Strongly agree = 1; Agree = 2,Missing = -1; Not applicable = 0; Strongly agree = 1,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,6,q147a; q147a,0.895; 0.895,"q147, q147a",politics
q148,148 People with little or no education should have as much say in politics as highly-educated people,"As long as a political leader enjoys majority support, he should implement his own agenda and disregard the view of the",These people should have the equal right to do whatever they want to do as other citizens,"q148. When the country is facing a difficult situation, it is ok for the government to disregard the law in order to deal with the situation.","148 If people have too many different ways of thinking, society will be chaotic",148 People with little or no education should have as much say in politics as highly-educated people.,Missing = -1; Strongly agree = 1; Somewhat agree = 2,Strongly agree = 1; Somewhat agree = 2; Somewhat disagree = 3,Strongly agree = 1; Somewhat agree = 2; Somewhat disagree = 3,Missing = -1; Strongly agree = 1; Somewhat agree = 2,Missing = -1; Strongly agree = 1; Agree = 2,Missing = -1; Not applicable = 0; Strongly agree = 1,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,6,NA,NA,NA,politics; demographics
q1,1. How would you rate the overall economic condition of our country today?,NA,How would you rate the overall economic condition of our country today?,q1. How would you rate the overall economic condition of our country today?  Is it …,1. How would you rate the overll economic condition of our country today?,1 How would you rate the overall economic condition of our country today?,Missing = -1; Very good = 1; Good = 2,NA,Very bad = 1; Bad = 2; So so (not good nor bad) = 3,Missing = -1; Very good = 1; Good = 2,Missing = -1; Very good = 1; Good = 2,Very good = 1; Good = 2; So-so [not good nor bad] = 3,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,5,q001; q001,1; 1,"q001, q1",NA
q10,10 Political parties[not any specific party],NA,Trust in Political parties,q10. Political parties [not any specific party],10 Political parties,10 Political parties [not any specific party],Missing = -1; Trust fully = 1; Trust a lot = 2,NA,None at all = 1; Not Very Much Trust = 2; Quite a Lot of Trust = 3,Missing = -1; A great deal of trust = 1; Quite a lot of trust = 2,Mssing = -1; A great deal of trust = 1; Quite a lot of trust = 2,Missing = -1; Not applicable = 0; A great deal of trust = 1,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,5,NA,NA,NA,NA
q11,11 Parliament,NA,Trust in Parliament,q11. Parliament,11 Parliament,11 Parliament,Missing = -1; Trust fully = 1; Trust a lot = 2,NA,None at all = 1; Not Very Much Trust = 2; Quite a Lot of Trust = 3,Missing = -1; A great deal of trust = 1; Quite a lot of trust = 2,Mssing = -1; A great deal of trust = 1; Quite a lot of trust = 2,Missing = -1; Not applicable = 0; A great deal of trust = 1,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,5,NA,NA,NA,NA
q119,119 How often do you think our elections offer the voters a real choice between different parties/candidates?,choose between democracy and economic development?,Have you or anyone you know personally witnessed an act of corruption or bribe-taking by a politician or government official in the past year?,q119. Have you or anyone you know personally witnessed an act of corruption or bribe-taking by a politician or government official in the past year? IF WITNESSED: Did you personally witness it or were you told about it by a family member or friend who per,"119 In your opinion, is the government working to crack down on corruption and root out bribery?",NA,Missing = -1; Always = 1; Most of the time = 2,Economic development is definitely more important = 1; Economic development is somewhat more important = 2; Democracy is somewhat more important = 3,Witnessed = 1; Never witnessed = 2; Do not understand the question = 7,Missing = -1; Not applicable = 0; Witnessed = 1,Missing = -1; It is doing its best = 1; It is doing something = 2,NA,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,5,NA,NA,NA,economic; democracy
q12,12 Civil service,NA,Trust in Civil service,q12. Civil service,12 Civil service,12 Civil Service,Missing = -1; Trust fully = 1; Trust a lot = 2,NA,None at all = 1; Not Very Much Trust = 2; Quite a Lot of Trust = 3,Missing = -1; A great deal of trust = 1; Quite a lot of trust = 2,Mssing = -1; A great deal of trust = 1; Quite a lot of trust = 2,Missing = -1; Not applicable = 0; A great deal of trust = 1,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,5,NA,NA,NA,NA
q13,13 The military or armed force,NA,Trust in the military(or armed forces),q13. The military(or armed forces),13 The military,13 The military or armed forces,Missing = -1; Trust fully = 1; Trust a lot = 2,NA,None at all = 1; Not Very Much Trust = 2; Quite a Lot of Trust = 3,Missing = -1; A great deal of trust = 1; Quite a lot of trust = 2,Mssing = -1; A great deal of trust = 1; Quite a lot of trust = 2,Missing = -1; Not applicable = 0; A great deal of trust = 1,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,5,NA,NA,NA,NA
q139,139 The army (military) should come in to govern the country,"If people have too many different ways of thinking, society will be chaotic","If we have political leaders who are morally upright, we can let them decide everything",q139. Women should not be involved in politics as much as men.,139 Women should not be involved in politics as much as men,NA,Missing = -1; Strongly agree = 1; Somewhat agree = 2,Strongly agree = 1; Somewhat agree = 2; Somewhat disagree = 3,Strongly agree = 1; Somewhat agree = 2; Somewhat disagree = 3,Missing = -1; Strongly agree = 1; Somewhat agree = 2,Missing = -1; Strongly agree = 1; Agree = 2,NA,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,5,NA,NA,NA,other
q14,14 The police,NA,Trust in the police,q14. The police,14 The police,14 The police,Missing = -1; Trust fully = 1; Trust a lot = 2,NA,None at all = 1; Not Very Much Trust = 2; Quite a Lot of Trust = 3,Missing = -1; A great deal of trust = 1; Quite a lot of trust = 2,Mssing = -1; A great deal of trust = 1; Quite a lot of trust = 2,Missing = -1; Not applicable = 0; A great deal of trust = 1,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,5,q8; q8; q17; q17,0.837; 0.837; 0.826; 0.826,"q14, q17, q8",NA
q143,143 People like me don`t have any influence over what the government does,"For the sake of the national community/society, the individual should be prepared to sacrifice his personal interest",The local government should have more authority over local decisions than it does now,q143. Harmony of the community will be disrupted if people organize lots of groups.,143 The government should decide whether certain ideas should be allowed to be discussed in society,NA,Missing = -1; Strongly agree = 1; Somewhat agree = 2,Strongly agree = 1; Somewhat agree = 2; Somewhat disagree = 3,Strongly agree = 1; Somewhat agree = 2; Somewhat disagree = 3,Missing = -1; Strongly agree = 1; Somewhat agree = 2,Missing = -1; Strongly agree = 1; Agree = 2,NA,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,5,q76; q76,0.936; 0.936,"q143, q76",local_govt
q149,149 Government leaders are like the head of a family; we should all follow their decisions,NA,They should enjoy the same right as other citizens to vote in the election of the top leader,q149. How closely do you follow major events in foreign countries / the world?,"149 When the country is facing a difficult situation, it is ok for the government to disregard the law in order to deal with the situation",149 Government leaders are like the head of a family; we should all follow their decisions.,Missing = -1; Strongly agree = 1; Somewhat agree = 2,NA,Strongly agree = 1; Somewhat agree = 2; Somewhat disagree = 3,Missing = -1; Very closely = 1; Somewhat closely = 2,Missing = -1; Strongly agree = 1; Agree = 2,Missing = -1; Not applicable = 0; Strongly agree = 1,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,5,NA,NA,NA,NA
q15,15 Local government,NA,Trust in local government,q15. Local government,15 Local government,15 Local government,Missing = -1; Trust fully = 1; Trust a lot = 2,NA,None at all = 1; Not Very Much Trust = 2; Quite a Lot of Trust = 3,Missing = -1; A great deal of trust = 1; Quite a lot of trust = 2,Mssing = -1; A great deal of trust = 1; Quite a lot of trust = 2,Missing = -1; Not applicable = 0; A great deal of trust = 1,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,5,NA,NA,NA,NA
q150,150 The government should decide whether certain ideas should be allowed to be discussed in society,NA,Their basic well-being should be taken care of by the government to the same extent as other citizens,"q150. How often do you watch or listen to foreign programs (television, DVDs, movies, radio)?",150 How closely do you follow major events in foreign countries/ the world?,150 The government should decide whether certain ideas should be allowed to be discussed in society.,Missing = -1; Strongly agree = 1; Somewhat agree = 2,NA,Strongly agree = 1; Somewhat agree = 2; Somewhat disagree = 3,Missing = -1; Almost daily = 1; At least once a week = 2,Missing = -1; Very closely = 1; Somewhat closely = 2,Missing = -1; Not applicable = 0; Strongly agree = 1,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,5,NA,NA,NA,NA
q151,151 Harmony of the community will be disrupted if people organize lots of groups,NA,A citizen who does not actively participate in the affairs of his local and national community is not performing his duties,q151. Our country should defend our way of life instead of becoming more and more like other countries.,151 Our country should defend our way of life instead of becoming more and more like other countries.,151 Harmony of the community will be disrupted if people organize lots of groups.,Missing = -1; Strongly agree = 1; Somewhat agree = 2,NA,Strongly agree = 1; Somewhat agree = 2; Somewhat disagree = 3,Missing = -1; Strongly agree = 1; Somewhat Agree = 2,Missing = -1; Strongly agree = 1; Agree = 2,Missing = -1; Not applicable = 0; Strongly agree = 1,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,5,NA,NA,NA,NA
q152,"152 When judges decide important cases, they should accept the view of the executive branch",NA,"Citizens should always obey laws and regulations, even if they disagree with them","q152. Do you agree or disagree with the following statement: ""We should protect our farmers and workers by limiting the import of foreign goods.""","152 Do you agree or disagree with the following statement: ""We should protect our farmers and workers by limiting the import of foreign goods.""","152 When judges decide important cases, they should accept the view of the executive branch.",Missing = -1; Strongly agree = 1; Somewhat agree = 2,NA,Strongly agree = 1; Somewhat agree = 2; Somewhat disagree = 3,Missing = -1; Strongly agree = 1; Agree = 2,Missing = -1; Strongly agree = 1; Agree = 2,Missing = -1; Not applicable = 0; Strongly agree = 1,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,5,NA,NA,NA,NA
q153,"153 If the government is constantly checked [i.e. monitored and supervised] by the legislature, it cannot possibly accomplish great things",NA,"Do you agree or disagree with the following statement: ""A citizen should always remain loyal only to his country, no matter how imperfect","q153. Do you agree or disagree with the following statement: ""Foreign goods are hurting the local community.""",153 Do you think the government should increase or decrease the inflow of foreign immigrants into the country?,"153 If the government is constantly checked by the legislature, it cannot possibly accomplish great things.",Missing = -1; Strongly agree = 1; Somewhat agree = 2,NA,Strongly agree = 1; Somewhat agree = 2; Somewhat disagree = 3,Missing = -1; Strongly agree = 1; Agree = 2,Missing = -1; The government should increase the inflow of immigrants = 1; The government should maintain the current inflow of immigrants = 2,Missing = -1; Not applicable = 0; Strongly agree = 1,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,5,q30; q30,0.824; 0.824,"q153, q30",NA
q154,"154 If we have political leaders who are morally upright, we can let them decide everything",NA,How proud are you to be a citizen of [Country],q154. How proud are you to be a citizen of (COUNTRY)?,154 Which of these statements comes closer to your view?,"154 If we have political leaders who are morally upright, we can let them decide everything.",Missing = -1; Strongly agree = 1; Somewhat agree = 2,NA,Very proud = 1; Somewhat proud = 2; Not very proud = 3,Missing = -1; Very proud = 1; Somewhat proud = 2,Misisng = -1; Protecting the environment should be given priority = 1; Economic growth and creating jobs should be the top priority = 2,Missing = -1; Not applicable = 0; Strongly agree = 1,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,5,NA,NA,NA,NA
q155,"155 If people have too many different ways of thinking, society will be chaotic",NA,"Given the chance, how willing would you be to go and live in another country?","q155. Given the chance, how willing would you be to go and live in another country?",155 How fair do you think income distribution is in the country?,"155 If people have too many different ways of thinking, society will be chaotic.",Missing = -1; Strongly agree = 1; Somewhat agree = 2,NA,Very willing = 1; Willing = 2; Not willing = 3,Missing = -1; Very willing = 1; Willing = 2,Missing = -1; Very fair = 1; Fair = 2,Missing = -1; Not applicable = 0; Strongly agree = 1,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,5,NA,NA,NA,NA
q156,156 Which of the following statements do you agree with the most? distinct way of life vs. learning from other countries,NA,Relation: The European Community or European Union,q156. Which country has the most influence in Asia?,156 It is the responsibility of the government to reduce the differences between people with high income and those with low incomes.,156 Choose one statement.,Missing = -1; 1 Our country should do more to defend our way of life = 1; 2 Our country should do more to learn from other countries even if we might lose our country's distinct way of life(or c = 2,NA,Yes = 1; No = 2; Decline to answer = 9,Missing = -1; China = 1; Japan = 2,Missing = -1; Strongly agree = 1; Agree = 2,Missing = -1; Not applicable = 0; Our country should do more to defend our way of life = 1,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,5,q160; q160,0.806; 0.806,"q156, q160",NA
q157,157 Which of the following statements do you agree with the most? limit or import of foreign goods,NA,Relation: The United Nations or UN,"q157. Does (answer in Q156) do more good or harm to the region? Ask Q157a if the answer in Q156 is not China, otherwise skip to Q158",157 How concerned are you about the loss of your major source of income within the next 12 months?,157 Choose one statement.,Missing = -1; Our country should limit the imports of foreign goods to protect our farmers and workers = 1; Our country should do more trade with other countries even if the rise of imports might harm our workers and farmers = 2,NA,Yes = 1; No = 2; Decline to answer = 9,Missing = -1; Not applicable = 0; Much more good than harm = 1,Missing = -1; Not at all = 1; A little bit = 2,Missing = -1; Not applicable = 0; Our country should limit the imports of foreign goods to protect our farmers and workers = 1,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,5,q161; q161,0.9; 0.9,"q157, q161",NA
q158,158 Do you think the government should increase or decrease the inflow of foreigners who come to work in our country?,NA,Relation: International Monetary Fund or IMF,"q158. In ten years, which country will have the most influence in Asia?","158 The following is a hypothetical question: If you were unfortunate enough to lose your main source of income, how serious would it be for you and your family?",158 Do you think the government should increase or decrease the inflow of foreign immigrants into the country.,Missing = -1; The government should increase the inflow of foreigners = 1; The government should maintain the current inflow of foreigners = 2,NA,Yes = 1; No = 2; Decline to answer = 9,Missing = -1; China = 1; Japan = 2,"Missing = -1; It would be serious, and we would have difficulty coping = 1; It would be serious, but we could deal with it = 2",Missing = -1; Not applicable = 0; To increase the flow = 1,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,5,NA,NA,NA,NA
q159,159 How fair do you think income distribution is in the country?,NA,Relation: World Bank,q159. Which country should be a model for our own country's future development?,"159 Considering all the effort that you and your family members have made in the past, do you think the income that your family currently receives is fair or not fair-4 categories?",159 How fair do you think income distribution in Mongolia,Missing = -1; Very fair = 1; Fair = 2,NA,Yes = 1; No = 2; Decline to answer = 9,Missing = -1; United States = 1; China = 2,Missing = -1; Very fair = 1; Fair = 2,Missing = -1; Not applicable = 0; Very fair = 1,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,5,q163; q163,0.837; 0.837,"q159, q163",NA
q16,16 The election commission,NA,Trust in newspaper,q16. Newspapers,16 Newspaper,16 The election commission,Missing = -1; Trust fully = 1; Trust a lot = 2,NA,None at all = 1; Not Very Much Trust = 2; Quite a Lot of Trust = 3,Missing = -1; A great deal of trust = 1; Quite a lot of trust = 2,Mssing = -1; A great deal of trust = 1; Quite a lot of trust = 2,Missing = -1; Not applicable = 0; A great deal of trust = 1,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,5,q19; q19,0.819; 0.819,"q16, q19",NA
q161,161 How worried are you that your family might lose its major source of income within the next 12 months?,NA,Impression: The United Nations or UN,"q161. General speaking, the influence China has on our country is?",161 How proud are you to be a citizen of the country? Are you?,161 How worried are you that your family might lose its major source of income within the next 12 months?,Missing = -1; Very worried = 1; Somewhat worried = 2,NA,Very Bad = 1; ... = 2; ... = 3,Missing = -1; Not applicable = 0; Very positive = 1,Missing = -1; Very proud = 1; Somewhat proud = 2,Missing = -1; Not applicable = 0; Very worried = 1,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,5,q157; q157,0.9; 0.9,"q157, q161",NA
q17,17 Non-government organizations or NGOs,NA,Trust in television,q17. Television,17 Television,17 Non-government organizations or NGOs,Missing = -1; Trust fully = 1; Trust a lot = 2,NA,None at all = 1; Not Very Much Trust = 2; Quite a Lot of Trust = 3,Missing = -1; A great deal of trust = 1; Quite a lot of trust = 2,Mssing = -1; A great deal of trust = 1; Quite a lot of trust = 2,Missing = -1; Not applicable = 0; A great deal of trust = 1,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,5,q14; q14,0.826; 0.826,"q14, q17",NA
q18,18. Name of the organization you belong to. First,NA,Trust in the election commission(Singapore: International TV),q18. The election commission [specify institution by name] <Optional>,18 The election commission,18 Name of the organization you belong to. First,Missing = -1; Not applicable = 0; Political parties = 1,NA,None at all = 1; Not Very Much Trust = 2; Quite a Lot of Trust = 3,Missing = -1; A great deal of trust = 1; Quite a lot of trust = 2,Mssing = -1; A great deal of trust = 1; Quite a lot of trust = 2,Missing = -1; Not applicable = 0; Political parties = 1,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,5,NA,NA,NA,NA
q19,19. Name of the organization you belong to. Second,NA,Trust in NGOs,q19. Non-governmental organizations or NGOs <Optional>,19 Non-government organizations or NGOs,19 Name of the organization you belong to. Second,Missing = -1; Not applicable = 0; Political parties = 1,NA,None at all = 1; Not Very Much Trust = 2; Quite a Lot of Trust = 3,Missing = -1; A great deal of trust = 1; Quite a lot of trust = 2,Mssing = -1; A great deal of trust = 1; Quite a lot of trust = 2,Missing = -1; Not applicable = 0; Political parties = 1,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,5,q16; q16; q8; q8,0.819; 0.819; 0.808; 0.808,"q16, q19, q8",NA
q2,2. How would you dsecribe the change in the economic condition of our country over the last few years?,NA,How would you describe the change in the economic condition of our country over the last years?,q2. How would you describe the change in the economic condition of our country over the last few years,2. How would you dsecribe the change in the economic condition of our country over the last few years?,2 How would you describe the change in the economic condition of our country over the last few years?,Missing = -1; Much better = 1; A little better = 2,NA,Much worse = 1; A little worse = 2; About the same = 3,Missing = -1; Much better = 1; A little better = 2,Missing = -1; Much better = 1; A little better = 2,Missing = -1; Not applicable = 0; Much better = 1,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,5,q002; q002,0.973; 0.973,"q002, q2",NA
q20,20. Name of the organization that you belong to. Third,NA,Are you a member of any organization or formal groups?,q20. Could you identity the three most important organizations or formal groups you belong to. First Organization,20. Name of the organization you belong to. First,20 Name of the organization that you belong to. Third,Missing = -1; Not applicable = 0; Political parties = 1,NA,Yes = 1; No = 2; Can't choose = 8,Missing = -1; Political parties = 1; Residential & community associations = 2,Missing = -1; Not applicable = 0; Political parties = 1,Missing = -1; Not applicable = 0; Political parties = 1,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,5,NA,NA,NA,NA
q23,23 Do you agree with the statement that 'most people are trustworthy?',NA,"General speaking, would you say ""Most people can be trusted"" or ""that you must be very careful""?","q23. General speaking, would you say that ""Most people can be trusted"" or ""that you must be very careful in dealing with people""?","23 Would you say that ""Most people can be trusted"" or ""that you must be very careful in dealing with people""?",23 Do you agree with the statement that 'most people are trustworthy?',Missing = -1; Strongly agree = 1; Somewhat agree = 2,NA,You must be very careful in dealing with people = 1; Most people can be trusted = 2; Do not understand the question = 7,Missing = -1; Most people can be trusted = 1; You must be very careful in dealing with people = 2,Mising = -1; Most people can be trusted = 1; You must be very careful in dealing with people = 2,Missing = -1; Not applicable = 0; Strongly agree = 1,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,5,NA,NA,NA,NA
q24,24 How much trust do you have in each of the following types of people? Your relatives,NA,How much trust do you have in your relatives?,"q24. Do you think most people would try to take advantage of you if they got a chance, or would they try to be fair? (NEW)",24. Do you ageee with the statement 'Most people are trustworthy',24 How much trust do you have in each of the following types of people? Your relatives,Missing = -1; Trust fully = 1; Trust a lot = 2,NA,None at all = 1; Not Very Much Trust = 2; Quite a Lot of Trust = 3,Missing = -1; Most people would try to take advantage of you if they got a = 1; Most people would try to be fair = 2,Mising = -1; Strongly agree = 1; Somewhat agree = 2,Missing = -1; Not applicable = 0; A great deal of trust = 1,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,5,q016; q016; q25; q25; q012,0.912; 0.912; 0.911; 0.911; 0.901,"q012, q016, q24, q25",NA
q25,25 Trust in your neighbors,NA,How much trust do you have in your neighbors?,q25. How much trust do you have in each of the following types of people?   Your relatives,"25 Do you think most people would try to take advantage of you if they got a chance, or would they try to be fair?",25 Trust in your neighbors,Missing = -1; Trust fully = 1; Trust a lot = 2,NA,None at all = 1; Not Very Much Trust = 2; Quite a Lot of Trust = 3,Missing = -1; A great deal of Trust = 1; Quite a lot of Trust = 2,Missing = -1; Most people would try to take advantage of you if they got a = 1; Most people would try to be fair = 2,Missing = -1; Not applicable = 0; A great deal of trust = 1,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,5,q24; q24; q007; q007; q012,0.911; 0.911; 0.895; 0.895; 0.869,"q007, q012, q24, q25",NA
q26,26 Trust in other people you interact with,NA,How much trust do you have in other people you interact with?,q26. Your neighbors,26. How much do you trust your relatives?,26 Trust in other people you interact with,Missing = -1; Trust fully = 1; Trust a lot = 2,NA,None at all = 1; Not Very Much Trust = 2; Quite a Lot of Trust = 3,Missing = -1; A great deal of Trust = 1; Quite a lot of Trust = 2,Missing = -1; A great deal of trust = 1; Quite a lot of trust = 2,Missing = -1; Not applicable = 0; A great deal of trust = 1,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,5,q012; q012; q013; q013; q24,0.858; 0.858; 0.847; 0.847; 0.845,"q012, q013, q24, q26",NA
