wave,variable,label,value_labels_sample
Wave2,q119,Have you or anyone you know personally witnessed an act of corruption or bribe-taking by a politician or government official in the past year?,Witnessed = 1; Never witnessed = 2; Do not understand the question = 7
Wave3,q119,q119. Have you or anyone you know personally witnessed an act of corruption or bribe-taking by a politician or government official in the past year? IF WITNESSED: Did you personally witness it or were you told about it by a family member or friend who per,Missing = -1; Not applicable = 0; Witnessed = 1
Wave4,q119,"119 In your opinion, is the government working to crack down on corruption and root out bribery?",Missing = -1; It is doing its best = 1; It is doing something = 2
Wave5,q119,119 How often do you think our elections offer the voters a real choice between different parties/candidates?,Missing = -1; Always = 1; Most of the time = 2
Wave2,q119_1,119_1 Personally witnessed,Not applicable = 0; Yes = 1; No = 2
Wave3,q119_1,119_1 Personally witnessed,Missing = -1; Not applicable = 0; Yes = 1
Wave2,q119_2,119_2 Told about it by family member,Not applicable = 0; Yes = 1; No = 2
Wave3,q119_2,119_2 Told about it by family member,Missing = -1; Not applicable = 0; Yes = 1
Wave2,q119_3,119_3 Told about it by friend,Not applicable = 0; Yes = 1; No = 2
Wave3,q119_3,119_3 Told about it by friend,Missing = -1; Not applicable = 0; Yes = 1
Wave6,q119a,119a Did you personally witness it or were you told about it by a family member or friend who personally witnessed? Personally witnessed,Missing = -1; Not applicable = 0; Yes = 1
Wave6,q119b,119b Did you personally witness it or were you told about it by a family member or friend who personally witnessed? Told about it by a family member who personally witnessed,Missing = -1; Not applicable = 0; Yes = 1
Wave6,q119c,119c Did you personally witness it or were you told about it by a family member or friend who personally witnessed? Told about it by a friend who personally witnessed,Missing = -1; Not applicable = 0; Yes = 1
Wave2,q12,Trust in Civil service,None at all = 1; Not Very Much Trust = 2; Quite a Lot of Trust = 3
Wave3,q12,q12. Civil service,Missing = -1; A great deal of trust = 1; Quite a lot of trust = 2
Wave4,q12,12 Civil service,Mssing = -1; A great deal of trust = 1; Quite a lot of trust = 2
Wave5,q12,12 Civil service,Missing = -1; Trust fully = 1; Trust a lot = 2
Wave6,q12,12 Civil Service,Missing = -1; Not applicable = 0; A great deal of trust = 1
Wave1,q120,Which comes closer to your own view?, It is essential that the country remains one nation = 1; Parts of the country possibly be separate states = 2; Can't choose = 3
Wave2,q120,"In your opinion, is the government working to crackdown corruption and root out bribes?",It is doing this quite effectively = 0; It is doing its best = 1; It is doing something = 2
Wave3,q120,q120. Remember the scale that we used before: 1 means completely undemocratic and 10 means completely democratic. Where would you place China today on this scale?,Missing = -1; Do not understand the question = 97; Can't choose = 98
Wave4,q120,120 Have you or anyone you know personally witnessed an act of corruption or bribe-taking by a politician or government official in the past year?,Missing = -1; Personally witnessed = 1; Told about it by a family member who personally witnessed = 2
Wave5,q120,120 To what extent is the legislature capable of keeping government leaders in check?,Missing = -1; Very capable = 1; Capable = 2
Wave6,q120,120 Where would you place China today on this scale?,Missing = -1; Not applicable = 0; Completely undemocratic = 1
Wave1,q121,We should get rid of parliament and elections and have a strong leader decide things,Strongly agree = 1; Somewhat agree = 2; Somewhat disagree = 3
Wave2,q121,Which of the following statements comes closest to your own opinion?,"For people like me, it does not matter whether we have a democratic or a nondemocratic regime = 1; Under some circumstances, an authoritarian government can be peferable to a democratic one = 2; Democracy is always preferable to any other kind of government = 3"
Wave3,q121,q121. Where would you place the United States today on this scale?,Missing = -1; Do not understand the question = 97; Can't choose = 98
Wave4,q121,121 Where would you place China today on this scale?,Missing = -1; Completely Undemocratic = 1; 2 = 2
Wave5,q121,121 How well do you think the government responds to what people want?,Missing = -1; Very responsive = 1; Largely responsive = 2
Wave6,q121,121 Where would you place the United States of America today on this scale?,Missing = -1; Not applicable = 0; Completely undemocratic = 1
Wave1,q122,No opposition party should be allowed to compete for power,Strongly agree = 1; Somewhat agree = 2; Somewhat disagree = 3
Wave2,q122,Which of the following statements comes closer to your own view?,Democracy can not solve our society's problems = 1; Democracy is capable of solving the problems of our society = 2; Do not understand the question = 7
Wave3,q122,q122. Where would you place Japan today on this scale?,Missing = -1; Do not understand the question = 97; Can't choose = 98
Wave4,q122,122 Where would you place the United States today on this scale?,Missing = -1; Completely Undemocratic = 1; 2 = 2
Wave5,q122,122 How much do you feel that having elections makes the government more responsive to people's needs,Missing = -1; A good deal = 1; Quite a lot = 2
Wave6,q122,122 Where would you place Japan today on this scale?,Missing = -1; Not applicable = 0; Completely undemocratic = 1
Wave1,q123,The military should come in to govern the country,Strongly agree = 1; Somewhat agree = 2; Somewhat disagree = 3
Wave2,q123,"If you had to choose between democracy and economic development, which would you say is more important?",Economic development is definitely more important = 1; Economic development is somewhat more important = 2; Democracy is somewhat more important = 3
Wave3,q123,q123. Where would you place India today on this scale?,Missing = -1; Do not understand the question = 97; Can't choose = 98
Wave4,q123,123 Where would you place Japan on this scale?,Missing = -1; Completely Undemocratic = 1; 2 = 2
Wave5,q123,123 How capable is the government of enforcing laws and implementing policies?,Missing = -1; Very capable = 1; Capable = 2
Wave6,q123,123 Where would you place India today on this scale?,Missing = -1; Not applicable = 0; Completely undemocratic = 1
Wave1,q124,We should get rid of parliament and elections and have the experts decide everything,Strongly agree = 1; Somewhat agree = 2; Somewhat disagree = 3
Wave2,q124,We should get rid of parliament and elections and have a strong leader decide things,Strongly approve = 1; Approve = 2; Disapprove = 3
Wave3,q124,q124. Which of the following statements comes closest to your own opinion?,"Missing = -1; Democracy is always preferable to any other kind of governme = 1; Under some circumstances, an authoritarian government can be = 2"
Wave4,q124,124 Where would you place India on this scale?,Missing = -1; Completely Undemocratic = 1; 2 = 2
Wave5,q124,124 How widespread do you think corruption and bribe-taking are in your local/municipal government?,Missing = -1; Hardly anyone is involved = 1; Not a lot of officials are corrupt = 2
Wave6,q124,124 Which of the following statements comes closest to your own opinion?,Missing = -1; Not applicable = 0; Democracy is always preferable to any other kind of government = 1
Wave1,q125,"It is ok for the government to disregard the law in order to deal with the situation, when the country is facing a diffi",Strongly agree = 1; Somewhat agree = 2; Somewhat disagree = 3
Wave2,q125,Only one political party is allowed to stand for election and hold office,Strongly approve = 1; Approve = 2; Disapprove = 3
Wave3,q125,q125. Which of the following statements comes closer to your own view?,Missing = -1; Democracy is capable of solving the problems of our society = 1; Democracy cannot solve our society's problems = 2
Wave4,q125,125 Which of the following statements comes closest to your own opinion?,"Missing = -1; Democracy is always preferable to any other kind of government = 1; Under some circumstances, an authoritarian government can be preferable to a democratic one = 2"
Wave5,q125,125 How widespread do you think corruption and bribe-taking are in the national government?,Missing = -1; Hardly anyone is involved = 1; Not a lot of officials are corrupt = 2
Wave6,q125,125 Which of the following statements comes closer to your own view?,Missing = -1; Not applicable = 0; Democracy is capable of solving the problems of our society = 1
Wave1,q126,I have the ability to participate in politics,Strongly disagree = 1; Somewhat disagree = 2; Somewhat agree = 3
Wave2,q126,The army should come in to govern the country,Strongly approve = 1; Approve = 2; Disapprove = 3
Wave3,q126,"q126. If you had to choose between democracy and economic development, which would you say is more important?",Missing = -1; Economic development is definitely more important = 1; Economic development is somewhat more important = 2
Wave4,q126,126 Which of the following statements comes closer to your own view?,Missing = -1; Democracy is capable of solving the problems of our society = 1; Democracy cannot solve our society`s problems = 2
Wave5,q126,126 How effective is the government in cracking down on corruption?,Missing = -1; Very effective = 1; Somewhat effective = 2
Wave6,q126,"126 If you had to choose between democracy and economic development, which would you say is more important?",Missing = -1; Not applicable = 0; Economic development is definitely more important = 1
Wave1,q127,Politics and government seems so complicated that a person like me can't really understand what is going on,Strongly agree = 1; Somewhat agree = 2; Somewhat disagree = 3
Wave2,q127,I think I have the ability to participate in politics,Strongly agree = 1; Somewhat agree = 2; Somewhat disagree = 3
Wave3,q127,"q127. If you had to choose between reducing economic inequality and protecting political freedom, which would you say is more important?",Missing = -1; Reducing economic inequality is definitely more important = 1; Reducing economic inequality is somewhat more important = 2
Wave4,q127,"127 If you had to choose between democracy and economic development, which would you say is more important?",Missing = -1; Economic development is definitely more important = 1; Economic development is somewhat more important = 2
Wave5,q127,127 Have you or anyone you know personally witnessed an act of corruption or bribe-taking by a politician or government official in the past year?,Missing = -1; Yes = 1; No = 2
Wave6,q127,"127 If you had to choose between reducing economic inequality and protecting political freedom, which would you say is more important?",Missing = -1; Not applicable = 0; Reducing economic inequality is definitely more important = 1
Wave5,q127a_1,127a_1 Did you personally witness it or were you told about it by a family member or friend who personally witnessed? personally witnessed,Missing = -1; Not applicable = 0; Yes = 1
Wave5,q127a_2,127a_2  Did you personally witness it or were you told about it by a family member or friend who personally witnessed? told about it by a family member who personally witnessed,Missing = -1; Not applicable = 0; Yes = 1
Wave5,q127a_3,127a_3  Did you personally witness it or were you told about it by a family member or friend who personally witnessed? told about it by a friend who personally witnessed,Missing = -1; Not applicable = 0; Yes = 1
Wave1,q128,The nation is run by a powerful few and ordinary citizens cannot do much about it,Strongly agree = 1; Somewhat agree = 2; Somewhat disagree = 3
Wave2,q128,Sometimes politics and government seems so complicated that a person like me can't really understand what is going on,Strongly agree = 1; Somewhat agree = 2; Somewhat disagree = 3
Wave3,q128,"q128. Do you agree or disagree with the following statement: ""Democracy may have its problems, but it is still the best form of government.""",Missing = -1; Strongly agree = 1; Agree = 2
Wave4,q128,"128 If you had to choose between reducing economic inequality and protecting political freedom, which would you say is more important?",Missing = -1; Reducing economic inequality is definitely more important = 1; Reducing economic inequality is somewhat more important = 2
Wave5,q128,128 Where would you place China today on this scale?,Missing = -1; Completely Undemocratic = 1; 2 = 2
Wave6,q128,"128 Do you agree or disagree with the following statement: 'Democracy may have its problems, but it is still the best form of government's?",Missing = -1; Not applicable = 0; Strongly agree = 1
Wave1,q129,People like me don't have any influence over what the government does,Strongly agree = 1; Somewhat agree = 2; Somewhat disagree = 3
Wave2,q129,"Whatever its faults may be, our form of government is still the best for us",Strongly agree = 1; Somewhat agree = 2; Somewhat disagree = 3
Wave3,q129,"q129. There are many ways to govern a country. Would you disapprove or approve of the following alternatives? For each statement, would you say you strongly approve, approve, disapprove, or strongly disapprove? We should get rid of parliament and election",Missing = -1; Strongly approve = 1; Somewhat approve = 2
Wave4,q129,"129 Do you agree or disagree with the following statement: ""Democracy may have its problems, but it is still the best form of government"".",Missing = -1; Strongly agree = 1; Agree = 2
Wave5,q129,129 Where would you place the United States today on this scale?,Missing = -1; Completely Undemocratic = 1; 2 = 2
Wave6,q129,129 We should get rid of parliament and elections and have a strong leader to decide things.,Missing = -1; Not applicable = 0; Strongly approve = 1
Wave3,q129a,strong leader,0 rejection = 0; 1 acceptance/others = 1
Wave3,q129a_q131a,sum of Q129a_q131a(reject all authoritarian options),0 rejection = 0; 1 acceptance/others = 1
Wave2,q13,Trust in the military(or armed forces),None at all = 1; Not Very Much Trust = 2; Quite a Lot of Trust = 3
Wave3,q13,q13. The military(or armed forces),Missing = -1; A great deal of trust = 1; Quite a lot of trust = 2
Wave4,q13,13 The military,Mssing = -1; A great deal of trust = 1; Quite a lot of trust = 2
Wave5,q13,13 The military or armed force,Missing = -1; Trust fully = 1; Trust a lot = 2
Wave6,q13,13 The military or armed forces,Missing = -1; Not applicable = 0; A great deal of trust = 1
Wave1,q130,Our form of government is still the best for us,Strongly agree = 1; Somewhat agree = 2; Somewhat disagree = 3
Wave2,q130,You can generally trust the people who run our government to do what is right (HK: Hong Kong government),Strongly agree = 1; Somewhat agree = 2; Somewhat disagree = 3
Wave3,q130,q130. Only one political party should be allowed to stand for election and hold office.,Missing = -1; Strongly approve = 1; Somewhat approve = 2
Wave4,q130,130 We should get rid of parliament and elections and have a strong leader decide things.,Missing = -1; Strongly agree = 1; Agree = 2
Wave5,q130,130 Where would you place Japan today on this scale?,Missing = -1; Completely Undemocratic = 1; 2 = 2
Wave6,q130,130 Only one political party is allowed to stand for election and hold office.,Missing = -1; Not applicable = 0; Strongly approve = 1
Wave3,q130a,one poltical party,0 rejection = 0; 1 acceptance/others = 1
Wave1,q131,You can generally trust the people who run our government to do what is right,Strongly agree = 1; Somewhat agree = 2; Somewhat disagree = 3
Wave2,q131,"Generally speaking, we can trust the local government officials to do the right things",Strongly agree = 1; Somewhat agree = 2; Somewhat disagree = 3
Wave3,q131,q131. The army (military) should come in to govern the country.,Missing = -1; Strongly approve = 1; Somewhat approve = 2
Wave4,q131,131 Only one political party should be allowed to stand for election and hold office.,Missing = -1; Strongly agree = 1; Agree = 2
Wave5,q131,131 Where would you place India today on this scale?,Missing = -1; Completely Undemocratic = 1; 2 = 2
Wave6,q131,131 The army (military) should come in to govern the country.,Missing = -1; Not applicable = 0; Strongly approve = 1
Wave3,q131a,army,0 rejection = 0; 1 acceptance/others = 1
Wave1,q132,People with little or no education should have as much say in politics as highly-educated people,Strongly disagree = 1; Somewhat disagree = 2; Somewhat agree = 3
Wave2,q132,Which of these two statements comes closer to your own view,It is essential that the (country) remains one nation = 1; Part of the (country) should be allowed to become fully separate states if they choose to = 2; Do not understand the question = 7
Wave3,q132,q132. We should get rid of elections and parliaments and have experts make decisions on behalf of the people.,Missing = -1; Strongly approve = 1; Somewhat approve = 2
Wave4,q132,132 The army (military) should come in to govern the country.,Missing = -1; Strongly agree = 1; Agree = 2
Wave5,q132,132 Which of the following statements comes closest to your own opinion?,"Missing = -1; Democracy is always preferable to any other kind of government = 1; Under some circumstances, an authoritarian government can be preferable to a democratic one = 2"
Wave6,q132,132 We should get rid of elections and parliaments and have experts make decisions on behalf of the people.,Missing = -1; Not applicable = 0; Strongly approve = 1
Wave1,q133,Government leaders are like the head of a family; we should all follow their decisions,Strongly agree = 1; Somewhat agree = 2; Somewhat disagree = 3
Wave2,q133,People with little or no education should have as much say in politics as highly-educated people,Strongly agree = 1; Somewhat agree = 2; Somewhat disagree = 3
Wave3,q133,"q133. I have here some statements. For each statement, would you say you strongly agree, somewhat agree, somewhat disagree, or strongly disagree? I think I have the ability to participate in politics.",Missing = -1; Strongly agree = 1; Somewhat agree = 2
Wave4,q133,133 We should get rid of elections and parliaments and have experts make decisions on behalf of the people.,Missing = -1; Strongly agree = 1; Agree = 2
Wave5,q133,133 Which of the following statements comes closer to your own view?,Missing = -1; Democracy is capable of solving the problems of our society = 1; Democracy cannot solve our society`s problems = 2
Wave6,q133,133 I think I have the ability to participate in politics.,Missing = -1; Not applicable = 0; Strongly agree = 1
Wave1,q134,The government should decide whether certain ideas should be allowed to be discussed in society,Strongly agree = 1; Somewhat agree = 2; Somewhat disagree = 3
Wave2,q134,Government leaders are like the head of a family; we should all follow their decisions,Strongly agree = 1; Somewhat agree = 2; Somewhat disagree = 3
Wave3,q134,q134. Sometimes politics and government seems so complicated that a person like me can't really understand what is going on.,Missing = -1; Strongly agree = 1; Somewhat agree = 2
Wave4,q134,134 I think I have the ability to participate in politics.,Missing = -1; Strongly agree = 1; Agree = 2
Wave5,q134,"134 If you had to choose between democracy and economic development, which would you say is more important?",Missing = -1; Economic development is definitely more important = 1; Economic development is somewhat more important = 2
Wave6,q134,134 Sometimes politics and government seems so complicated that a person like me can't really understand what is going on.,Missing = -1; Not applicable = 0; Strongly agree = 1
Wave1,q135,Harmony of the community will be disrupted if people organize lots of groups,Strongly agree = 1; Somewhat agree = 2; Somewhat disagree = 3
Wave2,q135,The government should decide whether certain ideas should be allowed to be discussed in society,Strongly agree = 1; Somewhat agree = 2; Somewhat disagree = 3
Wave3,q135,q135. People like me don't have any influence over what the government does.,Missing = -1; Strongly agree = 1; Somewhat agree = 2
Wave4,q135,135 Sometimes politics and government seems so complicated that a person like me can't really understand what is going on.,Missing = -1; Strongly agree = 1; Agree = 2
Wave5,q135,"135 If you had to choose between reducing economic inequality and protecting political freedom, which would you say is more important?",Missing = -1; Reducing economic inequality is definitely more important = 1; Reducing economic inequality is somewhat more important = 2
Wave6,q135,135 People like me don't have any influence over what the government does.,Missing = -1; Not applicable = 0; Strongly agree = 1
Wave1,q136,"When judges decide important cases, they should accept the view of the executive branch",Strongly agree = 1; Somewhat agree = 2; Somewhat disagree = 3
Wave2,q136,Harmony of the community will be disrupted if people organize lots of groups,Strongly agree = 1; Somewhat agree = 2; Somewhat disagree = 3
Wave3,q136,q136. You can generally trust the people who run our government to do what is right.,Missing = -1; Strongly agree = 1; Somewhat agree = 2
Wave4,q136,136 People like me don't have any influence over what the government does.,Missing = -1; Strongly agree = 1; Agree = 2
Wave5,q136,"136 Do you agree or disagree with the following statement: ""Democracy may have its problems, but it is still the best form of government"".",Missing = -1; Strongly agree = 1; Agree = 2
Wave6,q136,136 You can generally trust the people who run our government to do what is right.,Missing = -1; Not applicable = 0; Strongly agree = 1
Wave1,q137,"If the government is constantly checked by the legislature, it cannot possibly accomplish great things",Strongly agree = 1; Somewhat agree = 2; Somewhat disagree = 3
Wave2,q137,"When judges decide important cases, they should accept the view of the executive branch",Strongly agree = 1; Somewhat agree = 2; Somewhat disagree = 3
Wave3,q137,"q137. A citizen should always remain loyal only to his country, no matter how imperfect it is or what wrong it has done.",Missing = -1; Strongly agree = 1; Somewhat agree = 2
Wave4,q137,137 You can generally trust the people who run our government to do what is right.,Missing = -1; Strongly agree = 1; Agree = 2
Wave5,q137,137 We should get rid of parliament and elections and have a strong leader decide things.,Missing = -1; Strongly agree = 1; Somewhat agree = 2
Wave6,q137,"137 A citizen should always remain loyal only to his country, no matter how imperfect it is or what wrong it has done.",Missing = -1; Not applicable = 0; Strongly agree = 1
Wave1,q138,"If we have political leaders who are morally upright, we can let them decide everything",Strongly agree = 1; Somewhat agree = 2; Somewhat disagree = 3
Wave2,q138,"If the government is constantly checked by the legislature, it cannot possibly accomplish great things",Strongly agree = 1; Somewhat agree = 2; Somewhat disagree = 3
Wave3,q138,"q138. I have here other statements. For each statement, would you say you strongly agree, somewhat agree, somewhat disagree, or strongly disagree? The government should consult religious authorities when interpreting the laws.",Missing = -1; Strongly agree = 1; Somewhat agree = 2
Wave4,q138,"138 A citizen should always remain loyal only to his country, no matter how imperfect it is or what wrong it has done.",Missing = -1; Strongly agree = 1; Agree = 2
Wave5,q138,138 Only one political party should be allowed to stand for election and hold office,Missing = -1; Strongly agree = 1; Somewhat agree = 2
Wave6,q138,138 Have you or your family members previously contracted the Covid-19 virus?,Missing = -1; Not applicable = 0; Yes = 1
Wave1,q139,"If people have too many different ways of thinking, society will be chaotic",Strongly agree = 1; Somewhat agree = 2; Somewhat disagree = 3
Wave2,q139,"If we have political leaders who are morally upright, we can let them decide everything",Strongly agree = 1; Somewhat agree = 2; Somewhat disagree = 3
Wave3,q139,q139. Women should not be involved in politics as much as men.,Missing = -1; Strongly agree = 1; Somewhat agree = 2
Wave4,q139,139 Women should not be involved in politics as much as men,Missing = -1; Strongly agree = 1; Agree = 2
Wave5,q139,139 The army (military) should come in to govern the country,Missing = -1; Strongly agree = 1; Somewhat agree = 2
Wave6,q139a,139a Did you or a member of your family suffer from serious illness or death?,Missing = -1; Not applicable = 0; Yes = 1
Wave6,q139b,139b Did you or a member of your family suffer from loss of job,Missing = -1; Not applicable = 0; Yes = 1
Wave6,q139c,139c Did you or a member of your family suffer from loss of household income?,Missing = -1; Not applicable = 0; Yes = 1
Wave6,q139d,139d Did you or a member of your family suffer from disruption of my kids' education?,Missing = -1; Not applicable = 0; Yes = 1
Wave2,q14,Trust in the police,None at all = 1; Not Very Much Trust = 2; Quite a Lot of Trust = 3
Wave3,q14,q14. The police,Missing = -1; A great deal of trust = 1; Quite a lot of trust = 2
Wave4,q14,14 The police,Mssing = -1; A great deal of trust = 1; Quite a lot of trust = 2
Wave5,q14,14 The police,Missing = -1; Trust fully = 1; Trust a lot = 2
Wave6,q14,14 The police,Missing = -1; Not applicable = 0; A great deal of trust = 1
Wave1,q140,The government should maintain ownership of major state-owned enterprises,Strongly agree = 1; Somewhat agree = 2; Somewhat disagree = 3
Wave2,q140,"If people have too many different ways of thinking, society will be chaotic",Strongly agree = 1; Somewhat agree = 2; Somewhat disagree = 3
Wave3,q140,q140. People with little or no education should have as much say in politics as highly-educated people.,Missing = -1; Strongly agree = 1; Somewhat agree = 2
Wave4,q140,140 The government should consult religious authorities when interpreting the laws,Missing = -1; Strongly agree = 1; Agree = 2
Wave5,q140,140 We should get rid of elections and parliaments and have experts make decisions on behalf of the people.,Missing = -1; Strongly agree = 1; Somewhat agree = 2
Wave6,q140,"140 Thinking of the negative impact of Covid-19 on your family's livelihood, how serious it is in your view?",Missing = -1; Not applicable = 0; Very serious impact = 1
Wave1,q141,The national government should have more authority over local decisions than it does now,Strongly agree = 1; Somewhat agree = 2; Somewhat disagree = 3
Wave2,q141,"When the country is facing a difficult situation, it is ok for the government to disregard the law in order to deal with the situation",Strongly agree = 1; Somewhat agree = 2; Somewhat disagree = 3
Wave3,q141,q141. Government leaders are like the head of a family; we should all follow their decisions.,Missing = -1; Strongly agree = 1; Somewhat agree = 2
Wave4,q141,141 People with little or no education should have as much say in politics as highly-educated people,Missing = -1; Strongly agree = 1; Agree = 2
Wave5,q141,141 I think I have the ability to participate in politics,Missing = -1; Strongly agree = 1; Somewhat agree = 2
Wave6,q141,141 How much do you trust the Covid-19 related information provided by the government?,Missing = -1; Not applicable = 0; A great deal of trust = 1
Wave3,q141a,government leader,Missing = -1; Strongly agree = 1; Somewhat agree = 2
Wave3,q141a_q147a,average rejection of authoritarian values,0 acceptance = 0; 1 rejection authoritarian values = 1
Wave1,q142,Our country should defend our way of life instead of becoming more and more like other countries,Strongly disagree = 1; Somewhat disagree = 2; Somewhat agree = 3
Wave2,q142,The government should maintain ownership of major state-owned enterprises,Strongly agree = 1; Somewhat agree = 2; Somewhat disagree = 3
Wave3,q142,q142. The government should decide whether certain ideas should be allowed to be discussed in society.,Missing = -1; Strongly agree = 1; Somewhat agree = 2
Wave4,q142,142 Government leaders are like the head of a family; we should all follow their decisions,Missing = -1; Strongly agree = 1; Agree = 2
Wave5,q142,142 Sometimes politics and government seems so complicated that a person like me can't really understand what is going on,Missing = -1; Strongly agree = 1; Somewhat agree = 2
Wave6,q142,142 How well or badly do you think the government handled the pandemic?,Missing = -1; Not applicable = 0; Very well = 1
Wave3,q142a,certain ideas,Missing = -1; Strongly agree = 1; Somewhat agree = 2
Wave1,q143,"For the sake of the national community/society, the individual should be prepared to sacrifice his personal interest",Strongly agree = 1; Somewhat agree = 2; Somewhat disagree = 3
Wave2,q143,The local government should have more authority over local decisions than it does now,Strongly agree = 1; Somewhat agree = 2; Somewhat disagree = 3
Wave3,q143,q143. Harmony of the community will be disrupted if people organize lots of groups.,Missing = -1; Strongly agree = 1; Somewhat agree = 2
Wave4,q143,143 The government should decide whether certain ideas should be allowed to be discussed in society,Missing = -1; Strongly agree = 1; Agree = 2
Wave5,q143,143 People like me don`t have any influence over what the government does,Missing = -1; Strongly agree = 1; Somewhat agree = 2
Wave3,q143a,Harmony of the community,Missing = -1; Strongly agree = 1; Somewhat agree = 2
Wave6,q143a,"143aWhen there is a public health challenge like the coronavirus, is it justifiable for the government to postpone elections?",Missing = -1; Not applicable = 0; Always = 1
Wave6,q143b,143b To limit freedom of speech or assembly,Missing = -1; Not applicable = 0; Always = 1
Wave6,q143c,143c To censor the media,Missing = -1; Not applicable = 0; Always = 1
Wave6,q143d,143d To track citizens’ locations at all times,Missing = -1; Not applicable = 0; Always = 1
Wave6,q143e,143e To impose a lockdown for a long time,Missing = -1; Not applicable = 0; Always = 1
Wave1,q144,"The state is like a big machine and the individual is but a small cog, with no independent status",Strongly agree = 1; Somewhat agree = 2; Somewhat disagree = 3
Wave2,q144,Our country should defend our way of life instead of becoming more and more like other countries,Strongly agree = 1; Somewhat agree = 2; Somewhat disagree = 3
Wave3,q144,"q144. When judges decide important cases, they should accept the view of the executive branch.",Missing = -1; Strongly agree = 1; Somewhat agree = 2
Wave4,q144,144 Harmony of the community will be disrupted if people organize lots of groups,Missing = -1; Strongly agree = 1; Agree = 2
Wave5,q144,144 You can generally trust the people who run our government to do what is right,Missing = -1; Strongly agree = 1; Somewhat agree = 2
Wave6,q144,144 Have you been vaccinated against Covid-19?,Missing = -1; Not applicable = 0; Yes = 1
Wave3,q144a,judges,Missing = -1; Strongly agree = 1; Somewhat agree = 2
Wave1,q145,The most important thing for a political leader is to accomplish his goals even if he has to ignore the established proc,Strongly agree = 1; Somewhat agree = 2; Somewhat disagree = 3
Wave2,q145,"In order to preserve social justice, the government should prevent the gap between rich and poor from growing any larger",Strongly agree = 1; Somewhat agree = 2; Somewhat disagree = 3
Wave3,q145,"q145. If the government is constantly checked [i.e. monitored and supervised] by the legislature, it cannot possibly accomplish great things.",Missing = -1; Strongly agree = 1; Somewhat agree = 2
Wave4,q145,"145 When judges decide important cases, they should accept the view of the executive branch",Missing = -1; Strongly agree = 1; Agree = 2
Wave5,q145,"145 A citizen should always remain loyal only to his country, no matter how imperfect it is or what wrong it has done.",Missing = -1; Strongly agree = 1; Somewhat agree = 2
Wave6,q145,145 Why do you prefer not to be vaccinated against Covid-19?,Missing = -1; Not applicable = 0; I'm worried about the side effects = 1
Wave3,q145a,checked by the legislature,Missing = -1; Strongly agree = 1; Somewhat agree = 2
Wave6,q145other,145. Other specify responses,NA
Wave1,q146,"If a political leader really believes in his position, he should refuse to compromise regardless of how many people disa",Strongly agree = 1; Somewhat agree = 2; Somewhat disagree = 3
Wave2,q146,Our country should become more self-sufficient and less reliant on trade with other countries,Strongly agree = 1; Somewhat agree = 2; Somewhat disagree = 3
Wave3,q146,"q146. If we have political leaders who are morally upright, we can let them decide everything.",Missing = -1; Strongly agree = 1; Somewhat agree = 2
Wave4,q146,"146 If the government is constantly checked [i.e. monitored and supervised] by the legislature, it cannot possibly accomplish great things",Missing = -1; Strongly agree = 1; Agree = 2
Wave5,q146,146 Women should not be involved in politics as much as men,Missing = -1; Strongly agree = 1; Somewhat agree = 2
Wave6,q146,146 I have here other statements: Women should not be involved in politics as much as men,Missing = -1; Not applicable = 0; Strongly agree = 1
Wave3,q146a,political leaders,Missing = -1; Strongly agree = 1; Somewhat agree = 2
Wave1,q147,A political leader should tolerate the views of those who challenge his political ideals,Strongly disagree = 1; Somewhat disagree = 2; Somewhat agree = 3
Wave2,q147,Let us suppose that you had to choose between being a..... which of these do you feel most strongly attached to,"R""s Citizenship = 1; R""s ethnic/regional group = 2; R""S another identity = 3"
Wave3,q147,"q147. If people have too many different ways of thinking, society will be chaotic.",Missing = -1; Strongly agree = 1; Somewhat agree = 2
Wave4,q147,"147 If we have political leaders who are morally upright, we can let them decide everything",Missing = -1; Strongly agree = 1; Agree = 2
Wave5,q147,147 The government should consult religious authorities when interpreting the laws,Missing = -1; Strongly agree = 1; Somewhat agree = 2
Wave6,q147,147 The government should consult religious authorities when interpreting the laws.,Missing = -1; Not applicable = 0; Strongly agree = 1
Wave1,q147a,A political leader should not tolerate the views of those who challenge his political ideals,Strongly agree = 1; Somewhat agree = 2; Somewhat disagree = 3
Wave3,q147a,chaotic,Missing = -1; Strongly agree = 1; Somewhat agree = 2
Wave1,q148,"As long as a political leader enjoys majority support, he should implement his own agenda and disregard the view of the",Strongly agree = 1; Somewhat agree = 2; Somewhat disagree = 3
Wave2,q148,These people should have the equal right to do whatever they want to do as other citizens,Strongly agree = 1; Somewhat agree = 2; Somewhat disagree = 3
Wave3,q148,"q148. When the country is facing a difficult situation, it is ok for the government to disregard the law in order to deal with the situation.",Missing = -1; Strongly agree = 1; Somewhat agree = 2
Wave4,q148,"148 If people have too many different ways of thinking, society will be chaotic",Missing = -1; Strongly agree = 1; Agree = 2
Wave5,q148,148 People with little or no education should have as much say in politics as highly-educated people,Missing = -1; Strongly agree = 1; Somewhat agree = 2
Wave6,q148,148 People with little or no education should have as much say in politics as highly-educated people.,Missing = -1; Not applicable = 0; Strongly agree = 1
Wave2,q149,They should enjoy the same right as other citizens to vote in the election of the top leader,Strongly agree = 1; Somewhat agree = 2; Somewhat disagree = 3
