variable,n_waves,waves_present,labels
q36,5,"Wave2, Wave3, Wave4, Wave5, Wave6",Have you been a victim of break-in at your home? | q36. Did you do anything else to help out or work for a party or candidate running in the election? | 36. Try to persudae others to vote for a certain candidate or party? | 36 Try to persuade others to vote for a certain candidate or party?
q37,5,"Wave2, Wave3, Wave4, Wave5, Wave6","Have you been a victim of physical violence? | q37. On the whole, how free and fair would you say the last national election was? (NEW) | 37. Did you do anything else to help out or work for a party or candidate running in the last national election? | 37 Did you do anything else to help out or work for a party or candidate running in the last national election?"
q38,5,"Wave2, Wave3, Wave4, Wave5, Wave6","Have you voted in the last election? | q38. Based on your experience, how easy or difficult is it to obtain the following services?  Or have you never tried to get these services from government?  An identity document (such as a birth certificate or passport) | 38.On the whole, how free and fair would you say the last national election was? | 38 On the whole, how free and fair would you say the last national election was?"
q39,5,"Wave2, Wave3, Wave4, Wave5, Wave6",Which parties (or candidates for president if it was presidential race) did you vote for? | q39. A place in a public primary school for a child | 39. How easy or difficult to obtain an identity document service | 39 How easy or difficult to obtain roads in good condition | 39 How easy or difficult to obtain the roads in good condition
q4,5,"Wave2, Wave3, Wave4, Wave5, Wave6","As for your own family, how do you rate your economic situation today? | q4. As for your own family, how do you rate the economic situation of your family today?  Is it … | 4. As for your own family, how do you rate the economic situation of your family today? | 4 As for your own family, how do you rate the economic situation of your family today?"
q40,5,"Wave2, Wave3, Wave4, Wave5, Wave6",Attend a campaign meeting or rally | q40. Medical treatment at a nearby clinic | 40. How easy or difficult to obtain a place in a public primirary school for a child | 40 How easy or difficult to obtain running water
q41,5,"Wave2, Wave3, Wave4, Wave5, Wave6",Try to persuade others to vote for a certain candidate or party | q41. Help from the police when you need it | 41. How easy or difficult to obtain medical treatment at nearby clinic | 41 How easy or difficult to obtain public transportation
q42,5,"Wave2, Wave3, Wave4, Wave5, Wave6","Did you do anything else to help out or work for a party or candidate running in the election | q42. Generally speaking, how safe is living in this city/ town/ village - very safe, safe, unsafe or very unsafe? | 42. How easy or difficult to obtain help from the police when you need it | 42 How easy or difficult to obtain healthcare"
q43,5,"Wave2, Wave3, Wave4, Wave5, Wave6","On the whole, how would you rate the freeness and fairness of the last national election? | q43. How interested would you say you are in politics? | 43. How safe is living in this city/ town/ village | 43 How easy or difficult to obtain help from the pollice when you need it | 43 How easy or difficult to obtain help from the police when you need it"
q44,5,"Wave2, Wave3, Wave4, Wave5, Wave6",How easy is it to obtain: An identity document | q44. How often do you follow news about politics and government? | 44. How interested would you say you are in politics? | 44 How easy or difficult to obtain access to the internet | 44 How easy or difficult to obtain access to the Internet
q45,5,"Wave2, Wave3, Wave4, Wave5, Wave6","How easy is it to obtain: A place in public primary school for a child | q45. How often do you use the internet? | 45. How often do you follow news about politics and government? | 45 Generally speaking, how safe is living in this city/town/village? | 45 How easy or difficult to obtain childcare"
q46,5,"Wave2, Wave3, Wave4, Wave5, Wave6","How easy is it to obtain: Medical treatment at a nearby clinic | q46. When you get together with your family members or friends, how often do you discuss political matters? | 46. When you get together with your family members or friends, how often do you discuss political matters | 46 How interested would you say you are in politics? | 46 Generally speaking, how safe is living in this city/town/village?"
q47,5,"Wave2, Wave3, Wave4, Wave5, Wave6","How easy is it to obtain: Help from the police when you need it | q47. Among the political parties listed here, which party if any do you feel closest to? | 47. Do you have Internet access at home? | 47 How often do you follow news about politics and government? | 47 How interested would you say you are in politics?"
q48,5,"Wave2, Wave3, Wave4, Wave5, Wave6","How would you describe the present political situation in our country | q48. How close do you feel to (answer in Q47)? Is it very close, somewhat close, or just a little close? | 48. Do you have Internet access on a mobile phone? | 48 When you get together with your family members or friends, how often do you discuss political matters? | 48 How often do you follow news about politics and government?"
q49,5,"Wave2, Wave3, Wave4, Wave5, Wave6","How interested would you say you are in politics | q49. Please tell me how you feel about the following statements. Would you say you strongly agree, somewhat agree, somewhat disagree, or strongly disagree? Most people are trustworthy? | 49. How often do you use the internet? | 49 How often do you use the internet, either through computer, tablet or smartphone? | 49 When you get together with your family members or friends, how often do you discuss political matters?"
q5,5,"Wave2, Wave3, Wave4, Wave5, Wave6",How would you compare the current economic condition of your family with what it was a few years ago? | q5. How would you compare the current economic condition of your family with what it was a few years ago? Is it … | 5. How would you compare the current economic condition of your family with what it was a few years ago? | 5 How would you compare the current economic condition of your family with what it was a few years ago?
q50,5,"Wave2, Wave3, Wave4, Wave5, Wave6","How often do you follow news about politics and government | q50. For the sake of the family, the individual should put his personal interests second | 50. Do you currently use any of the following social media networks? | 50 Do you currently use any of the following social media networks?(E.g. facebook, twitter, telegram, whatsapp, youtube, tumblr, instagram, snapchat, etc.) | 50 How often do you use the internet, either through computer, tablet or smartphone?"
q53,5,"Wave2, Wave3, Wave4, Wave5, Wave6","How much impact do you feel government politics have on your daily life? | q53. When dealing with others, developing a long-term relationship is more important than securing one's immediate interest. | 53.Among the political parties listed here, which party if any do you feel closest to? | 53 How much trust do you have in each of the following types of media?Television | 53 Which one is the most important channel for you to find information about politics and government?"
q54,5,"Wave2, Wave3, Wave4, Wave5, Wave6","Among the political parties listed here, which party if any do you feel closest to? | q54. When dealing with others, one should not only focus on immediate interest but also plan for future. | 54. How close do you feel to (answer in q53)? | 54 How much trust do you have in each of the following types of media?Newspaper | 54 Among the political parties listed here, which party if any do you feel closest to?"
q55,5,"Wave2, Wave3, Wave4, Wave5, Wave6","How close do you feel to the party(answer in Q54)? | q55. Even if parents' demands are unreasonable, children still should do what they ask. | 55 For the sake of the family, the individual should put his personal interests second. | 55 How much trust do you have in each of the following types of media? News on the internet | 55 How close do you feel to (answer in Q54)? Is it very close, somewhat close, or just a little close?"
q56,5,"Wave2, Wave3, Wave4, Wave5, Wave6","Even if parents' demands are unreasonable, children still should do what they ask | q56. When a mother-in-law and a daughter-in-law come into conflict, even if the mother-in-law is in the wrong, the husband should still persuade his wife to obey his mother. | 56. In a group, we should sacrifice our individual interest for the sake of the group's collective interest. | 56 Among the political parties listed here, which party if any do you feel closest to? | 56 For the sake of the family, the individual should put his personal interests second."
q57,5,"Wave2, Wave3, Wave4, Wave5, Wave6","Being a student, one should not question the authority of their teacher | q57. Being a student, one should not question the authority of their teacher. | 57. For the sake of national interest, individual interest could be sacrificed. | 57 How close do you feel to (answer in Q56)? Is it very close, somewhat close, or just a little close? | 57 In a group, we should sacrifice our individual interest for the sake of the group's collective interest."
q58,5,"Wave2, Wave3, Wave4, Wave5, Wave6","When one has conflict with a neighbor, the best way to deal with it is to accommodate the other person | q58. In a group, we should avoid open quarrel to preserve the harmony of the group | 58. When dealing with others, developing a long-term relationship is more important than securing one's immediate interest. | 58 For the sake of the family, the individual should put his personal interests second. | 58 For the sake of national interest, individual interest could be sacrificed."
q59,5,"Wave2, Wave3, Wave4, Wave5, Wave6","A person should not insist on his own opinion if his co-workers disagree with him | q59. Even if there is some disagreement with others, one should avoid the conflict | 59. When dealing with others, one should not only focus on immediate interest but also plan for future. | 59 In a group, we should sacrifice our individual interest for the sake of the groups collective interest. | 59 When dealing with others, developing a long-term relationship is more important than securing one's immediate interest."
q6,5,"Wave2, Wave3, Wave4, Wave5, Wave6",What do you think the economic situation of your family will be a few years from now? | q6. What do you think the economic situation of your family will be a few years from now? Will it be … | 6. What do you think the economic situation of your family will be a few years from now? | 6 What do you think the economic situation of your family will be a few years from now?
q60,5,"Wave2, Wave3, Wave4, Wave5, Wave6","For the sake of the family, the individual should put his personal interests second | q60. A person should not insist on his own opinion if his co-workers disagree with him | 60. Even if parents' demands are unreasonable, children still should do what they ask. | 60 For the sake of national interest, individual interest could be sacrificed. | 60 Even if parents' demands are unreasonable, children still should do what they ask."
q61,5,"Wave2, Wave3, Wave4, Wave5, Wave6","Sometimes one has to follow one's own beliefs regardless of what other people think | q61. Wealth and poverty, success and failure are all determined by fate. | 61. When a mother-in-law and a daughter-in-law come into conflict, even if the mother-in-law is in the wrong, the husband should still persuade his wife to obey his mother. | 61 When dealing with others, developing a long-term relationship is more important than securing one's immediate interest. | 61 When a mother-in-law and a daughter-in-law come into conflict, even if the mother-in-law is in the wrong, the husband should still persuade his wife to obey his mother."
q62,5,"Wave2, Wave3, Wave4, Wave5, Wave6","When dealing with others, securing one's immediate interests should be more important than developing a long-term | q62. If one could have only one child, it is more preferable to have a boy than a girl. | 62. Being a student, one should not question the authority of their teacher. | 62 Even if parents' demands are unreasonable, children still should do what they ask. | 62 Being a student, one should not question the authority of their teacher."
q63,5,"Wave2, Wave3, Wave4, Wave5, Wave6","Open quarrels (criticisms) among politicians are harmful to society | q63. When dealing with others, one should not be preoccupied with temporary gains and losses. | 63. In a group, we should avoid open quarrel to preserve the harmony of the group. | 63 When a mother-in-law and a daughter-in-law come into conflict, even if the mother-in-law is in the wrong, the husband should still persuade his wife to obey his mother. | 63 In a group, we should avoid open quarrel to preserve the harmony of the group."
q64,5,"Wave2, Wave3, Wave4, Wave5, Wave6","The relationship between the government and the people should be like that between parents and children | q64. In the past three (3) years, have you never, once, or more than once done the following because of personal, family, or neighborhood problems, or problems with government officials and policies?Contacted elected officials or legislative representativ | 64. Even if there is some disagreement with others, one should avoid the conflict. | 64 Being a student, one should not question the authority of their teacher. | 64 Even if there is some disagreement with others, one should avoid the conflict."
q65,5,"Wave2, Wave3, Wave4, Wave5, Wave6","People should always support the decisions of their government even if they disagree with them | q65. Contacted officials at higher level. | 65. A person should not insist on his own opinion if his co-workers disagree with him. | 65 In a group, we should avoid open quarrel to preserve the harmony of the group. | 65 A person should not insist on his own opinion if his co-workers disagree with him."
q66,5,"Wave2, Wave3, Wave4, Wave5, Wave6","How often do you use the internet? | q66. Contacted traditional leaders/community leaders. | 66. Wealth and poverty, success and failure are all determined by fate. | 66 Even if there is some disagreement with others, one should avoid the conflict. | 66 Wealth and poverty, success and failure are all determined by fate."
q67,5,"Wave2, Wave3, Wave4, Wave5, Wave6","How closely do you follow major events in foreign countries/the world? | q67. Contacted other influential people outside the government | 67. If one could have only one child, it is more preferable to have a boy than a girl. | 67 A person should not insist on his own opinion if his co-workers disagree with him. | 67 If one could have only one child, it is more preferable to have a boy than a girl."
q68,5,"Wave2, Wave3, Wave4, Wave5, Wave6","Have you traveled abroad before? If you have, how often do you travel abroad? | q68. Contacted news media | 68. When dealing with others, one should not be preoccupied with temporary gains and losses. | 68 Wealth and poverty, success and failure are all determined by fate. | 68 In the past three years, have you ever contacted elected officials or legislative representatives at any level?"
q69,5,"Wave2, Wave3, Wave4, Wave5, Wave6","How often do you have personal contact with foreigners? | q69. Here is a list of actions that people sometimes take as citizens. For each of these, please tell me whether you, personally, have never, once, or more than once done any of these things during the past three years.   Got together with others to try t | 69 In the past three years, have you ever contacted elected officials or legislative representatives at any level-3 categories | 69 If one could have only one child, it is more preferable to have a boy than a girl. | 69  Contacted civil servants or officials"
q7,5,"Wave2, Wave3, Wave4, Wave5, Wave6","Trust in Prime Minister or president | q7. I'm going to name a number of institutions. For each one, please tell me how much trust do you have in them? The president | 7 Trust in the excutive office (president or prime minister)"
q70,5,"Wave2, Wave3, Wave4, Wave5, Wave6","We should give up gains in the present for the possibility of larger gains in the future | q70. Got together with others to raise an issue or sign a petition | 70  Contacted officials at higher level-3 categories. | 70 In the past three years, have you ever contacted elected officials or legislative representatives at any level | 70  Contacted other influential people outside the government, such as traditional leaders/community leaders"
q71,5,"Wave2, Wave3, Wave4, Wave5, Wave6",Conflict among political groups is not a bad thing for our country | q71. Attended a demonstration or protest march | 71 Contacted traditional leaders/community leaders-3 categories | 71 Contacted civil servants or officials | 71  Contacted news media
q72,5,"Wave2, Wave3, Wave4, Wave5, Wave6","If a government policy serves the interests of the majority of people, I should support it | q72. Used force or violence for a political cause | 72  Contacted other influential people outside the government-3 categories. | 72 Contacted other influential people outside the government, such as traditional leaders/community leaders. | 72  Signed a paper or online petition?"
q73,5,"Wave2, Wave3, Wave4, Wave5, Wave6","The best way to deal with complicated political issues should be to leave them to the future | q73. Thinking of whether you voted or not ever since you became eligible for voting, how would you describe yourself -have you voted in every election, voted in most elections, voted in some elections or hardly ever voted? | 73  Contacted news media-3 categories | 73 Contacted news media | 73  Used the Internet including Social Media Networks to express opinions about politics"
q74,5,"Wave2, Wave3, Wave4, Wave5, Wave6","Political reform should be introduced little-by-little instead of all-at-once | q74. Let's talk for a moment about the kind of government you would like to have in this country, which of the followings statements do you agree with most? Choose the first or the second statement. [Interviewer: Probe whether respondent strongly agrees o | 74 Whether you personally have ever got together with others to try to resolve local problems-3 categories | 74 Signed a paper petition | 74  Joined a group to activiely support a cause [including online]"
q75,5,"Wave2, Wave3, Wave4, Wave5, Wave6","Cruel criminals should be punished immediately without regard to time-consuming legal processes | q75. Let's talk for a moment about the kind of government you would like to have in this country, which of the followings statements do you agree with most? Choose the first or the second statement. [Interviewer: Probe whether respondent strongly agrees o | 75 Got together with others to raise an issue or sign a petition-3 categories | 75 Signed an online petition | 75  Got together with others face-to face to try to resolve local problems"
q76,5,"Wave2, Wave3, Wave4, Wave5, Wave6","For the sake of the national community/society, the individual should be prepared to sacrifice | q76. Let's talk for a moment about the kind of government you would like to have in this country, which of the followings statements do you agree with most? Choose the first or the second statement. [Interviewer: Probe whether respondent strongly agrees o | 76 Attended a demonstration or protest march-3 categories | 76 Used the internet including social media networks to express opinions about politics and government | 76  Attended a demonstration or protest march"
q77,5,"Wave2, Wave3, Wave4, Wave5, Wave6","The most important thing for political leaders is to accomplish their goals even if they have to ignore the established procedure | q77. Let's talk for a moment about the kind of government you would like to have in this country, which of the followings statements do you agree with most? Choose the first or the second statement. [Interviewer: Probe whether respondent strongly agrees o | 77 Used force or violence for a political cause-3 categories | 77 Joined a group to actively support a cause(including online) | 77  Taken an action or done something for a political cause that put you in risk of getting injured"
q78,5,"Wave2, Wave3, Wave4, Wave5, Wave6","If possible, I don't want to get involved in political matters | q78. Let's talk for a moment about the kind of government you would like to have in this country, which of the followings statements do you agree with most? Choose the first or the second statement. [Interviewer: Probe whether respondent strongly agrees o | 78 Thinking of whether you voted or not ever since you became eligible for voting, how would you describe yourself? | 78 Got together with others face-to-face to try to resolve local problems | 78 Thinking of whether you voted or not ever since you became eligible for voting, how would you describe yourself-have you voted in every election, voted in most elections, voted in some elections or hardly ever voted?"
q79,5,"Wave2, Wave3, Wave4, Wave5, Wave6","Contacted government (administrative) official | q79. Let's talk for a moment about the kind of government you would like to have in this country, which of the followings statements do you agree with most? Choose the first or the second statement. [Interviewer: Probe whether respondent strongly agrees o | 79. Which of the following statements do you agree with most? | 79 Attended a demonstration or protest march | 79 In recent years and thinking about election campaigns, has a candidate or someone from a political party or campaign team offered you something, like food, cash, a gift, or a job in return for your vote or support?"
q8,5,"Wave2, Wave3, Wave4, Wave5, Wave6",Trust in the Courts | q8. The courts | 8 The courts
q80,5,"Wave2, Wave3, Wave4, Wave5, Wave6","Contacted officials at higher level | q80. Over the long run, our system of government is capable of solving the problems our country faces. | 80. which of the following statements do you agree with most? | 80 Taken an action or done something for a political cause that put you in a risk of getting injured | 80  Over the long run, our system of government is capable of solving the problems our country faces."
q81,5,"Wave2, Wave3, Wave4, Wave5, Wave6","Contacted elected officials or legislative representatives at any level | q81. Thinking in general, I am proud of our system of government. | 81. which of the following statements do you agree with most? | 81 Thinking of whether you voted or not ever since you became eligible for voting, how would you describe yourself-have you voted in every election, voted in most elections, voted in some elections or hardly ever voted? | 81  Thinking in general, I am proud of our system of government."
q82,5,"Wave2, Wave3, Wave4, Wave5, Wave6","Contacted officials of political parties or other political organizations | q82. A system like ours, even if it runs into problems, deserves the people's support. | 82. which of the following statements do you agree with most? | 82 which of the following statements do you agree with most?government leaders vs.their citizens | 82  A system like ours, even if it runs into problems, deserves the people's support."
q83,5,"Wave2, Wave3, Wave4, Wave5, Wave6","Contacted representative of non-government/civil society organizations | q83. I would rather live under our system of government than any other that I can think of. | 83. Over the long run, our system of government is capable of solving the problems our country faces | 83 Which of the following statements do you agree with most? the problem of accountability | 83  I would rather live under our system of government than any other that I can think of."
q84,5,"Wave2, Wave3, Wave4, Wave5, Wave6","Contacted traditional leaders/community leaders (IN: Mass media; TW/HK: Acquaintances in the government) | q84. Compared with other systems in the world, would you say our system of government works fine as it is, needs minor change, needs major change, or should be replaced? | 84. Thinking in general, I am proud of our system of government | 84 Which of the following statements do you agree with most? freedom of the press | 84 Would you say our system of government works fine as it is, needs minor change, needs major change, or should be replaced?"
q85,5,"Wave2, Wave3, Wave4, Wave5, Wave6","Contacted other influential people | q85. Many things may be desirable, but not all of them are essential characteristics of democracy. If you have to choose only one from each four sets of statements that I am going to read, which one would you choose as the most essential characteristics o | 85 A system like ours, even if it runs into problems, deserves the people's support | 85 Which of the following statements do you agree with most? political leader | 85 Which one would you choose as the most essential characteristics of a democracy: Set 1?"
q86,5,"Wave2, Wave3, Wave4, Wave5, Wave6","Refused to pay taxes or fees to the government | q86. If you have to choose only one from each four sets of statements that I am going to read, which one would you choose as the most essential characteristics of a democracy? | 86. I would rather live under our system of government than any other that I can think of | 86 Over the long run, our system of government is capable of solving the problems our country face | 86 Which one would you choose as the most essential characteristics of a democracy: Set 2?"
q87,5,"Wave2, Wave3, Wave4, Wave5, Wave6","Got together with others to raise an issue or sign a petition | q87. If you have to choose only one from each four sets of statements that I am going to read, which one would you choose as the most essential characteristics of a democracy? | 87. would you say our system of government works fine as it is, needs minor change, needs major change, or should be replaced? | 87 Thinking in general, I am proud of our system of government | 87 Which one would you choose as the most essential characteristics of a democracy: Set 3?"
q88,5,"Wave2, Wave3, Wave4, Wave5, Wave6","Attended a demonstration or protest march | q88. If you have to choose only one from each four sets of statements that I am going to read, which one would you choose as the most essential characteristics of a democracy? | 88  which one would you choose as the most essential characteristics of a democracy? | 88 A system like ours, even if it runs into problems, deserves the people's support | 88 Which one would you choose as the most essential characteristics of a democracy: Set 4?"
q89,5,"Wave2, Wave3, Wave4, Wave5, Wave6","Used force or violence for a political cause | q89. On the whole, how satisfied or dissatisfied are you with the way democracy works in [Country].  Are you …? | 89. which one would you choose as the most essential characteristics of a democracy? | 89 I would rather live under our system of government than any other that I can think of. | 89 To you, what does “democracy” mean? (open-ended) <optional>"
q9,5,"Wave2, Wave3, Wave4, Wave5, Wave6",Trust in the national government | q9. The national government [in capital city] | 9 National government in the capital city
q90,5,"Wave2, Wave3, Wave4, Wave5, Wave6","Thinking of whether you voted or not ever since you became eligible for voting, how would you describe yourself-have you voted | q90. In your opinion how much of a democracy is [Country Name] ? | 90. which one would you choose as the most essential characteristics of a democracy? | 90 Would you say our system of government works fine as it is, needs minor change, needs major change, or should be replaced? | 90 On the whole, how satisfied or dissatisfied are you with the way democracy works in the country?"
q92,5,"Wave2, Wave3, Wave4, Wave5, Wave6","People often differ in their views on the characteristic that is essential to democracy. If you have to choose only one of the things | q92. Where would you place our country ten years ago? | 92 On the whole, how satisfied or dissatisfied are you with the way democracy works in the country? | 92 Politics is clean and free of corruption | 92 Where would you place our country under the present government?"
q93,5,"Wave2, Wave3, Wave4, Wave5, Wave6","On the whole, how satisfied or dissatisfied are you with the way democracy works in [country]? | q93. Where would you want our country to be in the future? | 93. In your opinion how much of a democracy is the country? | 93 People have the freedom to take part in protests and demonstrations | 93 Where would you place our country ten years ago?"
q94,5,"Wave2, Wave3, Wave4, Wave5, Wave6","In your opinion how much of a democracy is [country]? | q94. Here is a similar scale of 1 to 10 measuring the extent to which people think democracy is suitable for our country. If ""1"" means that democracy is completely unsuitable for [name of country] today and ""10"" means that it is completely suitable, where | 94 Where would you place our country under the present government? | 94 When making laws, the government seek advice from religious authorities | 94 Where would you expect our country to be ten years from now?"
q95,5,"Wave2, Wave3, Wave4, Wave5, Wave6","Where would you place our country during the period of [the name of the most recent government under authoritarian rule]? | q95. How satisfied or dissatisfied are you with the [name of president, etc. ruling current] government?  Are you …? | 95 Where would you place our country ten years ago? | 95 Political leaders rule by following their own wisdom rathan than people's preferences to ensure a society's collective welfare | 95 Where would you place our country today? Democracy is suitable or not"
q96,5,"Wave2, Wave3, Wave4, Wave5, Wave6","Where would you place our country under the present government? | q96. In your opinion, what are the most important problems facing this country that government should address? | 96 Where would you expect our country to be ten years from now? | 96 Rule by one party that represents the interests of all classes | 96 How satisfied or dissatisfied are you with the current president/government?"
q97,5,"Wave2, Wave3, Wave4, Wave5, Wave6",To what extent would you want our country to be democratic now? | q97. How likely is it that the government will solve the most important problem you identified within the next five years? [Read out options] | 97 Whether you think democracy is suitable for our country | 97 Qualified candidates are pre-selected by religious leaders | 97 What are the most important problems facing this country that government should address? First
q98,5,"Wave2, Wave3, Wave4, Wave5, Wave6","Which would you think democracy is suitable for our country? | q98. Now I am going to read to you a list of statements that describe how people often feel about the state of affairs in [country name]. Please tell me whether you strongly agree, somewhat agree, somewhat disagree, or strongly disagree with each of these | 98 How satisfied or dissatisfied are you with the current government? | 98 If you have to choose only one, which of the following you think is the most essential element of a democracy? | 98 How likely is it that the government will solve the most important problem you identified within the next five years?"
q99,5,"Wave2, Wave3, Wave4, Wave5, Wave6","How satisfied or dissatisfied are you with the [name of present] government? | q99. Political parties or candidates in our country have equal access to the mass media during the election period. | 99 What are the first most important problems facing this country? 1st | 99 On the whole, how satisfied or dissatisfied are you with the way democracy works in our country? | 99 Citizens are able to remove a government they don't like through elections."
country,4,"Wave1, Wave2, Wave3, Wave4",Country | Country Code | Country code
idnumber,4,"Wave1, Wave2, Wave3, Wave4",idnumber | Interview Numbers | case number
q162,4,"Wave2, Wave4, Wave5, Wave6","Impression: International Monetary Fund or IMF | 162 Given the chance, how willing would you be to go and live in another country | 162 The following is a hypothetical question: If your family were unfortunate enough to lose its main source of income, how serious would it be for your family? | 162 The following is a hypothetical question: If you were unfortunate enough to lose your main source of income, how serious would it be for you and your family?"
q163,4,"Wave2, Wave4, Wave5, Wave6","Impression: World Bank | 163 Which country has the most influence in Asia? | 163 Considering all the effort that you and your family members have made in the past, do you think the income that your family currently receives is fair or not fair?"
q164,4,"Wave2, Wave4, Wave5, Wave6","Impression: United States | 164 Does the United States do more good or harm to the region? | 164 As compared to my parent's generation, my generation has more or fewer opportunities to improve one's standard of living or social status? | 164 As compared to my parent's generation, my generation has more or fewer opportunities to improve the standard of living or   social status?"
q165,4,"Wave2, Wave4, Wave5, Wave6",Impression: China | 165 Does China do more good or harm to the region? | 165 Will the next generation have had a better or worse life than our generation?
q166,4,"Wave2, Wave4, Wave5, Wave6","Impression: Japan | 166 In ten years, which country will have the most influence in Asia? | 166 How proud are you to be a citizen of the country? | 166 How proud are you to be a citizen of (COUNTRY)? Are you..."
q21,4,"Wave3, Wave4, Wave5, Wave6",q21. Second Organization | 21. Name of the organization you belong to. Second | 21  Which organization you participate most actively in the last 12 months? | 21 Which organization you participate most actively in the last 12 months?'
q22,4,"Wave3, Wave4, Wave5, Wave6","q22. Third Organization | 22. Name of the organization that you belong to. Third | 22 Would you say that ""Most people can be trusted"" or ""that you must be very careful in dealing with people""? | 22 Would you say that 'Most people can be trusted' or 'that you must be very careful in dealing with people'?"
q52,4,"Wave2, Wave3, Wave4, Wave5","When you get together with your family members or friends, how often do you discuss political matters? | q52. For the sake of national interest, individual interest could be sacrificed. | 52. How often do you use the Internet or social media networks to express your opinion about politics and government? | 52 Which one is the most important channel for you to find information about politics and government?"
q91,4,"Wave3, Wave4, Wave5, Wave6",q91. Here is a scale: 1 means completely undemocratic and 10 means completely democratic. Where would you place our country under the present government? | 91. which one would you choose as the most essential characteristics of a democracy? | 91 The courts protects the ordinary people from the abuse of government power | 91 In your opinion how much of a democracy is our country?
ir10a,3,"Wave2, Wave3, Wave4",Was the interview conducted with the assistance of an interpreter? | IR10a. Was the interview conducted with the assistance of an interpreter? | ir10a Was the interview conducted with the assistance of an interpreter?
ir12a,3,"Wave2, Wave3, Wave4",What is the condition of the road leading to the interviewee's residence? | IR12a. Post-office | ir12a. Post-office
ir12b,3,"Wave2, Wave3, Wave4",Is tap water the main source of drinking water? | IR12b. School | ir12b. School
ir12c,3,"Wave2, Wave3, Wave4",Is electricity the main source of lighting? | IR12c. Police station | ir12c. Police station
ir12d,3,"Wave2, Wave3, Wave4",How far is it between the nearest public transportation stop and the respondent's house? | IR12d. Sewerage system that most houses could access | ir12d. Sewerage system that most houses could access
ir2,3,"Wave2, Wave3, Wave4",Is this the first questionnaire interviewers have completed? | IR2. Is this the first questionnaire you have completed? | ir2 Is this the first questionnaire you have completed?
ir2a,3,"Wave2, Wave3, Wave4",Interviewer's gender | IR2a. Interviewer's gender | ir2a Interviewer's gender
ir2b,3,"Wave2, Wave3, Wave4",Interviewer's age | IR2b. Interviewer's Age | ir2b Interviewer's Age
ir3,3,"Wave2, Wave3, Wave4","In the interview, other than the respondents, were others present? | IR3. In the interview, other than the respondent, were others present? | ir3 In the interview, other than the respondent, were others present?"
ir4,3,"Wave2, Wave3, Wave4",Has the respondent ever refused to be interviewed during the whole process? | IR4. Has the respondent ever refused to be interviewed during the whole process? | ir4 Has the respondent ever refused to be interviewed during the whole process?
ir5,3,"Wave2, Wave3, Wave4",Has the respondent ever felt impatient during the interview? | IR5. Has the respondent ever felt impatient during the interview? | ir5 Has the respondent ever felt impatient during the interview?
ir6,3,"Wave2, Wave3, Wave4",How cooperative was the respondent during the interview? | IR6. How cooperative was the respondent during the interview? | ir6 How cooperative was the respondent during the interview?
ir7,3,"Wave2, Wave3, Wave4",How sincere was the respondent when answering sensitive questions? | IR7. How sincere was the respondent when answering sensitive questions? | ir7 How sincere was the respondent when answering sensitive questions?
ir8,3,"Wave2, Wave3, Wave4",What proportion of the questions do you feel the respondent had difficulty answering? | IR8. What proportion of the questions do you feel the respondent had difficulty answering? | ir8 What proportion of the questions do you feel the respondent had the difficulty answering?
level3,3,"Wave1, Wave2, Wave3",urban-rural | Urban-rural
q157a,3,"Wave3, Wave5, Wave6",q157a. Does China do more good or harm to the region? | 157a Do you strongly agree or just agree with the chosen statement?
q160,3,"Wave2, Wave3, Wave4","Impression: The European Community or European Union | q160. How much influence does China have on our country? | 160 As compared to my parent's generation, my generation has more or fewer opportunities to improve one's standard of living or social status?"
q167,3,"Wave4, Wave5, Wave6","167 Which country should be a model for our own country's future development? | 167 Given the chance, how willing would you be to go and live in another country?"
q168,3,"Wave4, Wave5, Wave6","168 How much influence does China have on our country? | 168 Under a democratic system, the country endures poor economic performance | 168 In order to solve the country’s urgent problems, a leader can govern the country by decrees and disregard the parliament if necessary"
q169,3,"Wave4, Wave5, Wave6","169 General speaking, the influence China has on our country is? | 169 Democratic regimes are indecisive and full of problems | 169 As long as a government can solve our country’s economic problem, it does not matter if the government holds regular elections or not"
q170,3,"Wave4, Wave5, Wave6",170 How much influence does the United States have on our country? | 170 Democratic systems are not effective at maintaining order and stability | 170This country needs a leader who can break the rules if necessary to get things done
q171,3,"Wave4, Wave5, Wave6","171 General speaking, the influence the United States has on our country is? | 171 The citizens in our country are not prepared for a democratic system | 171 As long as the government can maintain order and stability in the country, it does not matter whether it is democratic or undemocratic"
q34a,3,"Wave4, Wave5, Wave6",34a Did the respondent vote for the winning or losing camp?
se10a,3,"Wave2, Wave3, Wave4","SE 10.1 Car/Jeep/Van | SE10a. Is he or she currently self-employed (including business owners), working in a family business, or working for an outsid | se10a Is he or she curently self-employed, working in family business or working for an outside employer?"
se10b,3,"Wave2, Wave3, Wave4",SE 10.2 Tractor | SE10b. How many people do his or her business employ? | se10b How many people does his or her business employ?
se10c,3,"Wave2, Wave3, Wave4",SE 10.3 Color or B/W Television | SE10c. What is his or her job title and job description?<The code number of ISCO> | se10c What is his/her job title (ISCO code)
se10d,3,"Wave2, Wave3, Wave4",SE 10.4 Cable Television | SE10d. Is he or she currently seeking employment? | se10d Is he or she currently seeking employment?
