variable,label,Wave1,Wave2,Wave3,Wave4,Wave5,Wave6
q10,Trust in Political parties,,✓,,,,
q10,q10. Political parties [not any specific party],,,✓,,,
q10,10 Political parties,,,,✓,,
q10,10 Political parties[not any specific party],,,,,✓,
q10,10 Political parties [not any specific party],,,,,,✓
q100,Where would you place our country under the present government?,✓,,,,,
q100,"In your opinion, what are the most important questions facing the country that government should address?",,✓,,,,
q100,"q100. Between elections, the people have no way of holding the government responsible for its actions.",,,✓,,,
q100,100. How likely is it that the government will solve the most important problem you identified within the next five years?,,,,✓,,
q100,100 In your opinion how much of a democracy is our country?,,,,,✓,
q100,"100  In our country, parties and candidates not in power have opportunities to be elected into government.",,,,,,✓
q101,To what extent would you want our country to be democratic now?,✓,,,,,
q101,Second Response,,✓,,,,
q101,"q101. When government leaders break the laws, there is nothing the court can do.",,,✓,,,
q101,101. People have the power to change a government they don't like,,,,✓,,
q101,101 Where would you place our country under the present government?,,,,,✓,
q101,"101  Between elections, the people have no way of holding the government responsible for its actions.",,,,,,✓
q102,Where do you expect our country to be in five years?,✓,,,,,
q102,Third Response,,✓,,,,
q102,q102. Most citizens in our country don't make much effort to influence government decisions.,,,✓,,,
q102,102. Political parties or candidates in our country have equal access to the mass media during the election period.,,,,✓,,
q102,102 Where would you place our country ten years ago?,,,,,✓,
q102,"102  When government leaders break the laws, there is nothing the court can do.",,,,,,✓
q102a,How likely is it that the government will solve the most important problem you identified?,,✓,,,,
q103,Do you think democracy is suitable for our country?,✓,,,,,
q103,People have the power to change a government they don't like,,✓,,,,
q103,q103. All citizens from different ethnic communities in Country X are treated equally by the government.,,,✓,,,
q103,"103. Between elections, the people have no way of holding the government responsible for its actions.",,,,✓,,
q103,103 Where would you expect our country to be ten years from now?,,,,,✓,
q103,103  All citizens from different ethnic communities in the [Country X] are treated equally by the government.,,,,,,✓
q104,How satisfied or dissatisfied are you with the current government?,✓,,,,,
q104,Our current courts always punish the guilty even if they are high-ranking officials,,✓,,,,
q104,q104. Rich and poor people are treated equally by the government.,,,✓,,,
q104,"104. When government leaders break the laws, there is nothing the court can do.",,,,✓,,
q104,104 Where would you place our country today? Democracy is suitable or not,,,,,✓,
q104,104  Rich and poor people are treated equally by the government.,,,,,,✓
q105,Everyone is free to say what they think- is better than before?,✓,,,,,
q105,Political parties or candidates in our country have equal access to the mass media during the election period,,✓,,,,
q105,"q105. People have basic necessities like food, clothes, and shelter.",,,✓,,,
q105,105. All citizens from different ethnic communities in the country are treated equally by the government.,,,,✓,,
q105,105 How satisfied or dissatisfied are you with the current president/government?,,,,,✓,
q105,"105  People have basic necessities like food, clothes, and shelter.",,,,,,✓
q106,Everyone is treated equally by the government- is better than before?,✓,,,,,
q106,"Between elections, the people have no way of holding the government responsible for its actions",,✓,,,,
q106,q106. People are free to speak what they think without fear.,,,✓,,,
q106,106 Rich and poor people are treated equally by the government,,,,✓,,
q106,106 What are the first most important problems facing this country that government should address(1st response)?,,,,,✓,
q106,106  People are free to speak what they think without fear.,,,,,,✓
q106a,106a What are the most important problems facing this country that government should address(2nd response)?,,,,,✓,
q106b,106b What are the most important problems facing this country that government should address(3rd response)?,,,,,✓,
q107,People like me can have an influence on government- is better than before?,✓,,,,,
q107,"When the government breaks the laws, there is nothing the legal system can do",,✓,,,,
q107,q107. People can join any organization they like without fear.,,,✓,,,
q107,"107. People have basic necessities like food, clothes, and shelter",,,,✓,,
q107,107 How likely is it that the government will solve the most important problem you identified within the next five years?,,,,,✓,
q107,107  People can join any organization they like without fear.,,,,,,✓
q108,Corruption in politics and government is under control- is better than before?,✓,,,,,
q108,Everyone is treated equally by the government,,✓,,,,
q108,q108. Do officials who commit crimes go unpunished?,,,✓,,,
q108,108. People are free to speak what they think without fear.,,,,✓,,
q108,108 Citizens are able to remove a government they don't like through elections,,,,,✓,
q108,108 How often do government officials withhold important information from the public?,,,,,,✓
q109,The gap between the rich and the poor have narrowed- is better than before?,✓,,,,,
q109,"People have basic necessities like food, clothes, and shelter",,✓,,,,
q109,q109. How often do government officials withhold important information from the public view?,,,✓,,,
q109,109 People can join any organization they like without fear.,,,,✓,,
q109,"109 In our country, parties and candidates not in power have opportunities to be elected into government",,,,,✓,
q109,109 How often do you think government leaders break the law or abuse their power?,,,,,,✓
q11,Trust in Parliament,,✓,,,,
q11,q11. Parliament,,,✓,,,
q11,11 Parliament,,,,✓,✓,✓
q110,Preventing crime and maintaining order- is better than before?,✓,,,,,
q110,People are free to speak what they think without fear,,✓,,,,
q110,q110. How often do you think government leaders break the law or abuse their power?,,,✓,,,
q110,110 Do officials who commit crimes go unpunished?,,,,✓,,
q110,"110 Between elections, the people have no way of holding the government responsible for its actions",,,,,✓,
q110,110 How often do you think our elections offer the voters a real choice between different parties/candidates?,,,,,,✓
q111,Economic development- is better than before?,✓,,,,,
q111,People can join any organization the like without fear,,✓,,,,
q111,q111.  How often do you think our elections offer the voters a real choice between different parties/candidates?,,,✓,,,
q111,111 How often do government officials withhold important information from the public view?,,,,✓,,
q111,"111 When government leaders break the laws, there is nothing the court can do",,,,,✓,
q111,111 To what extent is the legislature capable of keeping government leaders in check?,,,,,,✓
q112,Judges and courts are free from political interference- is better than before?,✓,,,,,
q112,How often do government officials withhold important information from the public view?,,✓,,,,
q112,q112. To what extent is the legislature capable of keeping government leaders in check?,,,✓,,,
q112,112 How often do you think government leaders break the law or abuse their power?,,,,✓,,
q112,112 All citizens from different ethnic communities in the country are treated equally by the government.,,,,,✓,
q112,112 How well do you think the government responds to what people want?,,,,,,✓
q113,You can join any organization you like- is better than before?,✓,,,,,
q113,How often do national government officials abide by the law? (HK: Hong Kong government),,✓,,,,
q113,q113. How well do you think the government responds to what people want?,,,✓,,,
q113,113 How often do you think our elections offer the voters a real choice between different parties/candidates?,,,,✓,,
q113,113 Rich and poor people are treated equally by the government,,,,,✓,
q113,113 How much do you feel that having elections make the government more responsive to people's needs?,,,,,,✓
q114,How widespread corruption in your local/municipal government?,✓,,,,,
q114,How often do your think our elections offer the voters a real choice between different parties/candidates?,,✓,,,,
q114,"q114. In your neighborhood or community, do people voice their interests and concerns in local affairs?",,,✓,,,
q114,114 To what extent is the legislature capable of keeping government leaders in check?,,,,✓,,
q114,"114 People have basic necessities like food, clothes, and shelter",,,,,✓,
q114,114 How capable is the government of enforcing laws and implementing policies?,,,,,,✓
q115,How widespread corruption in the national government?,✓,,,,,
q115,To what extent is the legislature capable of keeping the government in check?,,✓,,,,
q115,q115. How much do you feel that having elections makes the government pay attention to what the people think?,,,✓,,,
q115,115 How well do you think the government responds to what people want?,,,,✓,,
q115,115 People are free to speak what they think without fear,,,,,✓,
q115,115 How widespread do you think corruption and bribe-taking are in your local/municipal government?,,,,,,✓
q116,anyone you know personally witnessed an act of corruption?,✓,,,,,
q116,How well do you think the government responds to what people want?,,✓,,,,
q116,q116. How widespread do you think corruption and bribe-taking are in your local/municipal government?  Would you say …?,,,✓,,,
q116,116 How much do you feel that having elections makes the government pay attention to what the people think?,,,,✓,,
q116,116 People can join any organization they like without fear,,,,,✓,
q116,116 How widespread do you think corruption and bribe-taking are in the national government?,,,,,,✓
q116e,anyone you know personally witnessed ?,✓,,,,,
q117,Which comes closest to your own opinion?,✓,,,,,
q117,How widespread do you think corruption and bribe-taking are in your local/municipal government?,,✓,,,,
q117,q117. How widespread do you think corruption and bribe-taking are in the national government [in capital city]?  Would you say …?,,,✓,,,
q117,117 How widespread do you think corruption and bribe-taking are in your local/municipal government?,,,,✓,,
q117,117 How often do government officials withhold important information from the public?,,,,,✓,
q117,117 How effective is the government in cracking down on corruption?,,,,,,✓
q118,Which comes closer to your own view?,✓,,,,,
q118,How widespread do you think corruption and bribe-taking are in the national government?,,✓,,,,
q118,"q118. In your opinion, is the government working to crack down on corruption and root out bribery?",,,✓,,,
q118,118 How widespread do you think corruption and bribe-taking are in the national government?,,,,✓,,
q118,118 How often do you think government leaders break the law or abuse their power?,,,,,✓,
q118,118 Have you or anyone you know personally witnessed an act of corruption or bribe-taking by a politician or government official in the past year?,,,,,,✓
q119,choose between democracy and economic development?,✓,,,,,
q119,Have you or anyone you know personally witnessed an act of corruption or bribe-taking by a politician or government official in the past year?,,✓,,,,
q119,q119. Have you or anyone you know personally witnessed an act of corruption or bribe-taking by a politician or government official in the past year? IF WITNESSED: Did you personally witness it or were you told about it by a family member or friend who per,,,✓,,,
q119,"119 In your opinion, is the government working to crack down on corruption and root out bribery?",,,,✓,,
q119,119 How often do you think our elections offer the voters a real choice between different parties/candidates?,,,,,✓,
q119_1,119_1 Personally witnessed,,✓,✓,,,
q119_2,119_2 Told about it by family member,,✓,✓,,,
q119_3,119_3 Told about it by friend,,✓,✓,,,
q119a,119a Did you personally witness it or were you told about it by a family member or friend who personally witnessed? Personally witnessed,,,,,,✓
q119b,119b Did you personally witness it or were you told about it by a family member or friend who personally witnessed? Told about it by a family member who personally witnessed,,,,,,✓
q119c,119c Did you personally witness it or were you told about it by a family member or friend who personally witnessed? Told about it by a friend who personally witnessed,,,,,,✓
q12,Trust in Civil service,,✓,,,,
q12,q12. Civil service,,,✓,,,
q12,12 Civil service,,,,✓,✓,
q12,12 Civil Service,,,,,,✓
q120,Which comes closer to your own view?,✓,,,,,
q120,"In your opinion, is the government working to crackdown corruption and root out bribes?",,✓,,,,
q120,q120. Remember the scale that we used before: 1 means completely undemocratic and 10 means completely democratic. Where would you place China today on this scale?,,,✓,,,
q120,120 Have you or anyone you know personally witnessed an act of corruption or bribe-taking by a politician or government official in the past year?,,,,✓,,
q120,120 To what extent is the legislature capable of keeping government leaders in check?,,,,,✓,
q120,120 Where would you place China today on this scale?,,,,,,✓
q121,We should get rid of parliament and elections and have a strong leader decide things,✓,,,,,
q121,Which of the following statements comes closest to your own opinion?,,✓,,,,
q121,q121. Where would you place the United States today on this scale?,,,✓,,,
q121,121 Where would you place China today on this scale?,,,,✓,,
q121,121 How well do you think the government responds to what people want?,,,,,✓,
q121,121 Where would you place the United States of America today on this scale?,,,,,,✓
q122,No opposition party should be allowed to compete for power,✓,,,,,
q122,Which of the following statements comes closer to your own view?,,✓,,,,
q122,q122. Where would you place Japan today on this scale?,,,✓,,,
q122,122 Where would you place the United States today on this scale?,,,,✓,,
q122,122 How much do you feel that having elections makes the government more responsive to people's needs,,,,,✓,
q122,122 Where would you place Japan today on this scale?,,,,,,✓
q123,The military should come in to govern the country,✓,,,,,
q123,"If you had to choose between democracy and economic development, which would you say is more important?",,✓,,,,
q123,q123. Where would you place India today on this scale?,,,✓,,,
q123,123 Where would you place Japan on this scale?,,,,✓,,
q123,123 How capable is the government of enforcing laws and implementing policies?,,,,,✓,
q123,123 Where would you place India today on this scale?,,,,,,✓
q124,We should get rid of parliament and elections and have the experts decide everything,✓,,,,,
q124,We should get rid of parliament and elections and have a strong leader decide things,,✓,,,,
q124,q124. Which of the following statements comes closest to your own opinion?,,,✓,,,
q124,124 Where would you place India on this scale?,,,,✓,,
q124,124 How widespread do you think corruption and bribe-taking are in your local/municipal government?,,,,,✓,
q124,124 Which of the following statements comes closest to your own opinion?,,,,,,✓
q125,"It is ok for the government to disregard the law in order to deal with the situation, when the country is facing a diffi",✓,,,,,
q125,Only one political party is allowed to stand for election and hold office,,✓,,,,
q125,q125. Which of the following statements comes closer to your own view?,,,✓,,,
q125,125 Which of the following statements comes closest to your own opinion?,,,,✓,,
q125,125 How widespread do you think corruption and bribe-taking are in the national government?,,,,,✓,
q125,125 Which of the following statements comes closer to your own view?,,,,,,✓
q126,I have the ability to participate in politics,✓,,,,,
q126,The army should come in to govern the country,,✓,,,,
q126,"q126. If you had to choose between democracy and economic development, which would you say is more important?",,,✓,,,
q126,126 Which of the following statements comes closer to your own view?,,,,✓,,
q126,126 How effective is the government in cracking down on corruption?,,,,,✓,
q126,"126 If you had to choose between democracy and economic development, which would you say is more important?",,,,,,✓
q127,Politics and government seems so complicated that a person like me can't really understand what is going on,✓,,,,,
q127,I think I have the ability to participate in politics,,✓,,,,
q127,"q127. If you had to choose between reducing economic inequality and protecting political freedom, which would you say is more important?",,,✓,,,
q127,"127 If you had to choose between democracy and economic development, which would you say is more important?",,,,✓,,
q127,127 Have you or anyone you know personally witnessed an act of corruption or bribe-taking by a politician or government official in the past year?,,,,,✓,
q127,"127 If you had to choose between reducing economic inequality and protecting political freedom, which would you say is more important?",,,,,,✓
q127a_1,127a_1 Did you personally witness it or were you told about it by a family member or friend who personally witnessed? personally witnessed,,,,,✓,
q127a_2,127a_2  Did you personally witness it or were you told about it by a family member or friend who personally witnessed? told about it by a family member who personally witnessed,,,,,✓,
q127a_3,127a_3  Did you personally witness it or were you told about it by a family member or friend who personally witnessed? told about it by a friend who personally witnessed,,,,,✓,
q128,The nation is run by a powerful few and ordinary citizens cannot do much about it,✓,,,,,
q128,Sometimes politics and government seems so complicated that a person like me can't really understand what is going on,,✓,,,,
q128,"q128. Do you agree or disagree with the following statement: ""Democracy may have its problems, but it is still the best form of government.""",,,✓,,,
q128,"128 If you had to choose between reducing economic inequality and protecting political freedom, which would you say is more important?",,,,✓,,
q128,128 Where would you place China today on this scale?,,,,,✓,
q128,"128 Do you agree or disagree with the following statement: 'Democracy may have its problems, but it is still the best form of government's?",,,,,,✓
q129,People like me don't have any influence over what the government does,✓,,,,,
q129,"Whatever its faults may be, our form of government is still the best for us",,✓,,,,
q129,"q129. There are many ways to govern a country. Would you disapprove or approve of the following alternatives? For each statement, would you say you strongly approve, approve, disapprove, or strongly disapprove? We should get rid of parliament and election",,,✓,,,
q129,"129 Do you agree or disagree with the following statement: ""Democracy may have its problems, but it is still the best form of government"".",,,,✓,,
q129,129 Where would you place the United States today on this scale?,,,,,✓,
q129,129 We should get rid of parliament and elections and have a strong leader to decide things.,,,,,,✓
q129a,strong leader,,,✓,,,
q129a_q131a,sum of Q129a_q131a(reject all authoritarian options),,,✓,,,
q13,Trust in the military(or armed forces),,✓,,,,
q13,q13. The military(or armed forces),,,✓,,,
q13,13 The military,,,,✓,,
q13,13 The military or armed force,,,,,✓,
q13,13 The military or armed forces,,,,,,✓
q130,Our form of government is still the best for us,✓,,,,,
q130,You can generally trust the people who run our government to do what is right (HK: Hong Kong government),,✓,,,,
q130,q130. Only one political party should be allowed to stand for election and hold office.,,,✓,,,
q130,130 We should get rid of parliament and elections and have a strong leader decide things.,,,,✓,,
q130,130 Where would you place Japan today on this scale?,,,,,✓,
q130,130 Only one political party is allowed to stand for election and hold office.,,,,,,✓
q130a,one poltical party,,,✓,,,
q131,You can generally trust the people who run our government to do what is right,✓,,,,,
q131,"Generally speaking, we can trust the local government officials to do the right things",,✓,,,,
q131,q131. The army (military) should come in to govern the country.,,,✓,,,
q131,131 Only one political party should be allowed to stand for election and hold office.,,,,✓,,
q131,131 Where would you place India today on this scale?,,,,,✓,
q131,131 The army (military) should come in to govern the country.,,,,,,✓
q131a,army,,,✓,,,
q132,People with little or no education should have as much say in politics as highly-educated people,✓,,,,,
q132,Which of these two statements comes closer to your own view,,✓,,,,
q132,q132. We should get rid of elections and parliaments and have experts make decisions on behalf of the people.,,,✓,,,
q132,132 The army (military) should come in to govern the country.,,,,✓,,
q132,132 Which of the following statements comes closest to your own opinion?,,,,,✓,
q132,132 We should get rid of elections and parliaments and have experts make decisions on behalf of the people.,,,,,,✓
q133,Government leaders are like the head of a family; we should all follow their decisions,✓,,,,,
q133,People with little or no education should have as much say in politics as highly-educated people,,✓,,,,
q133,"q133. I have here some statements. For each statement, would you say you strongly agree, somewhat agree, somewhat disagree, or strongly disagree? I think I have the ability to participate in politics.",,,✓,,,
q133,133 We should get rid of elections and parliaments and have experts make decisions on behalf of the people.,,,,✓,,
q133,133 Which of the following statements comes closer to your own view?,,,,,✓,
q133,133 I think I have the ability to participate in politics.,,,,,,✓
q134,The government should decide whether certain ideas should be allowed to be discussed in society,✓,,,,,
q134,Government leaders are like the head of a family; we should all follow their decisions,,✓,,,,
q134,q134. Sometimes politics and government seems so complicated that a person like me can't really understand what is going on.,,,✓,,,
q134,134 I think I have the ability to participate in politics.,,,,✓,,
q134,"134 If you had to choose between democracy and economic development, which would you say is more important?",,,,,✓,
q134,134 Sometimes politics and government seems so complicated that a person like me can't really understand what is going on.,,,,,,✓
q135,Harmony of the community will be disrupted if people organize lots of groups,✓,,,,,
q135,The government should decide whether certain ideas should be allowed to be discussed in society,,✓,,,,
q135,q135. People like me don't have any influence over what the government does.,,,✓,,,
q135,135 Sometimes politics and government seems so complicated that a person like me can't really understand what is going on.,,,,✓,,
q135,"135 If you had to choose between reducing economic inequality and protecting political freedom, which would you say is more important?",,,,,✓,
q135,135 People like me don't have any influence over what the government does.,,,,,,✓
q136,"When judges decide important cases, they should accept the view of the executive branch",✓,,,,,
q136,Harmony of the community will be disrupted if people organize lots of groups,,✓,,,,
q136,q136. You can generally trust the people who run our government to do what is right.,,,✓,,,
q136,136 People like me don't have any influence over what the government does.,,,,✓,,
q136,"136 Do you agree or disagree with the following statement: ""Democracy may have its problems, but it is still the best form of government"".",,,,,✓,
q136,136 You can generally trust the people who run our government to do what is right.,,,,,,✓
q137,"If the government is constantly checked by the legislature, it cannot possibly accomplish great things",✓,,,,,
q137,"When judges decide important cases, they should accept the view of the executive branch",,✓,,,,
q137,"q137. A citizen should always remain loyal only to his country, no matter how imperfect it is or what wrong it has done.",,,✓,,,
q137,137 You can generally trust the people who run our government to do what is right.,,,,✓,,
q137,137 We should get rid of parliament and elections and have a strong leader decide things.,,,,,✓,
q137,"137 A citizen should always remain loyal only to his country, no matter how imperfect it is or what wrong it has done.",,,,,,✓
q138,"If we have political leaders who are morally upright, we can let them decide everything",✓,,,,,
q138,"If the government is constantly checked by the legislature, it cannot possibly accomplish great things",,✓,,,,
q138,"q138. I have here other statements. For each statement, would you say you strongly agree, somewhat agree, somewhat disagree, or strongly disagree? The government should consult religious authorities when interpreting the laws.",,,✓,,,
q138,"138 A citizen should always remain loyal only to his country, no matter how imperfect it is or what wrong it has done.",,,,✓,,
q138,138 Only one political party should be allowed to stand for election and hold office,,,,,✓,
q138,138 Have you or your family members previously contracted the Covid-19 virus?,,,,,,✓
q139,"If people have too many different ways of thinking, society will be chaotic",✓,,,,,
q139,"If we have political leaders who are morally upright, we can let them decide everything",,✓,,,,
q139,q139. Women should not be involved in politics as much as men.,,,✓,,,
q139,139 Women should not be involved in politics as much as men,,,,✓,,
q139,139 The army (military) should come in to govern the country,,,,,✓,
q139a,139a Did you or a member of your family suffer from serious illness or death?,,,,,,✓
q139b,139b Did you or a member of your family suffer from loss of job,,,,,,✓
q139c,139c Did you or a member of your family suffer from loss of household income?,,,,,,✓
q139d,139d Did you or a member of your family suffer from disruption of my kids' education?,,,,,,✓
q14,Trust in the police,,✓,,,,
q14,q14. The police,,,✓,,,
q14,14 The police,,,,✓,✓,✓
q140,The government should maintain ownership of major state-owned enterprises,✓,,,,,
q140,"If people have too many different ways of thinking, society will be chaotic",,✓,,,,
q140,q140. People with little or no education should have as much say in politics as highly-educated people.,,,✓,,,
q140,140 The government should consult religious authorities when interpreting the laws,,,,✓,,
q140,140 We should get rid of elections and parliaments and have experts make decisions on behalf of the people.,,,,,✓,
q140,"140 Thinking of the negative impact of Covid-19 on your family's livelihood, how serious it is in your view?",,,,,,✓
q141,The national government should have more authority over local decisions than it does now,✓,,,,,
q141,"When the country is facing a difficult situation, it is ok for the government to disregard the law in order to deal with the situation",,✓,,,,
q141,q141. Government leaders are like the head of a family; we should all follow their decisions.,,,✓,,,
q141,141 People with little or no education should have as much say in politics as highly-educated people,,,,✓,,
q141,141 I think I have the ability to participate in politics,,,,,✓,
q141,141 How much do you trust the Covid-19 related information provided by the government?,,,,,,✓
q141a,government leader,,,✓,,,
q141a_q147a,average rejection of authoritarian values,,,✓,,,
q142,Our country should defend our way of life instead of becoming more and more like other countries,✓,,,,,
q142,The government should maintain ownership of major state-owned enterprises,,✓,,,,
q142,q142. The government should decide whether certain ideas should be allowed to be discussed in society.,,,✓,,,
q142,142 Government leaders are like the head of a family; we should all follow their decisions,,,,✓,,
q142,142 Sometimes politics and government seems so complicated that a person like me can't really understand what is going on,,,,,✓,
q142,142 How well or badly do you think the government handled the pandemic?,,,,,,✓
q142a,certain ideas,,,✓,,,
q143,"For the sake of the national community/society, the individual should be prepared to sacrifice his personal interest",✓,,,,,
q143,The local government should have more authority over local decisions than it does now,,✓,,,,
q143,q143. Harmony of the community will be disrupted if people organize lots of groups.,,,✓,,,
q143,143 The government should decide whether certain ideas should be allowed to be discussed in society,,,,✓,,
q143,143 People like me don`t have any influence over what the government does,,,,,✓,
q143a,Harmony of the community,,,✓,,,
q143a,"143aWhen there is a public health challenge like the coronavirus, is it justifiable for the government to postpone elections?",,,,,,✓
q143b,143b To limit freedom of speech or assembly,,,,,,✓
q143c,143c To censor the media,,,,,,✓
q143d,143d To track citizens’ locations at all times,,,,,,✓
q143e,143e To impose a lockdown for a long time,,,,,,✓
q144,"The state is like a big machine and the individual is but a small cog, with no independent status",✓,,,,,
q144,Our country should defend our way of life instead of becoming more and more like other countries,,✓,,,,
q144,"q144. When judges decide important cases, they should accept the view of the executive branch.",,,✓,,,
q144,144 Harmony of the community will be disrupted if people organize lots of groups,,,,✓,,
q144,144 You can generally trust the people who run our government to do what is right,,,,,✓,
q144,144 Have you been vaccinated against Covid-19?,,,,,,✓
q144a,judges,,,✓,,,
q145,The most important thing for a political leader is to accomplish his goals even if he has to ignore the established proc,✓,,,,,
q145,"In order to preserve social justice, the government should prevent the gap between rich and poor from growing any larger",,✓,,,,
q145,"q145. If the government is constantly checked [i.e. monitored and supervised] by the legislature, it cannot possibly accomplish great things.",,,✓,,,
q145,"145 When judges decide important cases, they should accept the view of the executive branch",,,,✓,,
q145,"145 A citizen should always remain loyal only to his country, no matter how imperfect it is or what wrong it has done.",,,,,✓,
q145,145 Why do you prefer not to be vaccinated against Covid-19?,,,,,,✓
q145a,checked by the legislature,,,✓,,,
q145other,145. Other specify responses,,,,,,✓
q146,"If a political leader really believes in his position, he should refuse to compromise regardless of how many people disa",✓,,,,,
q146,Our country should become more self-sufficient and less reliant on trade with other countries,,✓,,,,
q146,"q146. If we have political leaders who are morally upright, we can let them decide everything.",,,✓,,,
q146,"146 If the government is constantly checked [i.e. monitored and supervised] by the legislature, it cannot possibly accomplish great things",,,,✓,,
q146,146 Women should not be involved in politics as much as men,,,,,✓,
q146,146 I have here other statements: Women should not be involved in politics as much as men,,,,,,✓
q146a,political leaders,,,✓,,,
q147,A political leader should tolerate the views of those who challenge his political ideals,✓,,,,,
q147,Let us suppose that you had to choose between being a..... which of these do you feel most strongly attached to,,✓,,,,
q147,"q147. If people have too many different ways of thinking, society will be chaotic.",,,✓,,,
q147,"147 If we have political leaders who are morally upright, we can let them decide everything",,,,✓,,
q147,147 The government should consult religious authorities when interpreting the laws,,,,,✓,
q147,147 The government should consult religious authorities when interpreting the laws.,,,,,,✓
q147a,A political leader should not tolerate the views of those who challenge his political ideals,✓,,,,,
q147a,chaotic,,,✓,,,
q148,"As long as a political leader enjoys majority support, he should implement his own agenda and disregard the view of the",✓,,,,,
q148,These people should have the equal right to do whatever they want to do as other citizens,,✓,,,,
q148,"q148. When the country is facing a difficult situation, it is ok for the government to disregard the law in order to deal with the situation.",,,✓,,,
q148,"148 If people have too many different ways of thinking, society will be chaotic",,,,✓,,
q148,148 People with little or no education should have as much say in politics as highly-educated people,,,,,✓,
q148,148 People with little or no education should have as much say in politics as highly-educated people.,,,,,,✓
q149,They should enjoy the same right as other citizens to vote in the election of the top leader,,✓,,,,
q149,q149. How closely do you follow major events in foreign countries / the world?,,,✓,,,
q149,"149 When the country is facing a difficult situation, it is ok for the government to disregard the law in order to deal with the situation",,,,✓,,
q149,149 Government leaders are like the head of a family; we should all follow their decisions,,,,,✓,
q149,149 Government leaders are like the head of a family; we should all follow their decisions.,,,,,,✓
q15,Trust in local government,,✓,,,,
q15,q15. Local government,,,✓,,,
q15,15 Local government,,,,✓,✓,✓
q150,Their basic well-being should be taken care of by the government to the same extent as other citizens,,✓,,,,
q150,"q150. How often do you watch or listen to foreign programs (television, DVDs, movies, radio)?",,,✓,,,
q150,150 How closely do you follow major events in foreign countries/ the world?,,,,✓,,
q150,150 The government should decide whether certain ideas should be allowed to be discussed in society,,,,,✓,
q150,150 The government should decide whether certain ideas should be allowed to be discussed in society.,,,,,,✓
q151,A citizen who does not actively participate in the affairs of his local and national community is not performing his duties,,✓,,,,
q151,q151. Our country should defend our way of life instead of becoming more and more like other countries.,,,✓,,,
q151,151 Our country should defend our way of life instead of becoming more and more like other countries.,,,,✓,,
q151,151 Harmony of the community will be disrupted if people organize lots of groups,,,,,✓,
q151,151 Harmony of the community will be disrupted if people organize lots of groups.,,,,,,✓
q152,"Citizens should always obey laws and regulations, even if they disagree with them",,✓,,,,
q152,"q152. Do you agree or disagree with the following statement: ""We should protect our farmers and workers by limiting the import of foreign goods.""",,,✓,,,
q152,"152 Do you agree or disagree with the following statement: ""We should protect our farmers and workers by limiting the import of foreign goods.""",,,,✓,,
q152,"152 When judges decide important cases, they should accept the view of the executive branch",,,,,✓,
q152,"152 When judges decide important cases, they should accept the view of the executive branch.",,,,,,✓
q153,"Do you agree or disagree with the following statement: ""A citizen should always remain loyal only to his country, no matter how imperfect",,✓,,,,
q153,"q153. Do you agree or disagree with the following statement: ""Foreign goods are hurting the local community.""",,,✓,,,
q153,153 Do you think the government should increase or decrease the inflow of foreign immigrants into the country?,,,,✓,,
q153,"153 If the government is constantly checked [i.e. monitored and supervised] by the legislature, it cannot possibly accomplish great things",,,,,✓,
q153,"153 If the government is constantly checked by the legislature, it cannot possibly accomplish great things.",,,,,,✓
q154,How proud are you to be a citizen of [Country],,✓,,,,
q154,q154. How proud are you to be a citizen of (COUNTRY)?,,,✓,,,
q154,154 Which of these statements comes closer to your view?,,,,✓,,
q154,"154 If we have political leaders who are morally upright, we can let them decide everything",,,,,✓,
q154,"154 If we have political leaders who are morally upright, we can let them decide everything.",,,,,,✓
q155,"Given the chance, how willing would you be to go and live in another country?",,✓,,,,
q155,"q155. Given the chance, how willing would you be to go and live in another country?",,,✓,,,
q155,155 How fair do you think income distribution is in the country?,,,,✓,,
q155,"155 If people have too many different ways of thinking, society will be chaotic",,,,,✓,
q155,"155 If people have too many different ways of thinking, society will be chaotic.",,,,,,✓
q156,Relation: The European Community or European Union,,✓,,,,
q156,q156. Which country has the most influence in Asia?,,,✓,,,
q156,156 It is the responsibility of the government to reduce the differences between people with high income and those with low incomes.,,,,✓,,
q156,156 Which of the following statements do you agree with the most? distinct way of life vs. learning from other countries,,,,,✓,
q156,156 Choose one statement.,,,,,,✓
q156_1,156_1 Our country should do more to learn from other countries(q156+q156a),,,,,✓,✓
q156a,156a Do you strongly agree or just agree with the chosen statement?,,,,,✓,✓
q157,Relation: The United Nations or UN,,✓,,,,
q157,"q157. Does (answer in Q156) do more good or harm to the region? Ask Q157a if the answer in Q156 is not China, otherwise skip to Q158",,,✓,,,
q157,157 How concerned are you about the loss of your major source of income within the next 12 months?,,,,✓,,
q157,157 Which of the following statements do you agree with the most? limit or import of foreign goods,,,,,✓,
q157,157 Choose one statement.,,,,,,✓
q157_1,157_1 Our country should do more trade with other countries(q157+q157a),,,,,✓,✓
q157a,q157a. Does China do more good or harm to the region?,,,✓,,,
q157a,157a Do you strongly agree or just agree with the chosen statement?,,,,,✓,✓
q157b,q157b. Does China do more good or harm to the region? (Whether the most influence country is China or not.),,,✓,,,
q158,Relation: International Monetary Fund or IMF,,✓,,,,
q158,"q158. In ten years, which country will have the most influence in Asia?",,,✓,,,
q158,"158 The following is a hypothetical question: If you were unfortunate enough to lose your main source of income, how serious would it be for you and your family?",,,,✓,,
