concept,wave,variable,scale_detected,n_categories,values,labels,direction
year,Wave5,year,var_not_found,NA,NA,NA,NA
year,Wave6,year,var_not_found,NA,NA,NA,NA
respondent_id,Wave1,NA,NA,NA,NA,NA,NA
respondent_id,Wave2,idnumber,continuous_check,7404,"1, 2, 3, 4, 5",,standard
respondent_id,Wave3,idnumber,continuous_check,6591,"1, 2, 3, 4, 5",Missing = -1,standard
respondent_id,Wave4,idnumber,continuous_check,6725,"1, 2, 3, 4, 5",,standard
respondent_id,Wave5,idnumber,var_not_found,NA,NA,NA,NA
respondent_id,Wave6,idnumber,var_not_found,NA,NA,NA,NA
concept_001,Wave1,NA,NA,NA,NA,NA,NA
concept_001,Wave2,q1,7pt,7,"1, 2, 3, 4, 5",Very bad = 1; Bad = 2; So so (not good nor bad) = 3,standard
concept_001,Wave3,q1,8pt,8,"1, 2, 3, 4, 5",Missing = -1; Very good = 1; Good = 2,standard
concept_001,Wave4,q1,8pt,8,"1, 2, 3, 4, 5",Missing = -1; Very good = 1; Good = 2,standard
concept_001,Wave5,q1,8pt,8,"1, 2, 3, 4, 5",Missing = -1; Very good = 1; Good = 2,standard
concept_001,Wave6,q1,7pt,7,"1, 2, 3, 4, 5",Very good = 1; Good = 2; So-so [not good nor bad] = 3,standard
concept_002,Wave1,NA,NA,NA,NA,NA,NA
concept_002,Wave2,q4,7pt,7,"1, 2, 3, 4, 5",Very bad = 1; Bad = 2; So so (not good nor bad) = 3,standard
concept_002,Wave3,q4,8pt,8,"1, 2, 3, 4, 5",Missing = -1; Very good = 1; Good = 2,standard
concept_002,Wave4,q4,7pt,7,"1, 2, 3, 4, 5",Missing = -1; Very good = 1; Good = 2,standard
concept_002,Wave5,q4,8pt,8,"1, 2, 3, 4, 5",Missing = -1; Very good = 1; Good = 2,standard
concept_002,Wave6,q4,6pt,6,"1, 2, 3, 4, 5",Missing = -1; Not applicable = 0; Very good = 1,standard
concept_003,Wave1,NA,NA,NA,NA,NA,NA
concept_003,Wave2,q56,7pt,7,"1, 2, 3, 4, 7",Strongly agree = 1; Somewhat agree = 2; Somewhat disagree = 3,standard
concept_003,Wave3,q56,7pt,7,"1, 2, 3, 4, 7",Missing = -1; Strongly agree = 1; Somewhat agree = 2,standard
concept_003,Wave4,q56,7pt,7,"1, 2, 3, 4, 7",Missing = -1; Strongly agree = 1; Somewhat agree = 2,standard
concept_003,Wave5,q56,continuous_check,163,"90, 101, 102, 103, 104",Missing = -1; Not applicable = 0; Do not feel close to any party = 90,standard
concept_003,Wave6,q56,7pt,7,"1, 2, 3, 4, 7",Missing = -1; Not applicable = 0; Strongly agree = 1,standard
concept_004,Wave1,NA,NA,NA,NA,NA,NA
concept_004,Wave2,q59,7pt,7,"1, 2, 3, 4, 7",Strongly agree = 1; Somewhat agree = 2; Somewhat disagree = 3,standard
concept_004,Wave3,q59,7pt,7,"1, 2, 3, 4, 7",Missing = -1; Strongly agree = 1; Somewhat agree = 2,standard
concept_004,Wave4,q59,7pt,7,"1, 2, 3, 4, 7",Missing = -1; Strongly agree = 1; Somewhat agree = 2,standard
concept_004,Wave5,q59,7pt,7,"1, 2, 3, 4, 7",Missing = -1; Strongly agree = 1; Somewhat agree = 2,standard
concept_004,Wave6,q59,7pt,7,"1, 2, 3, 4, 7",Missing = -1; Not applicable = 0; Strongly agree = 1,standard
concept_005,Wave1,NA,NA,NA,NA,NA,NA
concept_005,Wave2,q60,7pt,7,"1, 2, 3, 4, 7",Strongly agree = 1; Somewhat agree = 2; Somewhat disagree = 3,standard
concept_005,Wave3,q60,7pt,7,"1, 2, 3, 4, 7",Missing = -1; Strongly agree = 1; Somewhat agree = 2,standard
concept_005,Wave4,q60,7pt,7,"1, 2, 3, 4, 7",Missing = -1; Strongly agree = 1; Somewhat agree = 2,standard
concept_005,Wave5,q60,7pt,7,"1, 2, 3, 4, 7",Missing = -1; Strongly agree = 1; Somewhat agree = 2,standard
concept_005,Wave6,q60,7pt,7,"1, 2, 3, 4, 7",Missing = -1; Not applicable = 0; Strongly agree = 1,standard
concept_006,Wave1,q100,continuous,17,"1, 2, 2.5, 3, 3.5",Complete dictatorship = 1; Complete democracy = 10; Not Applicable = 97,standard
concept_006,Wave2,q100,continuous_check,73,"100, 110, 120, 130, 140","No answer = 0; Economics = 100; Management of the economy, economic development = 110",standard
concept_006,Wave3,q100,7pt,7,"1, 2, 3, 4, 7",Missing = -1; Strongly agree = 1; Somewhat agree = 2,standard
concept_006,Wave4,q100,6pt,6,"1, 2, 3, 4, 8",Missing = -1; Not applicable = 0; Very likely = 1,standard
concept_006,Wave5,q100,7pt,7,"1, 2, 3, 4, 7","Missing = -1; A full democracy = 1; A democracy, but with minor problems = 2",standard
concept_006,Wave6,q100,7pt,7,"1, 2, 3, 4, 7",Missing = -1; Not applicable = 0; Strongly agree = 1,standard
concept_007,Wave1,q101,continuous,14,"1, 2, 3, 4, 5",Complete dictatorship = 1; Complete democracy = 10; Not Applicable = 97,standard
concept_007,Wave2,q101,continuous_check,73,"100, 110, 120, 130, 140","No answer = 0; Economics = 100; Management of the economy, economic development = 110",standard
concept_007,Wave3,q101,7pt,7,"1, 2, 3, 4, 7",Missing = -1; Strongly agree = 1; Somewhat agree = 2,standard
concept_007,Wave4,q101,7pt,7,"1, 2, 3, 4, 7",Missing = -1; Strongly agree = 1; Somewhat agree = 2,standard
concept_007,Wave5,q101,10pt,10,"1, 2, 3, 4, 5",Missing = -1; Completely Undemocratic = 1; 2 = 2,standard
concept_007,Wave6,q101,7pt,7,"1, 2, 3, 4, 7",Missing = -1; Not applicable = 0; Strongly agree = 1,standard
concept_008,Wave1,q118,binary,2,"1, 2",Democracy can not solve our society's problems = 1; Democracy is capable of solving the problems of our society = 2; Don't know = 98,standard
concept_008,Wave2,q118,6pt,6,"1, 2, 3, 4, 8",Almost everyone is corrupt = 1; Most officials are corrupt = 2; Not a lot of officials are corrupt = 3,standard
concept_008,Wave3,q118,7pt,7,"1, 2, 3, 4, 7",Missing = -1; It is doing its best = 1; It is doing something = 2,standard
concept_008,Wave4,q118,7pt,7,"1, 2, 3, 4, 7",Missing = -1; Hardly anyone is involved = 1; Not a lot of officials are corrupt = 2,standard
concept_008,Wave5,q118,8pt,8,"1, 2, 3, 4, 5",Missing = -1; Always = 1; Most of the time = 2,standard
concept_008,Wave6,q118,4pt,4,"1, 2, 8, 9",Missing = -1; Not applicable = 0; Yes = 1,standard
concept_010,Wave1,NA,NA,NA,NA,NA,NA
concept_010,Wave2,NA,NA,NA,NA,NA,NA
concept_010,Wave3,q74a,5pt,5,"1, 2, 7, 8, 9",Missing = -1; Not applicable = 0; Strongly agree = 1,standard
concept_010,Wave4,q74a,7pt,7,"1, 2, 3, 4, 7",Missing = -1; I have done this more than once = 1; I have done this once = 2,standard
concept_010,Wave5,q156a,5pt,5,"1, 2, 7, 8, 9",Missing = -1; Not applicable = 0; Strongly agree = 1,standard
concept_010,Wave6,q156a,3pt,3,"1, 2, 8",Missing = -1; Not applicable = 0; Strongly Agree = 1,standard
concept_011,Wave1,NA,NA,NA,NA,NA,NA
concept_011,Wave2,NA,NA,NA,NA,NA,NA
concept_011,Wave3,NA,NA,NA,NA,NA,NA
concept_011,Wave4,q167,continuous,36,"1, 2, 3, 4, 5",Missing = -1; United States = 1; China = 2,standard
concept_011,Wave5,q167,7pt,7,"1, 2, 3, 4, 7",Missing = -1; Very willing = 1; Willing = 2,standard
concept_011,Wave6,q167,7pt,7,"1, 2, 3, 4, 7",Missing = -1; Not applicable = 0; Very willing = 1,standard
concept_012,Wave1,NA,NA,NA,NA,NA,NA
concept_012,Wave2,NA,NA,NA,NA,NA,NA
concept_012,Wave3,NA,NA,NA,NA,NA,NA
concept_012,Wave4,q168,7pt,7,"1, 2, 3, 4, 7",Missing = -1; A great deal of influence = 1; Some influence = 2,standard
concept_012,Wave5,q168,7pt,7,"1, 2, 3, 4, 7",Missing = -1; Strongly agree = 1; Somewhat agree = 2,standard
concept_012,Wave6,q168,7pt,7,"1, 2, 3, 4, 7",Missing = -1; Not applicable = 0; Strongly agree = 1,standard
concept_013,Wave1,NA,NA,NA,NA,NA,NA
concept_013,Wave2,NA,NA,NA,NA,NA,NA
concept_013,Wave3,NA,NA,NA,NA,NA,NA
concept_013,Wave4,q169,9pt,9,"1, 2, 3, 4, 5",Missing = -1; Very positive = 1; Positive = 2,standard
concept_013,Wave5,q169,7pt,7,"1, 2, 3, 4, 7",Missing = -1; Strongly agree = 1; Somewhat agree = 2,standard
concept_013,Wave6,q169,7pt,7,"1, 2, 3, 4, 7",Missing = -1; Not applicable = 0; Strongly agree = 1,standard
concept_014,Wave1,NA,NA,NA,NA,NA,NA
concept_014,Wave2,NA,NA,NA,NA,NA,NA
concept_014,Wave3,NA,NA,NA,NA,NA,NA
concept_014,Wave4,q170,7pt,7,"1, 2, 3, 4, 7",Missing = -1; A great deal of influence = 1; Some influence = 2,standard
concept_014,Wave5,q170,7pt,7,"1, 2, 3, 4, 7",Missing = -1; Strongly agree = 1; Somewhat agree = 2,standard
concept_014,Wave6,q170,7pt,7,"1, 2, 3, 4, 7",Missing = -1; Not applicable = 0; Strongly agree = 1,standard
concept_015,Wave1,NA,NA,NA,NA,NA,NA
concept_015,Wave2,NA,NA,NA,NA,NA,NA
concept_015,Wave3,NA,NA,NA,NA,NA,NA
concept_015,Wave4,q171,9pt,9,"1, 2, 3, 4, 5",Missing = -1; Very positive = 1; Positive = 2,standard
concept_015,Wave5,q171,7pt,7,"1, 2, 3, 4, 7",Missing = -1; Strongly agree = 1; Somewhat agree = 2,standard
concept_015,Wave6,q171,7pt,7,"1, 2, 3, 4, 7",Missing = -1; Not applicable = 0; Strongly agree = 1,standard
concept_016,Wave1,NA,NA,NA,NA,NA,NA
concept_016,Wave2,NA,NA,NA,NA,NA,NA
concept_016,Wave3,NA,NA,NA,NA,NA,NA
concept_016,Wave4,q172,7pt,7,"1, 2, 3, 4, 7",Missing = -1; Very close = 1; Close = 2,standard
concept_016,Wave5,q172,7pt,7,"1, 2, 3, 4, 7",Missing = -1; Strongly agree = 1; Somewhat agree = 2,standard
concept_016,Wave6,q186,7pt,7,"1, 2, 3, 4, 7",Missing = -1; Not applicable = 0; Very close = 1,standard
concept_017,Wave1,NA,NA,NA,NA,NA,NA
concept_017,Wave2,NA,NA,NA,NA,NA,NA
concept_017,Wave3,q21,continuous,24,"1, 2, 3, 4, 5",Missing = -1; Not applicable = 0; Political parties = 1,standard
concept_017,Wave4,q21,continuous,22,"1, 2, 3, 4, 5",Missing = -1; Not applicable = 0; Political parties = 1,standard
concept_017,Wave5,q21,continuous,21,"1, 2, 3, 4, 5",Missing = -1; Not applicable = 0; Political parties = 1,standard
concept_017,Wave6,q21,continuous,16,"1, 2, 3, 4, 5",Missing = -1; Not applicable = 0; Political parties = 1,standard
concept_018,Wave1,NA,NA,NA,NA,NA,NA
concept_018,Wave2,NA,NA,NA,NA,NA,NA
concept_018,Wave3,q22,continuous,21,"1, 2, 3, 4, 5",Missing = -1; Not applicable = 0; Political parties = 1,standard
concept_018,Wave4,q22,continuous,22,"1, 2, 3, 4, 5",Missing = -1; Not applicable = 0; Political parties = 1,standard
concept_018,Wave5,q22,6pt,6,"1, 2, 3, 7, 8",Missing = -1; Most people can be trusted = 1; You must be very careful in dealing with people = 2,standard
concept_018,Wave6,q22,3pt,3,"1, 2, 8",Missing = -1; Not applicable = 0; Most people can be trusted = 1,standard
concept_020,Wave1,NA,NA,NA,NA,NA,NA
concept_020,Wave2,q2,7pt,7,"1, 2, 3, 4, 5",Much worse = 1; A little worse = 2; About the same = 3,standard
concept_020,Wave3,q2,8pt,8,"1, 2, 3, 4, 5",Missing = -1; Much better = 1; A little better = 2,standard
concept_020,Wave4,q2,8pt,8,"1, 2, 3, 4, 5",Missing = -1; Much better = 1; A little better = 2,standard
concept_020,Wave5,q2,8pt,8,"1, 2, 3, 4, 5",Missing = -1; Much better = 1; A little better = 2,standard
concept_020,Wave6,q2,7pt,7,"1, 2, 3, 4, 5",Missing = -1; Not applicable = 0; Much better = 1,standard
concept_022,Wave1,NA,NA,NA,NA,NA,NA
concept_022,Wave2,q5,7pt,7,"1, 2, 3, 4, 5",Much worse now = 1; A little worse now = 2; About the same = 3,standard
concept_022,Wave3,q5,8pt,8,"1, 2, 3, 4, 5",Missing = -1; Much better now = 1; A little better now = 2,standard
concept_022,Wave4,q5,7pt,7,"1, 2, 3, 4, 5",Missing = -1; Much better = 1; A little better = 2,standard
concept_022,Wave5,q5,8pt,8,"1, 2, 3, 4, 5",Missing = -1; Much better = 1; A little better = 2,standard
concept_022,Wave6,q5,7pt,7,"1, 2, 3, 4, 5",Missing = -1; Not applicable = 0; Much better now = 1,standard
concept_026,Wave1,NA,NA,NA,NA,NA,NA
concept_026,Wave2,q3,7pt,7,"1, 2, 3, 4, 5",Much worse = 1; A little worse = 2; About the same = 3,standard
concept_026,Wave3,q3,8pt,8,"1, 2, 3, 4, 5",Missing = -1; Much better = 1; A little better = 2,standard
concept_026,Wave4,q3,8pt,8,"1, 2, 3, 4, 5",Missing = -1; Much better = 1; A little better = 2,standard
concept_026,Wave5,q3,8pt,8,"1, 2, 3, 4, 5",Missing = -1; Much better = 1; A little better = 2,standard
concept_026,Wave6,q3,7pt,7,"1, 2, 3, 4, 5",Missing = -1; Not applicable = 0; Much better = 1,standard
concept_029,Wave1,NA,NA,NA,NA,NA,NA
concept_029,Wave2,q6,7pt,7,"1, 2, 3, 4, 5",Much worse = 1; A little worse = 2; About the same = 3,standard
concept_029,Wave3,q6,8pt,8,"1, 2, 3, 4, 5",Missing = -1; Much better = 1; A little better = 2,standard
concept_029,Wave4,q6,8pt,8,"1, 2, 3, 4, 5",Missing = -1; Much better = 1; A little better = 2,standard
concept_029,Wave5,q6,8pt,8,"1, 2, 3, 4, 5",Missing = -1; Much better = 1; A little better = 2,standard
concept_029,Wave6,q6,8pt,8,"1, 2, 3, 4, 5",Missing = -1; Not applicable = 0; Much better = 1,standard
concept_030,Wave1,q143,4pt,4,"1, 2, 3, 4",Strongly agree = 1; Somewhat agree = 2; Somewhat disagree = 3,standard
concept_030,Wave2,q143,7pt,7,"1, 2, 3, 4, 7",Strongly agree = 1; Somewhat agree = 2; Somewhat disagree = 3,standard
concept_030,Wave3,q143,7pt,7,"1, 2, 3, 4, 7",Missing = -1; Strongly agree = 1; Somewhat agree = 2,standard
concept_030,Wave4,q143,7pt,7,"1, 2, 3, 4, 7",Missing = -1; Strongly agree = 1; Agree = 2,standard
concept_030,Wave5,q143,7pt,7,"1, 2, 3, 4, 7",Missing = -1; Strongly agree = 1; Somewhat agree = 2,standard
concept_030,Wave6,q76,8pt,8,"1, 2, 3, 4, 5",Missing = -1; Not applicable = 0; I have done this more than three times = 1,standard
concept_031,Wave1,q104,5pt,5,"1, 2, 3, 4, 5",Veryl dissatisfied = 1; Somewhat dissatisfied = 2; Somewhat satisfied = 3,standard
concept_031,Wave2,q104,7pt,7,"1, 2, 3, 4, 7",Strongly agree = 1; Somewhat agree = 2; Somewhat disagree = 3,standard
concept_031,Wave3,q104,7pt,7,"1, 2, 3, 4, 7",Missing = -1; Strongly agree = 1; Somewhat agree = 2,standard
concept_031,Wave4,q104,7pt,7,"1, 2, 3, 4, 7",Missing = -1; Strongly agree = 1; Somewhat agree = 2,standard
concept_031,Wave5,q104,10pt,10,"1, 2, 3, 4, 5",Missing = -1; Democracy is completely unsuitable = 1; 2 = 2,standard
concept_031,Wave6,q104,7pt,7,"1, 2, 3, 4, 7",Missing = -1; Not applicable = 0; Strongly agree = 1,standard
concept_032,Wave1,NA,NA,NA,NA,NA,NA
concept_032,Wave2,q50,8pt,8,"1, 2, 3, 4, 5",Practically never = 1; Not even once a week = 2; Once or twice a week = 3,standard
concept_032,Wave3,q50,7pt,7,"1, 2, 3, 4, 7",Missing = -1; Strongly agree = 1; Somewhat agree = 2,standard
concept_032,Wave4,q50,4pt,4,"1, 2, 8, 9",Missing = -1; Not applicable = 0; Yes = 1,standard
concept_032,Wave5,q50,5pt,5,"1, 2, 7, 8, 9",Missing = -1; Not applicable = 0; Yes = 1,standard
concept_032,Wave6,q50,9pt,9,"1, 2, 3, 4, 5",No access to internet = 0; Connected all the time = 1; Several hours a day = 2,standard
concept_034,Wave1,NA,NA,NA,NA,NA,NA
concept_034,Wave2,q53,7pt,7,"1, 2, 3, 4, 7",No impact at all = 1; A little impact = 2; Quite some impact = 3,standard
concept_034,Wave3,q53,7pt,7,"1, 2, 3, 4, 7",Missing = -1; Strongly agree = 1; Somewhat agree = 2,standard
concept_034,Wave4,q53,continuous_check,136,"90, 101, 102, 103, 104",Missing = -1; Do not feel close to any party = 90; Do not understand the question = 97,standard
concept_034,Wave5,q53,6pt,6,"1, 2, 3, 4, 5",Missing = -1; Not applicable = 0; Trust fully = 1,standard
concept_034,Wave6,q53,9pt,9,"1, 2, 3, 4, 5","Missing = -1; Not applicable = 0; Television, on airwaves, cable and online = 1",standard
concept_035,Wave1,NA,NA,NA,NA,NA,NA
concept_035,Wave2,q24,7pt,7,"1, 2, 3, 4, 7",None at all = 1; Not Very Much Trust = 2; Quite a Lot of Trust = 3,standard
concept_035,Wave3,q24,6pt,6,"1, 2, 6, 7, 8",Missing = -1; Most people would try to take advantage of you if they got a = 1; Most people would try to be fair = 2,standard
concept_035,Wave4,q24,7pt,7,"1, 2, 3, 4, 7",Mising = -1; Strongly agree = 1; Somewhat agree = 2,standard
concept_035,Wave5,q24,6pt,6,"1, 2, 3, 4, 5",Missing = -1; Trust fully = 1; Trust a lot = 2,standard
concept_035,Wave6,q24,5pt,5,"1, 2, 3, 4, 8",Missing = -1; Not applicable = 0; A great deal of trust = 1,standard
concept_041,Wave1,NA,NA,NA,NA,NA,NA
concept_041,Wave2,q49,7pt,7,"1, 2, 3, 4, 7",Not at all interested = 1; Not very interested = 2; Somewhat interested = 3,standard
concept_041,Wave3,q49,7pt,7,"1, 2, 3, 4, 7",Missing = -1; Strongly agree = 1; Somewhat agree = 2,standard
concept_041,Wave4,q49,8pt,8,"1, 2, 3, 4, 5",Missing = -1; Not applicable = 0; Several hours a day = 1,standard
concept_041,Wave5,q49,9pt,9,"1, 2, 3, 4, 5",Missing = -1; Connected all the time = 1; Several hours a day = 2,standard
concept_041,Wave6,q49,6pt,6,"1, 2, 3, 7, 8",Missing = -1; Not applicable = 0; Frequently = 1,standard
concept_042,Wave1,NA,NA,NA,NA,NA,NA
concept_042,Wave2,q157,3pt,3,"1, 2, 9",Yes = 1; No = 2; Decline to answer = 9,standard
concept_042,Wave3,q157,7pt,7,"1, 2, 3, 4, 7",Missing = -1; Not applicable = 0; Much more good than harm = 1,standard
concept_042,Wave4,q157,7pt,7,"1, 2, 3, 4, 7",Missing = -1; Not at all = 1; A little bit = 2,standard
concept_042,Wave5,q157,5pt,5,"1, 2, 7, 8, 9",Missing = -1; Our country should limit the imports of foreign goods to protect our farmers and workers = 1; Our country should do more trade with other countries even if the rise of imports might harm our workers and farmers = 2,standard
concept_042,Wave6,q157,5pt,5,"1, 2, 7, 8, 9",Missing = -1; Not applicable = 0; Our country should limit the imports of foreign goods to protect our farmers and workers = 1,standard
concept_043,Wave1,q147,4pt,4,"1, 2, 3, 4",Strongly disagree = 1; Somewhat disagree = 2; Somewhat agree = 3,standard
concept_043,Wave2,q147,6pt,6,"1, 2, 3, 7, 8","R""s Citizenship = 1; R""s ethnic/regional group = 2; R""S another identity = 3",standard
concept_043,Wave3,q147,7pt,7,"1, 2, 3, 4, 7",Missing = -1; Strongly agree = 1; Somewhat agree = 2,standard
concept_043,Wave4,q147,7pt,7,"1, 2, 3, 4, 7",Missing = -1; Strongly agree = 1; Agree = 2,standard
concept_043,Wave5,q147,7pt,7,"1, 2, 3, 4, 7",Missing = -1; Strongly agree = 1; Somewhat agree = 2,standard
concept_043,Wave6,q147,7pt,7,"1, 2, 3, 4, 7",Missing = -1; Not applicable = 0; Strongly agree = 1,standard
concept_046,Wave1,q116,binary,2,"1, 2",Yes = 1; No = 2; Not Applicable = 97,standard
concept_046,Wave2,q116,7pt,7,"1, 2, 3, 4, 7",Very responsive = 1; Largely responsive = 2; Not very responsive = 3,standard
concept_046,Wave3,q116,6pt,6,"1, 2, 3, 4, 8",Missing = -1; Hardly anyone is involved = 1; Not a lot of officials are corrupt = 2,standard
concept_046,Wave4,q116,7pt,7,"1, 2, 3, 4, 7",Missing = -1; A good deal = 1; Quite a lot = 2,standard
concept_046,Wave5,q116,7pt,7,"1, 2, 3, 4, 7",Missing = -1; Strongly agree = 1; Somewhat agree = 2,standard
concept_046,Wave6,q116,7pt,7,"1, 2, 3, 4, 7",Missing = -1; Not applicable = 0; Hardly anyone is involved = 1,standard
concept_047,Wave1,NA,NA,NA,NA,NA,NA
concept_047,Wave2,q95,10pt,10,"1, 2, 3, 4, 5",Complete Dictatorship = 1; ... = 2; ... = 3,standard
concept_047,Wave3,q95,6pt,6,"1, 2, 3, 4, 8",Missing = -1; Very satisfied = 1; Somewhat satisfied = 2,standard
concept_047,Wave4,q95,10pt,10,"1, 2, 3, 4, 5",Missing = -1; Completely Undemocratic = 1; 2 = 2,standard
concept_047,Wave5,q95,10pt,10,"1, 2, 3, 4, 5",Missing = -1; Definitely not an essential characteristic of democracy = 1; 2 = 2,standard
concept_047,Wave6,q95,10pt,10,"1, 2, 3, 4, 5",Missing = -1; Not applicable = 0; Democracy is completely unsuitable = 1,standard
concept_048,Wave1,NA,NA,NA,NA,NA,NA
concept_048,Wave2,q42,4pt,4,"1, 2, 8, 9",Not applicable = 0; No = 1; Yes = 2,standard
concept_048,Wave3,q42,6pt,6,"1, 2, 3, 4, 8",Missing = -1; Very safe = 1; Safe = 2,standard
concept_048,Wave4,q42,8pt,8,"1, 2, 3, 4, 5",Missing = -1; Not applicable = 0; Very difficult = 1,standard
concept_048,Wave5,q42,8pt,8,"1, 2, 3, 4, 5",Missing = -1; Not applicable = 0; Very easy = 1,standard
concept_048,Wave6,q42,7pt,7,"1, 2, 3, 4, 7",Missing = -1; Not applicable = 0; Very easy = 1,standard
concept_051,Wave1,NA,NA,NA,NA,NA,NA
concept_051,Wave2,q58,7pt,7,"1, 2, 3, 4, 7",Strongly agree = 1; Somewhat agree = 2; Somewhat disagree = 3,standard
concept_051,Wave3,q58,7pt,7,"1, 2, 3, 4, 7",Missing = -1; Strongly agree = 1; Somewhat agree = 2,standard
concept_051,Wave4,q58,7pt,7,"1, 2, 3, 4, 7",Missing = -1; Strongly agree = 1; Somewhat agree = 2,standard
concept_051,Wave5,q58,7pt,7,"1, 2, 3, 4, 7",Missing = -1; Strongly agree = 1; Somewhat agree = 2,standard
concept_051,Wave6,q58,7pt,7,"1, 2, 3, 4, 7",Missing = -1; Not applicable = 0; Strongly agree = 1,standard
concept_052,Wave1,NA,NA,NA,NA,NA,NA
concept_052,Wave2,NA,NA,NA,NA,NA,NA
concept_052,Wave3,NA,NA,NA,NA,NA,NA
concept_052,Wave4,NA,NA,NA,NA,NA,NA
concept_052,Wave5,q160b,7pt,7,"1, 2, 3, 4, 7",Missing = -1; All responsibility = 1; Most of the responsibility = 2,standard
concept_052,Wave6,q160b,6pt,6,"1, 2, 3, 4, 8",Missing = -1; Not applicable = 0; All = 1,standard
concept_055,Wave1,NA,NA,NA,NA,NA,NA
concept_055,Wave2,NA,NA,NA,NA,NA,NA
concept_055,Wave3,NA,NA,NA,NA,NA,NA
concept_055,Wave4,NA,NA,NA,NA,NA,NA
concept_055,Wave5,q156_1,4pt,4,"1, 2, 3, 4",Missing = -1; Not applicable = 0; Strongly disagree = 1,standard
concept_055,Wave6,q156_1,4pt,4,"1, 2, 3, 4",Missing = -1; Not applicable = 0; Strongly disagree = 1,standard
concept_056,Wave1,q145,4pt,4,"1, 2, 3, 4",Strongly agree = 1; Somewhat agree = 2; Somewhat disagree = 3,standard
concept_056,Wave2,q145,7pt,7,"1, 2, 3, 4, 7",Strongly agree = 1; Somewhat agree = 2; Somewhat disagree = 3,standard
concept_056,Wave3,q145,7pt,7,"1, 2, 3, 4, 7",Missing = -1; Strongly agree = 1; Somewhat agree = 2,standard
concept_056,Wave4,q145,7pt,7,"1, 2, 3, 4, 7",Missing = -1; Strongly agree = 1; Agree = 2,standard
concept_056,Wave5,q145,7pt,7,"1, 2, 3, 4, 7",Missing = -1; Strongly agree = 1; Somewhat agree = 2,standard
concept_056,Wave6,q145,5pt,5,"1, 2, 3, 4, 6",Missing = -1; Not applicable = 0; I'm worried about the side effects = 1,standard
