variable,Wave1,Wave2,Wave3,Wave4,Wave5,Wave6,primary_domain,all_domains,n_waves
q23,,"General speaking, would you say ""Most people can be trusted"" or ""that you must be very careful""?","q23. General speaking, would you say that ""Most people can be trusted"" or ""that you must be very careful in dealing with people""?","23 Would you say that ""Most people can be trusted"" or ""that you must be very careful in dealing with people""?",23 Do you agree with the statement that 'most people are trustworthy?',23 Do you agree with the statement that 'most people are trustworthy?',other,other,5
q31,,Would you have a hard time conversing with your friends or co-workers about politics if you had differing opinions?,"q31. If you had friends or co-workers whose opinions on politics differed from yours, would you have a hard time conversing with them? (NEW)","31. When people outside your household have problems, do they come to you for help?","31 If you have a difficult problem to manage, are there people outside your household you can ask for help?","31 If you have a difficult problem to manage, are there people outside your household you can ask for help?",other,other,5
q34,,"Have you been a victim of car, motorcycle or bicycle theft?","q34. Thinking about the national election in [year], did you attend a campaign meeting or rally?",34 Which parties or candidates did you vote for?,34 Which parties or candidates did you vote for?,34 Which parties or candidates did you vote for?,other,other,5
q35,,Have you been a victim of pick-pocketing/robbery of personal property?,q35. try to persuade others to vote for a certain candidate or party?,35. Did you attend a campaign meeting or rally?,35. Did you attend a campaign meeting or rally in the last national election?,35 Did you attend a campaign meeting or rally in the last national election?,other,other,5
q36,,Have you been a victim of break-in at your home?,q36. Did you do anything else to help out or work for a party or candidate running in the election?,36. Try to persudae others to vote for a certain candidate or party?,36. Try to persudae others to vote for a certain candidate or party?,36 Try to persuade others to vote for a certain candidate or party?,other,other,5
q37,,Have you been a victim of physical violence?,"q37. On the whole, how free and fair would you say the last national election was? (NEW)",37. Did you do anything else to help out or work for a party or candidate running in the last national election?,37. Did you do anything else to help out or work for a party or candidate running in the last national election?,37 Did you do anything else to help out or work for a party or candidate running in the last national election?,other,other,5
q40,,Attend a campaign meeting or rally,q40. Medical treatment at a nearby clinic,40. How easy or difficult to obtain a place in a public primirary school for a child,40 How easy or difficult to obtain running water,40 How easy or difficult to obtain running water,other,other,5
q44,,How easy is it to obtain: An identity document,q44. How often do you follow news about politics and government?,44. How interested would you say you are in politics?,44 How easy or difficult to obtain access to the internet,44 How easy or difficult to obtain access to the Internet,other,other,5
q45,,How easy is it to obtain: A place in public primary school for a child,q45. How often do you use the internet?,45. How often do you follow news about politics and government?,"45 Generally speaking, how safe is living in this city/town/village?",45 How easy or difficult to obtain childcare,other,other,5
q46,,How easy is it to obtain: Medical treatment at a nearby clinic,"q46. When you get together with your family members or friends, how often do you discuss political matters?","46. When you get together with your family members or friends, how often do you discuss political matters",46 How interested would you say you are in politics?,"46 Generally speaking, how safe is living in this city/town/village?",other,other,5
q48,,How would you describe the present political situation in our country,"q48. How close do you feel to (answer in Q47)? Is it very close, somewhat close, or just a little close?",48. Do you have Internet access on a mobile phone?,"48 When you get together with your family members or friends, how often do you discuss political matters?",48 How often do you follow news about politics and government?,other,other,5
q53,,How much impact do you feel government politics have on your daily life?,"q53. When dealing with others, developing a long-term relationship is more important than securing one's immediate interest.","53.Among the political parties listed here, which party if any do you feel closest to?",53 How much trust do you have in each of the following types of media?Television,53 Which one is the most important channel for you to find information about politics and government?,other,other,5
q54,,"Among the political parties listed here, which party if any do you feel closest to?","q54. When dealing with others, one should not only focus on immediate interest but also plan for future.",54. How close do you feel to (answer in q53)?,54 How much trust do you have in each of the following types of media?Newspaper,"54 Among the political parties listed here, which party if any do you feel closest to?",other,other,5
q55,,How close do you feel to the party(answer in Q54)?,"q55. Even if parents' demands are unreasonable, children still should do what they ask.","55 For the sake of the family, the individual should put his personal interests second.",55 How much trust do you have in each of the following types of media? News on the internet,"55 How close do you feel to (answer in Q54)? Is it very close, somewhat close, or just a little close?",other,other,5
q56,,"Even if parents' demands are unreasonable, children still should do what they ask","q56. When a mother-in-law and a daughter-in-law come into conflict, even if the mother-in-law is in the wrong, the husband should still persuade his wife to obey his mother.","56. In a group, we should sacrifice our individual interest for the sake of the group's collective interest.","56 Among the political parties listed here, which party if any do you feel closest to?","56 For the sake of the family, the individual should put his personal interests second.",other,other,5
q57,,"Being a student, one should not question the authority of their teacher","q57. Being a student, one should not question the authority of their teacher.","57. For the sake of national interest, individual interest could be sacrificed.","57 How close do you feel to (answer in Q56)? Is it very close, somewhat close, or just a little close?","57 In a group, we should sacrifice our individual interest for the sake of the group's collective interest.",other,other,5
q59,,A person should not insist on his own opinion if his co-workers disagree with him,"q59. Even if there is some disagreement with others, one should avoid the conflict","59. When dealing with others, one should not only focus on immediate interest but also plan for future.","59 In a group, we should sacrifice our individual interest for the sake of the groups collective interest.","59 When dealing with others, developing a long-term relationship is more important than securing one's immediate interest.",other,other,5
q60,,"For the sake of the family, the individual should put his personal interests second",q60. A person should not insist on his own opinion if his co-workers disagree with him,"60. Even if parents' demands are unreasonable, children still should do what they ask.","60 For the sake of national interest, individual interest could be sacrificed.","60 Even if parents' demands are unreasonable, children still should do what they ask.",other,other,5
q61,,Sometimes one has to follow one's own beliefs regardless of what other people think,"q61. Wealth and poverty, success and failure are all determined by fate.","61. When a mother-in-law and a daughter-in-law come into conflict, even if the mother-in-law is in the wrong, the husband should still persuade his wife to obey his mother.","61 When dealing with others, developing a long-term relationship is more important than securing one's immediate interest.","61 When a mother-in-law and a daughter-in-law come into conflict, even if the mother-in-law is in the wrong, the husband should still persuade his wife to obey his mother.",other,other,5
q63,,Open quarrels (criticisms) among politicians are harmful to society,"q63. When dealing with others, one should not be preoccupied with temporary gains and losses.","63. In a group, we should avoid open quarrel to preserve the harmony of the group.","63 When a mother-in-law and a daughter-in-law come into conflict, even if the mother-in-law is in the wrong, the husband should still persuade his wife to obey his mother.","63 In a group, we should avoid open quarrel to preserve the harmony of the group.",other,other,5
q64,,The relationship between the government and the people should be like that between parents and children,"q64. In the past three (3) years, have you never, once, or more than once done the following because of personal, family, or neighborhood problems, or problems with government officials and policies?Contacted elected officials or legislative representativ","64. Even if there is some disagreement with others, one should avoid the conflict.","64 Being a student, one should not question the authority of their teacher.","64 Even if there is some disagreement with others, one should avoid the conflict.",other,other,5
q67,,How closely do you follow major events in foreign countries/the world?,q67. Contacted other influential people outside the government,"67. If one could have only one child, it is more preferable to have a boy than a girl.",67 A person should not insist on his own opinion if his co-workers disagree with him.,"67 If one could have only one child, it is more preferable to have a boy than a girl.",other,other,5
q68,,"Have you traveled abroad before? If you have, how often do you travel abroad?",q68. Contacted news media,"68. When dealing with others, one should not be preoccupied with temporary gains and losses.","68 Wealth and poverty, success and failure are all determined by fate.","68 In the past three years, have you ever contacted elected officials or legislative representatives at any level?",other,other,5
q70,,We should give up gains in the present for the possibility of larger gains in the future,q70. Got together with others to raise an issue or sign a petition,70  Contacted officials at higher level-3 categories.,"70 In the past three years, have you ever contacted elected officials or legislative representatives at any level","70  Contacted other influential people outside the government, such as traditional leaders/community leaders",other,other,5
q71,,Conflict among political groups is not a bad thing for our country,q71. Attended a demonstration or protest march,71 Contacted traditional leaders/community leaders-3 categories,71 Contacted civil servants or officials,71  Contacted news media,other,other,5
q73,,The best way to deal with complicated political issues should be to leave them to the future,"q73. Thinking of whether you voted or not ever since you became eligible for voting, how would you describe yourself -have you voted in every election, voted in most elections, voted in some elections or hardly ever voted?",73  Contacted news media-3 categories,73 Contacted news media,73  Used the Internet including Social Media Networks to express opinions about politics,other,other,5
q74,,Political reform should be introduced little-by-little instead of all-at-once,"q74. Let's talk for a moment about the kind of government you would like to have in this country, which of the followings statements do you agree with most? Choose the first or the second statement. [Interviewer: Probe whether respondent strongly agrees o",74 Whether you personally have ever got together with others to try to resolve local problems-3 categories,74 Signed a paper petition,74  Joined a group to activiely support a cause [including online],other,other,5
q77,,The most important thing for political leaders is to accomplish their goals even if they have to ignore the established procedure,"q77. Let's talk for a moment about the kind of government you would like to have in this country, which of the followings statements do you agree with most? Choose the first or the second statement. [Interviewer: Probe whether respondent strongly agrees o",77 Used force or violence for a political cause-3 categories,77 Joined a group to actively support a cause(including online),77  Taken an action or done something for a political cause that put you in risk of getting injured,other,other,5
q86,,Refused to pay taxes or fees to the government,"q86. If you have to choose only one from each four sets of statements that I am going to read, which one would you choose as the most essential characteristics of a democracy?",86. I would rather live under our system of government than any other that I can think of,"86 Over the long run, our system of government is capable of solving the problems our country face",86 Which one would you choose as the most essential characteristics of a democracy: Set 2?,other,other,5
q87,,Got together with others to raise an issue or sign a petition,"q87. If you have to choose only one from each four sets of statements that I am going to read, which one would you choose as the most essential characteristics of a democracy?","87. would you say our system of government works fine as it is, needs minor change, needs major change, or should be replaced?","87 Thinking in general, I am proud of our system of government",87 Which one would you choose as the most essential characteristics of a democracy: Set 3?,other,other,5
q88,,Attended a demonstration or protest march,"q88. If you have to choose only one from each four sets of statements that I am going to read, which one would you choose as the most essential characteristics of a democracy?",88  which one would you choose as the most essential characteristics of a democracy?,"88 A system like ours, even if it runs into problems, deserves the people's support",88 Which one would you choose as the most essential characteristics of a democracy: Set 4?,other,other,5
q89,,Used force or violence for a political cause,"q89. On the whole, how satisfied or dissatisfied are you with the way democracy works in [Country].  Are you …?",89. which one would you choose as the most essential characteristics of a democracy?,89 I would rather live under our system of government than any other that I can think of.,"89 To you, what does “democracy” mean? (open-ended) <optional>",other,other,5
q92,,People often differ in their views on the characteristic that is essential to democracy. If you have to choose only one of the things,q92. Where would you place our country ten years ago?,"92 On the whole, how satisfied or dissatisfied are you with the way democracy works in the country?",92 Politics is clean and free of corruption,92 Where would you place our country under the present government?,other,other,5
q95,,Where would you place our country during the period of [the name of the most recent government under authoritarian rule]?,"q95. How satisfied or dissatisfied are you with the [name of president, etc. ruling current] government?  Are you …?",95 Where would you place our country ten years ago?,95 Political leaders rule by following their own wisdom rathan than people's preferences to ensure a society's collective welfare,95 Where would you place our country today? Democracy is suitable or not,other,other,5
q96,,Where would you place our country under the present government?,"q96. In your opinion, what are the most important problems facing this country that government should address?",96 Where would you expect our country to be ten years from now?,96 Rule by one party that represents the interests of all classes,96 How satisfied or dissatisfied are you with the current president/government?,other,other,5
q99,,How satisfied or dissatisfied are you with the [name of present] government?,q99. Political parties or candidates in our country have equal access to the mass media during the election period.,99 What are the first most important problems facing this country? 1st,"99 On the whole, how satisfied or dissatisfied are you with the way democracy works in our country?",99 Citizens are able to remove a government they don't like through elections.,other,other,5
q162,,Impression: International Monetary Fund or IMF,,"162 Given the chance, how willing would you be to go and live in another country","162 The following is a hypothetical question: If your family were unfortunate enough to lose its main source of income, how serious would it be for your family?","162 The following is a hypothetical question: If you were unfortunate enough to lose your main source of income, how serious would it be for you and your family?",other,other,4
q163,,Impression: World Bank,,163 Which country has the most influence in Asia?,"163 Considering all the effort that you and your family members have made in the past, do you think the income that your family currently receives is fair or not fair?","163 Considering all the effort that you and your family members have made in the past, do you think the income that your family currently receives is fair or not fair?",other,other,4
q164,,Impression: United States,,164 Does the United States do more good or harm to the region?,"164 As compared to my parent's generation, my generation has more or fewer opportunities to improve one's standard of living or social status?","164 As compared to my parent's generation, my generation has more or fewer opportunities to improve the standard of living or   social status?",other,other,4
q165,,Impression: China,,165 Does China do more good or harm to the region?,165 Will the next generation have had a better or worse life than our generation?,165 Will the next generation have had a better or worse life than our generation?,other,other,4
q166,,Impression: Japan,,"166 In ten years, which country will have the most influence in Asia?",166 How proud are you to be a citizen of the country?,166 How proud are you to be a citizen of (COUNTRY)? Are you...,other,other,4
q52,,"When you get together with your family members or friends, how often do you discuss political matters?","q52. For the sake of national interest, individual interest could be sacrificed.",52. How often do you use the Internet or social media networks to express your opinion about politics and government?,52 Which one is the most important channel for you to find information about politics and government?,,other,other,4
q91,,,q91. Here is a scale: 1 means completely undemocratic and 10 means completely democratic. Where would you place our country under the present government?,91. which one would you choose as the most essential characteristics of a democracy?,91 The courts protects the ordinary people from the abuse of government power,91 In your opinion how much of a democracy is our country?,other,other,4
q157a,,,q157a. Does China do more good or harm to the region?,,157a Do you strongly agree or just agree with the chosen statement?,157a Do you strongly agree or just agree with the chosen statement?,other,other,3
q167,,,,167 Which country should be a model for our own country's future development?,"167 Given the chance, how willing would you be to go and live in another country?","167 Given the chance, how willing would you be to go and live in another country?",other,other,3
q168,,,,168 How much influence does China have on our country?,"168 Under a democratic system, the country endures poor economic performance","168 In order to solve the country’s urgent problems, a leader can govern the country by decrees and disregard the parliament if necessary",other,other,3
q169,,,,"169 General speaking, the influence China has on our country is?",169 Democratic regimes are indecisive and full of problems,"169 As long as a government can solve our country’s economic problem, it does not matter if the government holds regular elections or not",other,other,3
q170,,,,170 How much influence does the United States have on our country?,170 Democratic systems are not effective at maintaining order and stability,170This country needs a leader who can break the rules if necessary to get things done,other,other,3
q171,,,,"171 General speaking, the influence the United States has on our country is?",171 The citizens in our country are not prepared for a democratic system,"171 As long as the government can maintain order and stability in the country, it does not matter whether it is democratic or undemocratic",other,other,3
q119_1,,119_1 Personally witnessed,119_1 Personally witnessed,,,,other,other,2
q119_2,,119_2 Told about it by family member,119_2 Told about it by family member,,,,other,other,2
q119_3,,119_3 Told about it by friend,119_3 Told about it by friend,,,,other,other,2
q147a,A political leader should not tolerate the views of those who challenge his political ideals,,chaotic,,,,other,other,2
q156_1,,,,,156_1 Our country should do more to learn from other countries(q156+q156a),156_1 Our country should do more to learn from other countries(q156+q156a),other,other,2
q156a,,,,,156a Do you strongly agree or just agree with the chosen statement?,156a Do you strongly agree or just agree with the chosen statement?,other,other,2
q157_1,,,,,157_1 Our country should do more trade with other countries(q157+q157a),157_1 Our country should do more trade with other countries(q157+q157a),other,other,2
q172,,,,172 How close do you feel to ASEAN? (ASEAN countries only),172 Democracy negatively affects social and ethical values in our country,,other,other,2
q173,,,,,"173 As long as a government can solve our country's economic problem, it does not matter if it is democratic or not democratic",173 Which country has the most influence in Asia?,other,other,2
q174,,,,,174 Which country has the most influence in Asia?,174 Does USA do more good or harm to the Asia?,other,other,2
q175,,,,,175 Does the United States do more good or harm to Asia?,"175 Generally speaking, the influence the United States today has on world affairs is?",other,other,2
q176,,,,,176 The influence of the U.S. on world affairs today is negative or positive?,176 Does China do more good or harm to the Asia?,other,other,2
q177,,,,,177  Does China do more good or harm to Asia?,"177 Generally speaking, the influence China today has on world affairs is?",other,other,2
q178,,,,,178 The infulece of China on world affairs today is negative or positive?,"178 Generally speaking, the influence the E.U. today has on world affairs is?",other,other,2
q179,,,,,"179 In ten years, which country will have the most influence in Asia?","179  In ten years, which country will have the most influence in Asia?",other,other,2
q180,,,,,180 Which country should be a model for our own country's future development?,180 Which country should be a model for our own country's future development?,other,other,2
q181,,,,,181 How much influence does China have on our country?,181 How much influence does China have on our country?,other,other,2
q182,,,,,"182 General speaking, the influence China has on our country is?","182 Generally speaking, the influence China has on our country is?",other,other,2
q183,,,,,183 How much influence does the United States have on our country?,183 How much influence does USA have on our country?,other,other,2
q184,,,,,"184 General speaking, the influence the United States has on our country is?","184 General speaking, the influence USA has on our country is?",other,other,2
q185,,,,,185 Which aspect about the Asian power's influence and impact you have in mind when answering the above questions?,185 Which aspect of the major power’s influence and impact you have in mind when answering the above questions?,other,other,2
q186,,,,,186 How close do you feel to ASEAN?(ASEAN countries only)?,186 How close do you feel to ASEAN? (ASEAN countries only),other,other,2
q51,,,"q51. In a group, we should sacrifice our individual interest for the sake of the group's collective interest.",51. How often do you use the Internet or social media networks to find information about politics and government?,,,other,other,2
q51a,,From Q51 Which is most important,,,51a You use social media primarily to connect with other people,,other,other,2
q74a,,,q74a. Do you strongly agree or just agree with the chosen statement?,74a Whether you personally have ever got together with others to try to resolve local problems-4 categories,,,other,other,2
q75a,,,q75a. Do you strongly agree or just agree with the chosen statement?,75a Got together with others to raise an issue or sign a petition-4 categories,,,other,other,2
q76a,,,q76a. Do you strongly agree or just agree with the chosen statement?,76a Attended a demonstration or protest march-4 categories,,,other,other,2
q77a,,,q77a. Do you strongly agree or just agree with the chosen statement?,77a Used force or violence for a political cause-4 categories,,,other,other,2
q79a,,,q79a. Do you strongly agree or just agree with the chosen statement?,79a. Do you strongly agree or just agree with the chosen statement?,,,other,other,2
q82a,,,,82a. Do you strongly agree or just agree with the chosen statement?,82a Do you strongly agree or just agree with the chosen statement?,,other,other,2
Q106c,,,,,"106c:(India only) In your opinion, what are the most important problems facing this country that government should address? (1st response)",,other,other,1
Q106d,,,,,"106d:(India only) In your opinion, what are the most important problems facing this country that government should address? (2nd response)",,other,other,1
Q106e,,,,,"106e:(India only) In your opinion, what are the most important problems facing this country that government should address? (3rd response)",,other,other,1
q009,How much trust do you have in political parties?,,,,,,other,other,1
q018_2,TRUST STATE OWNED ENTERPRISES,,,,,,other,other,1
q018_3,TRUST PRIVATE ENTERPRISES,,,,,,other,other,1
q018_4,TRUST FOREIGN ENTERPRISES,,,,,,other,other,1
q018_5,TRUST OUR COUNTRY,,,,,,other,other,1
q018_7,Local MP(q18_1),,,,,,other,other,1
q023,How often do you discuss politics?,,,,,,other,other,1
q024,most people can be trusted??,,,,,,other,other,1
q026,"I have some friends with influence, so I don't have to worry too much if I get into a tight spot",,,,,,other,other,1
q029,Did you attend a campaign meeting or rally?,,,,,,other,other,1
q044,Influential_FAMILY MEMBER/RELATIVE,,,,,,other,other,1
q045,Influential_SENIORS IN A CLAN OR EXTENDED FAMILY,,,,,,other,other,1
q048,Influential_SUPERIOR AT WORK/SCHOOL,,,,,,other,other,1
q049,Influential_OWNERS OF THE FIRM/UNIT THAT YOU WORK FOR,,,,,,other,other,1
q051,Influential_GOVERNMENT OFFICIAL WHOM YOU KNOW PERSONALLY,,,,,,other,other,1
q052,Influential_GOVERNMENT OFFICIAL WHOM YOU DON'T KNOW,,,,,,other,other,1
q053,Influential_CANDIDATE/PARTY ACTIVIST WHOM YOU KNOW PERSONALLY,,,,,,other,other,1
q054,Influential_CANDIDATE/PARTY ACTIVIST WHOM YOU DON'T KNOW,,,,,,other,other,1
q055,Influential_OTHERS,,,,,,other,other,1
q061,How much impact do you feel government policies have on your daily life?,,,,,,other,other,1
q062,party feel closest to,,,,,,other,other,1
q063,closeness,,,,,,other,other,1
q064,"Even if parents' demands are unreasonable, children still should do what they ask?",,,,,,other,other,1
q065,"When hiring someone, even if a stranger is more qualified, the opportunity should still be given to relatives and friend",,,,,,other,other,1
q067,"Wealth and poverty, success and failure are all determined by fate?",,,,,,other,other,1
q068,A person should not insist on his own opinion if his co-workers disagree with him?,,,,,,other,other,1
q069,"For the sake of the family, the individual should put his personal interests second?",,,,,,other,other,1
q070,A man will lose face if he works under a female supervisor?,,,,,,other,other,1
q071,"If there is a quarrel, we should ask an elder to resolve the dispute?",,,,,,other,other,1
q072,"When a mother-in-law and a daughter-in-law come into conflict, even if the mother-in-law is in the wrong, the husband sh",,,,,,other,other,1
q079,"Demonstrated, striken, or sat-in for something?",,,,,,other,other,1
q087,"Did you do this alone or with others?_demonstration, strike, sit-in",,,,,,other,other,1
q095,"Gift or dinner_demonstration, strike, sit-in",,,,,,other,other,1
q097_1,MEANING OF DEMOCRACY FIRST,,,,,,other,other,1
q097_2,MEANING OF DEMOCRACY SECOND,,,,,,other,other,1
q097_3,MEANING OF DEMOCRACY THIRD,,,,,,other,other,1
q099,Where would you place our country on this scale during the period of [name of the most recent government under authoritarian rule]?,,,,,,other,other,1
q102a,,How likely is it that the government will solve the most important problem you identified?,,,,,other,other,1
q106a,,,,,106a What are the most important problems facing this country that government should address(2nd response)?,,other,other,1
q106b,,,,,106b What are the most important problems facing this country that government should address(3rd response)?,,other,other,1
q116e,anyone you know personally witnessed ?,,,,,,other,other,1
q119a,,,,,,119a Did you personally witness it or were you told about it by a family member or friend who personally witnessed? Personally witnessed,other,other,1
q119b,,,,,,119b Did you personally witness it or were you told about it by a family member or friend who personally witnessed? Told about it by a family member who personally witnessed,other,other,1
q119c,,,,,,119c Did you personally witness it or were you told about it by a family member or friend who personally witnessed? Told about it by a friend who personally witnessed,other,other,1
q127a_1,,,,,127a_1 Did you personally witness it or were you told about it by a family member or friend who personally witnessed? personally witnessed,,other,other,1
q127a_2,,,,,127a_2  Did you personally witness it or were you told about it by a family member or friend who personally witnessed? told about it by a family member who personally witnessed,,other,other,1
q127a_3,,,,,127a_3  Did you personally witness it or were you told about it by a family member or friend who personally witnessed? told about it by a friend who personally witnessed,,other,other,1
q129a_q131a,,,sum of Q129a_q131a(reject all authoritarian options),,,,other,other,1
q130a,,,one poltical party,,,,other,other,1
q131a,,,army,,,,other,other,1
q139a,,,,,,139a Did you or a member of your family suffer from serious illness or death?,other,other,1
q139b,,,,,,139b Did you or a member of your family suffer from loss of job,other,other,1
q139c,,,,,,139c Did you or a member of your family suffer from loss of household income?,other,other,1
q139d,,,,,,139d Did you or a member of your family suffer from disruption of my kids' education?,other,other,1
q141a,,,government leader,,,,other,other,1
q141a_q147a,,,average rejection of authoritarian values,,,,other,other,1
q142a,,,certain ideas,,,,other,other,1
q143e,,,,,,143e To impose a lockdown for a long time,other,other,1
q145other,,,,,,145. Other specify responses,other,other,1
q146a,,,political leaders,,,,other,other,1
q157b,,,q157b. Does China do more good or harm to the region? (Whether the most influence country is China or not.),,,,other,other,1
q159a,,,,"159a Considering all the effort that you and your family members have made in the past, do you think the income that your family currently receives is fair or not fair-6 categories?",,,other,other,1
q172b,,,,,,172b An economic crisis that has caused the loss of many jobs,other,other,1
q172d,,,,,,172d A security crisis due to social unrest or terrorism,other,other,1
q172e,,,,,,172e The country is at war,other,other,1
q173other,,,,,,173. Other specify responses,other,other,1
q179other,,,,,,179. Other specify responses,other,other,1
q180other,,,,,,180. Other sepcify responses,other,other,1
q185Other,,,,,,185. Other specify responses,other,other,1
q18_other,,,,,,18 Other specify responses,other,other,1
q19_other,,,,,,19 Other specify responses,other,other,1
q20_other,,,,,,20 Other specify responses,other,other,1
q21_other,,,,,,21 Other specify responses,other,other,1
q34other,,,,,,34. Other specify responses,other,other,1
q51_5,,Question 51.05 Cell phone short message (SMS),,,,,other,other,1
q51_7,,Question 51.07 Other,,,,,other,other,1
q51_8,,Magazine,,,,,other,other,1
q51b_Twitter,,,,,,51b Twitter,other,other,1
q51c_Instagram,,,,,,51c Instagram,other,other,1
q51d_Youtube,,,,,,51d Youtube,other,other,1
q51e_Tiktok,,,,,,51e Tiktok,other,other,1
q51f_Messenger,,,,,,q51f Messenger,other,other,1
q51g_Telegram,,,,,,q51g Telegram,other,other,1
q51h_Line,,,,,,q51h Line,other,other,1
q51i_Whatsapp,,,,,,q51i Whatsapp,other,other,1
q51j_Snapchat,,,,,,q51j Snapchat,other,other,1
q51k_Vchat,,,,,,q51k Vchat,other,other,1
q51l_Tumblr,,,,,,q51l Tumblr,other,other,1
q53other,,,,,,53. Other specify responses,other,other,1
q54other,,,,,,54. Other specify responses,other,other,1
q78a,,,q78a. Do you strongly agree or just agree with the chosen statement?,,,,other,other,1
q80a,,,,80a. Do you strongly agree or just agree with the chosen statement?,,,other,other,1
q81a,,,,81a. Do you strongly agree or just agree with the chosen statement?,,,other,other,1
q83a,,,,,83a Do you strongly agree or just agree with the chosen statement?,,other,other,1
q84a,,,,,84a Do you strongly agree or just agree with the chosen statement?,,other,other,1
q85a,,,,,85a Do you strongly agree or just agree with the chosen statement?,,other,other,1
q91_1,,"To you, what does ""democracy"" mean?  What else?",,,,,other,other,1
q91_2,,Second Response,,,,,other,other,1
q91_3,,Third Response,,,,,other,other,1
q97a,,,,,,97a What are the most important problems facing this country that government should address? Second,other,other,1
q97aother,,,,,,97a. Other specify responses,other,other,1
q97b,,,,,,97b What are the most important problems facing this country that government should address? Third,other,other,1
q97bother,,,,,,97b. Other specify responses,other,other,1
q97other,,,,,,97. Other specify responses,other,other,1
q99a,,,,99a. What are the second most important problems facing this country? 2nd,,,other,other,1
q99b,,,,99b. What are the third most important problems facing this country? 3rd,,,other,other,1
q126,I have the ability to participate in politics,The army should come in to govern the country,"q126. If you had to choose between democracy and economic development, which would you say is more important?",126 Which of the following statements comes closer to your own view?,126 How effective is the government in cracking down on corruption?,"126 If you had to choose between democracy and economic development, which would you say is more important?",participation,participation,6
q151,,A citizen who does not actively participate in the affairs of his local and national community is not performing his duties,q151. Our country should defend our way of life instead of becoming more and more like other countries.,151 Our country should defend our way of life instead of becoming more and more like other countries.,151 Harmony of the community will be disrupted if people organize lots of groups,151 Harmony of the community will be disrupted if people organize lots of groups.,participation,participation; local_government; identity,5
q78,,"If possible, I don't want to get involved in political matters","q78. Let's talk for a moment about the kind of government you would like to have in this country, which of the followings statements do you agree with most? Choose the first or the second statement. [Interviewer: Probe whether respondent strongly agrees o","78 Thinking of whether you voted or not ever since you became eligible for voting, how would you describe yourself?",78 Got together with others face-to-face to try to resolve local problems,"78 Thinking of whether you voted or not ever since you became eligible for voting, how would you describe yourself-have you voted in every election, voted in most elections, voted in some elections or hardly ever voted?",participation,participation,5
q022,How frequently do you participate?,,,,,,participation,participation,1
q027,Have you participated in last election?,,,,,,participation,participation; voting,1
q107,People like me can have an influence on government- is better than before?,"When the government breaks the laws, there is nothing the legal system can do",q107. People can join any organization they like without fear.,"107. People have basic necessities like food, clothes, and shelter",107 How likely is it that the government will solve the most important problem you identified within the next five years?,107  People can join any organization they like without fear.,political_efficacy,political_efficacy,6
q129,People like me don't have any influence over what the government does,"Whatever its faults may be, our form of government is still the best for us","q129. There are many ways to govern a country. Would you disapprove or approve of the following alternatives? For each statement, would you say you strongly approve, approve, disapprove, or strongly disapprove? We should get rid of parliament and election","129 Do you agree or disagree with the following statement: ""Democracy may have its problems, but it is still the best form of government"".",129 Where would you place the United States today on this scale?,129 We should get rid of parliament and elections and have a strong leader to decide things.,political_efficacy,political_efficacy,6
q49,,How interested would you say you are in politics,"q49. Please tell me how you feel about the following statements. Would you say you strongly agree, somewhat agree, somewhat disagree, or strongly disagree? Most people are trustworthy?",49. How often do you use the internet?,"49 How often do you use the internet, either through computer, tablet or smartphone?","49 When you get together with your family members or friends, how often do you discuss political matters?",political_interest,political_interest,5
q056,How interested would you say you are interested in politics?,,,,,,political_interest,political_interest,1
q148,"As long as a political leader enjoys majority support, he should implement his own agenda and disregard the view of the",These people should have the equal right to do whatever they want to do as other citizens,"q148. When the country is facing a difficult situation, it is ok for the government to disregard the law in order to deal with the situation.","148 If people have too many different ways of thinking, society will be chaotic",148 People with little or no education should have as much say in politics as highly-educated people,148 People with little or no education should have as much say in politics as highly-educated people.,social_capital,social_capital,6
q27,,"On average, about how many people do you have contact with in a typical week day?",q27. Other people you interact with,27. Trust your neighbors,27 Trust in people you meet for the first time,27 Trust in people you meet for the first time,social_capital,social_capital,5
q28,,How often are you asked to help influence important decisions in other people's favor?,"q28. On average, about how many people do you have contact with in a typical week day?  We are interested in contact on a one-on-one basis, including everyone with whom you chat, talk, or discuss matters.  This can be face to face, by telephone, by mail,",28. Trust other people you interact with,28 How many people do you have contact within a typical week day?,28 How many people do you have contact with in a typical week day?,social_capital,social_capital,5
q29,,And are there people you could ask to help influence important decisions in your favor?,"q29. If you have a difficult problem to manage, are there people outside your household you can ask for help? (NEW)",29. How many people do you have contact within a typical week day?,29 Which of the following best describes your relations with most of your social contacts?,29 Which of the following best describes your relations with most of your social contacts?,social_capital,social_capital,5
q30,,"Do you agree or disagree with the following statement: By helping people in trouble today, someone else will help me when I am in trouble someday.","q30. When people outside your household have problems, do they come to you for help? (NEW)","30. If you have a difficult problem to manage, are there people outside your household you can ask for help?","30 Among these people you have frequent contacts, which of the following best describes the political views of these people?","30 Among these people you have frequent contacts, which of the following best describes the political views of these people?",social_capital,social_capital,5
q47,,How easy is it to obtain: Help from the police when you need it,"q47. Among the political parties listed here, which party if any do you feel closest to?",47. Do you have Internet access at home?,47 How often do you follow news about politics and government?,47 How interested would you say you are in politics?,social_capital,social_capital,5
