variable,suggested_domain,n_waves_present,w1_label,w1_label_present,w2_label,w2_label_present,w3_label,w3_label_present,w4_label,w4_label_present,w5_label,w5_label_present,w6_label,w6_label_present,similar_variables,similarity_scores
q25,NA,5,NA,FALSE,How much trust do you have in your neighbors?,TRUE,q25. How much trust do you have in each of the following types of people?   Your relatives,TRUE,"25 Do you think most people would try to take advantage of you if they got a chance, or would they try to be fair?",TRUE,25 Trust in your neighbors,TRUE,25 Trust in your neighbors,TRUE,q24; q24; q007; q007; q012,0.911; 0.911; 0.895; 0.895; 0.869
q26,NA,5,NA,FALSE,How much trust do you have in other people you interact with?,TRUE,q26. Your neighbors,TRUE,26. How much do you trust your relatives?,TRUE,26 Trust in other people you interact with,TRUE,26 Trust in other people you interact with,TRUE,q012; q012; q013; q013; q24,0.858; 0.858; 0.847; 0.847; 0.845
q27,NA,5,NA,FALSE,"On average, about how many people do you have contact with in a typical week day?",TRUE,q27. Other people you interact with,TRUE,27. Trust your neighbors,TRUE,27 Trust in people you meet for the first time,TRUE,27 Trust in people you meet for the first time,TRUE,NA,NA
q28,NA,5,NA,FALSE,How often are you asked to help influence important decisions in other people's favor?,TRUE,"q28. On average, about how many people do you have contact with in a typical week day?  We are interested in contact on a one-on-one basis, including everyone with whom you chat, talk, or discuss matters.  This can be face to face, by telephone, by mail,",TRUE,28. Trust other people you interact with,TRUE,28 How many people do you have contact within a typical week day?,TRUE,28 How many people do you have contact with in a typical week day?,TRUE,NA,NA
q29,NA,5,NA,FALSE,And are there people you could ask to help influence important decisions in your favor?,TRUE,"q29. If you have a difficult problem to manage, are there people outside your household you can ask for help? (NEW)",TRUE,29. How many people do you have contact within a typical week day?,TRUE,29 Which of the following best describes your relations with most of your social contacts?,TRUE,29 Which of the following best describes your relations with most of your social contacts?,TRUE,NA,NA
q3,NA,5,NA,FALSE,What do you think will be the state of our country's economic condition a few years from now?,TRUE,q3. What do you think will be the state of our country's economic condition a few years from now? Will it be …,TRUE,3. What do you think will be the state of our country's economic condition a few years from now?,TRUE,3. What do you think will be the state of our country's economic condition a few years from now?,TRUE,3 What do you think will be the state of our country's economic condition a few years from now?,TRUE,q003; q003; q6; q6,0.95; 0.95; 0.808; 0.808
q30,NA,5,NA,FALSE,"Do you agree or disagree with the following statement: By helping people in trouble today, someone else will help me when I am in trouble someday.",TRUE,"q30. When people outside your household have problems, do they come to you for help? (NEW)",TRUE,"30. If you have a difficult problem to manage, are there people outside your household you can ask for help?",TRUE,"30 Among these people you have frequent contacts, which of the following best describes the political views of these people?",TRUE,"30 Among these people you have frequent contacts, which of the following best describes the political views of these people?",TRUE,q153; q153,0.824; 0.824
q31,NA,5,NA,FALSE,Would you have a hard time conversing with your friends or co-workers about politics if you had differing opinions?,TRUE,"q31. If you had friends or co-workers whose opinions on politics differed from yours, would you have a hard time conversing with them? (NEW)",TRUE,"31. When people outside your household have problems, do they come to you for help?",TRUE,"31 If you have a difficult problem to manage, are there people outside your household you can ask for help?",TRUE,"31 If you have a difficult problem to manage, are there people outside your household you can ask for help?",TRUE,NA,NA
q32,NA,5,NA,FALSE,"Generally speaking, how safe is living in this city/town/village?",TRUE,"q32. In talking to people about elections, we often find that a lot of people were not able to vote because they were away from home, they were sick or they just didn't have time. How about you? Did you vote in the election [the most recent national elect",TRUE,"32 If you had friends or co-workers whose opinions on politics differed from yours, would you have a hard time conversing with them?",TRUE,"32 If you had friends or co-workers whose opinions on politics differed from yours, would you have a hard time conversing with them?",TRUE,"32 If you had friends or co-workers whose opinions on politics differed from yours, would you have a hard time conversing with them?",TRUE,NA,NA
q33,NA,5,NA,FALSE,"Compared to the situation in this city/town/village a few years ago, do you feel more safe, less safe or the same as before?",TRUE,q33. Which parties (or candidates for president if it was presidential race) did you vote for? [country-specific response grid],TRUE,33 Did you vote in the last national election?,TRUE,33 Did you vote in the last national election?,TRUE,33 Did you vote in the national election?,TRUE,NA,NA
q34,NA,5,NA,FALSE,"Have you been a victim of car, motorcycle or bicycle theft?",TRUE,"q34. Thinking about the national election in [year], did you attend a campaign meeting or rally?",TRUE,34 Which parties or candidates did you vote for?,TRUE,34 Which parties or candidates did you vote for?,TRUE,34 Which parties or candidates did you vote for?,TRUE,q36; q36,0.828; 0.828
q35,NA,5,NA,FALSE,Have you been a victim of pick-pocketing/robbery of personal property?,TRUE,q35. try to persuade others to vote for a certain candidate or party?,TRUE,35. Did you attend a campaign meeting or rally?,TRUE,35. Did you attend a campaign meeting or rally in the last national election?,TRUE,35 Did you attend a campaign meeting or rally in the last national election?,TRUE,NA,NA
q36,NA,5,NA,FALSE,Have you been a victim of break-in at your home?,TRUE,q36. Did you do anything else to help out or work for a party or candidate running in the election?,TRUE,36. Try to persudae others to vote for a certain candidate or party?,TRUE,36. Try to persudae others to vote for a certain candidate or party?,TRUE,36 Try to persuade others to vote for a certain candidate or party?,TRUE,q34; q34; q37; q37,0.828; 0.828; 0.815; 0.815
q37,NA,5,NA,FALSE,Have you been a victim of physical violence?,TRUE,"q37. On the whole, how free and fair would you say the last national election was? (NEW)",TRUE,37. Did you do anything else to help out or work for a party or candidate running in the last national election?,TRUE,37. Did you do anything else to help out or work for a party or candidate running in the last national election?,TRUE,37 Did you do anything else to help out or work for a party or candidate running in the last national election?,TRUE,q36; q36,0.815; 0.815
q38,NA,5,NA,FALSE,Have you voted in the last election?,TRUE,"q38. Based on your experience, how easy or difficult is it to obtain the following services?  Or have you never tried to get these services from government?  An identity document (such as a birth certificate or passport)",TRUE,"38.On the whole, how free and fair would you say the last national election was?",TRUE,"38 On the whole, how free and fair would you say the last national election was?",TRUE,"38 On the whole, how free and fair would you say the last national election was?",TRUE,NA,NA
q39,NA,5,NA,FALSE,Which parties (or candidates for president if it was presidential race) did you vote for?,TRUE,q39. A place in a public primary school for a child,TRUE,39. How easy or difficult to obtain an identity document service,TRUE,39 How easy or difficult to obtain roads in good condition,TRUE,39 How easy or difficult to obtain the roads in good condition,TRUE,NA,NA
q4,NA,5,NA,FALSE,"As for your own family, how do you rate your economic situation today?",TRUE,"q4. As for your own family, how do you rate the economic situation of your family today?  Is it …",TRUE,"4. As for your own family, how do you rate the economic situation of your family today?",TRUE,"4. As for your own family, how do you rate the economic situation of your family today?",TRUE,"4 As for your own family, how do you rate the economic situation of your family today?",TRUE,q004; q004,1; 1
q40,NA,5,NA,FALSE,Attend a campaign meeting or rally,TRUE,q40. Medical treatment at a nearby clinic,TRUE,40. How easy or difficult to obtain a place in a public primirary school for a child,TRUE,40 How easy or difficult to obtain running water,TRUE,40 How easy or difficult to obtain running water,TRUE,q029; q029,0.804; 0.804
q41,NA,5,NA,FALSE,Try to persuade others to vote for a certain candidate or party,TRUE,q41. Help from the police when you need it,TRUE,41. How easy or difficult to obtain medical treatment at nearby clinic,TRUE,41 How easy or difficult to obtain public transportation,TRUE,41 How easy or difficult to obtain public transportation,TRUE,q030; q030,0.817; 0.817
q42,NA,5,NA,FALSE,Did you do anything else to help out or work for a party or candidate running in the election,TRUE,"q42. Generally speaking, how safe is living in this city/ town/ village - very safe, safe, unsafe or very unsafe?",TRUE,42. How easy or difficult to obtain help from the police when you need it,TRUE,42 How easy or difficult to obtain healthcare,TRUE,42 How easy or difficult to obtain healthcare,TRUE,q031; q031,0.873; 0.873
q43,NA,5,NA,FALSE,"On the whole, how would you rate the freeness and fairness of the last national election?",TRUE,q43. How interested would you say you are in politics?,TRUE,43. How safe is living in this city/ town/ village,TRUE,43 How easy or difficult to obtain help from the pollice when you need it,TRUE,43 How easy or difficult to obtain help from the police when you need it,TRUE,NA,NA
q44,NA,5,NA,FALSE,How easy is it to obtain: An identity document,TRUE,q44. How often do you follow news about politics and government?,TRUE,44. How interested would you say you are in politics?,TRUE,44 How easy or difficult to obtain access to the internet,TRUE,44 How easy or difficult to obtain access to the Internet,TRUE,q46; q46; q47; q47,0.818; 0.818; 0.801; 0.801
q45,NA,5,NA,FALSE,How easy is it to obtain: A place in public primary school for a child,TRUE,q45. How often do you use the internet?,TRUE,45. How often do you follow news about politics and government?,TRUE,"45 Generally speaking, how safe is living in this city/town/village?",TRUE,45 How easy or difficult to obtain childcare,TRUE,NA,NA
q46,NA,5,NA,FALSE,How easy is it to obtain: Medical treatment at a nearby clinic,TRUE,"q46. When you get together with your family members or friends, how often do you discuss political matters?",TRUE,"46. When you get together with your family members or friends, how often do you discuss political matters",TRUE,46 How interested would you say you are in politics?,TRUE,"46 Generally speaking, how safe is living in this city/town/village?",TRUE,q44; q44,0.818; 0.818
q47,NA,5,NA,FALSE,How easy is it to obtain: Help from the police when you need it,TRUE,"q47. Among the political parties listed here, which party if any do you feel closest to?",TRUE,47. Do you have Internet access at home?,TRUE,47 How often do you follow news about politics and government?,TRUE,47 How interested would you say you are in politics?,TRUE,q44; q44,0.801; 0.801
q48,NA,5,NA,FALSE,How would you describe the present political situation in our country,TRUE,"q48. How close do you feel to (answer in Q47)? Is it very close, somewhat close, or just a little close?",TRUE,48. Do you have Internet access on a mobile phone?,TRUE,"48 When you get together with your family members or friends, how often do you discuss political matters?",TRUE,48 How often do you follow news about politics and government?,TRUE,NA,NA
q49,NA,5,NA,FALSE,How interested would you say you are in politics,TRUE,"q49. Please tell me how you feel about the following statements. Would you say you strongly agree, somewhat agree, somewhat disagree, or strongly disagree? Most people are trustworthy?",TRUE,49. How often do you use the internet?,TRUE,"49 How often do you use the internet, either through computer, tablet or smartphone?",TRUE,"49 When you get together with your family members or friends, how often do you discuss political matters?",TRUE,q056; q056,0.907; 0.907
q5,NA,5,NA,FALSE,How would you compare the current economic condition of your family with what it was a few years ago?,TRUE,q5. How would you compare the current economic condition of your family with what it was a few years ago? Is it …,TRUE,5. How would you compare the current economic condition of your family with what it was a few years ago?,TRUE,5. How would you compare the current economic condition of your family with what it was a few years ago?,TRUE,5 How would you compare the current economic condition of your family with what it was a few years ago?,TRUE,q005; q005,0.966; 0.966
q50,NA,5,NA,FALSE,How often do you follow news about politics and government,TRUE,"q50. For the sake of the family, the individual should put his personal interests second",TRUE,50. Do you currently use any of the following social media networks?,TRUE,"50 Do you currently use any of the following social media networks?(E.g. facebook, twitter, telegram, whatsapp, youtube, tumblr, instagram, snapchat, etc.)",TRUE,"50 How often do you use the internet, either through computer, tablet or smartphone?",TRUE,q060; q060; q059; q059; q057,0.919; 0.919; 0.914; 0.914; 0.914
q53,NA,5,NA,FALSE,How much impact do you feel government politics have on your daily life?,TRUE,"q53. When dealing with others, developing a long-term relationship is more important than securing one's immediate interest.",TRUE,"53.Among the political parties listed here, which party if any do you feel closest to?",TRUE,53 How much trust do you have in each of the following types of media?Television,TRUE,53 Which one is the most important channel for you to find information about politics and government?,TRUE,q061; q061,0.926; 0.926
q54,NA,5,NA,FALSE,"Among the political parties listed here, which party if any do you feel closest to?",TRUE,"q54. When dealing with others, one should not only focus on immediate interest but also plan for future.",TRUE,54. How close do you feel to (answer in q53)?,TRUE,54 How much trust do you have in each of the following types of media?Newspaper,TRUE,"54 Among the political parties listed here, which party if any do you feel closest to?",TRUE,NA,NA
q55,NA,5,NA,FALSE,How close do you feel to the party(answer in Q54)?,TRUE,"q55. Even if parents' demands are unreasonable, children still should do what they ask.",TRUE,"55 For the sake of the family, the individual should put his personal interests second.",TRUE,55 How much trust do you have in each of the following types of media? News on the internet,TRUE,"55 How close do you feel to (answer in Q54)? Is it very close, somewhat close, or just a little close?",TRUE,q172; q186; q172; q186,0.804; 0.804; 0.804; 0.804
q56,NA,5,NA,FALSE,"Even if parents' demands are unreasonable, children still should do what they ask",TRUE,"q56. When a mother-in-law and a daughter-in-law come into conflict, even if the mother-in-law is in the wrong, the husband should still persuade his wife to obey his mother.",TRUE,"56. In a group, we should sacrifice our individual interest for the sake of the group's collective interest.",TRUE,"56 Among the political parties listed here, which party if any do you feel closest to?",TRUE,"56 For the sake of the family, the individual should put his personal interests second.",TRUE,q064; q064,1; 1
q57,NA,5,NA,FALSE,"Being a student, one should not question the authority of their teacher",TRUE,"q57. Being a student, one should not question the authority of their teacher.",TRUE,"57. For the sake of national interest, individual interest could be sacrificed.",TRUE,"57 How close do you feel to (answer in Q56)? Is it very close, somewhat close, or just a little close?",TRUE,"57 In a group, we should sacrifice our individual interest for the sake of the group's collective interest.",TRUE,NA,NA
q58,NA,5,NA,FALSE,"When one has conflict with a neighbor, the best way to deal with it is to accommodate the other person",TRUE,"q58. In a group, we should avoid open quarrel to preserve the harmony of the group",TRUE,"58. When dealing with others, developing a long-term relationship is more important than securing one's immediate interest.",TRUE,"58 For the sake of the family, the individual should put his personal interests second.",TRUE,"58 For the sake of national interest, individual interest could be sacrificed.",TRUE,q066; q066,0.86; 0.86
q59,NA,5,NA,FALSE,A person should not insist on his own opinion if his co-workers disagree with him,TRUE,"q59. Even if there is some disagreement with others, one should avoid the conflict",TRUE,"59. When dealing with others, one should not only focus on immediate interest but also plan for future.",TRUE,"59 In a group, we should sacrifice our individual interest for the sake of the groups collective interest.",TRUE,"59 When dealing with others, developing a long-term relationship is more important than securing one's immediate interest.",TRUE,q068; q068,1; 1
q6,NA,5,NA,FALSE,What do you think the economic situation of your family will be a few years from now?,TRUE,q6. What do you think the economic situation of your family will be a few years from now? Will it be …,TRUE,6. What do you think the economic situation of your family will be a few years from now?,TRUE,6. What do you think the economic situation of your family will be a few years from now?,TRUE,6 What do you think the economic situation of your family will be a few years from now?,TRUE,q006; q006; q3; q3; q003,0.945; 0.945; 0.808; 0.808; 0.804
q60,NA,5,NA,FALSE,"For the sake of the family, the individual should put his personal interests second",TRUE,q60. A person should not insist on his own opinion if his co-workers disagree with him,TRUE,"60. Even if parents' demands are unreasonable, children still should do what they ask.",TRUE,"60 For the sake of national interest, individual interest could be sacrificed.",TRUE,"60 Even if parents' demands are unreasonable, children still should do what they ask.",TRUE,q069; q069,1; 1
q61,NA,5,NA,FALSE,Sometimes one has to follow one's own beliefs regardless of what other people think,TRUE,"q61. Wealth and poverty, success and failure are all determined by fate.",TRUE,"61. When a mother-in-law and a daughter-in-law come into conflict, even if the mother-in-law is in the wrong, the husband should still persuade his wife to obey his mother.",TRUE,"61 When dealing with others, developing a long-term relationship is more important than securing one's immediate interest.",TRUE,"61 When a mother-in-law and a daughter-in-law come into conflict, even if the mother-in-law is in the wrong, the husband should still persuade his wife to obey his mother.",TRUE,NA,NA
q62,NA,5,NA,FALSE,"When dealing with others, securing one's immediate interests should be more important than developing a long-term",TRUE,"q62. If one could have only one child, it is more preferable to have a boy than a girl.",TRUE,"62. Being a student, one should not question the authority of their teacher.",TRUE,"62 Even if parents' demands are unreasonable, children still should do what they ask.",TRUE,"62 Being a student, one should not question the authority of their teacher.",TRUE,NA,NA
q63,NA,5,NA,FALSE,Open quarrels (criticisms) among politicians are harmful to society,TRUE,"q63. When dealing with others, one should not be preoccupied with temporary gains and losses.",TRUE,"63. In a group, we should avoid open quarrel to preserve the harmony of the group.",TRUE,"63 When a mother-in-law and a daughter-in-law come into conflict, even if the mother-in-law is in the wrong, the husband should still persuade his wife to obey his mother.",TRUE,"63 In a group, we should avoid open quarrel to preserve the harmony of the group.",TRUE,NA,NA
q64,NA,5,NA,FALSE,The relationship between the government and the people should be like that between parents and children,TRUE,"q64. In the past three (3) years, have you never, once, or more than once done the following because of personal, family, or neighborhood problems, or problems with government officials and policies?Contacted elected officials or legislative representativ",TRUE,"64. Even if there is some disagreement with others, one should avoid the conflict.",TRUE,"64 Being a student, one should not question the authority of their teacher.",TRUE,"64 Even if there is some disagreement with others, one should avoid the conflict.",TRUE,NA,NA
q65,NA,5,NA,FALSE,People should always support the decisions of their government even if they disagree with them,TRUE,q65. Contacted officials at higher level.,TRUE,65. A person should not insist on his own opinion if his co-workers disagree with him.,TRUE,"65 In a group, we should avoid open quarrel to preserve the harmony of the group.",TRUE,65 A person should not insist on his own opinion if his co-workers disagree with him.,TRUE,NA,NA
q66,NA,5,NA,FALSE,How often do you use the internet?,TRUE,q66. Contacted traditional leaders/community leaders.,TRUE,"66. Wealth and poverty, success and failure are all determined by fate.",TRUE,"66 Even if there is some disagreement with others, one should avoid the conflict.",TRUE,"66 Wealth and poverty, success and failure are all determined by fate.",TRUE,q69; q69,0.802; 0.802
q67,NA,5,NA,FALSE,How closely do you follow major events in foreign countries/the world?,TRUE,q67. Contacted other influential people outside the government,TRUE,"67. If one could have only one child, it is more preferable to have a boy than a girl.",TRUE,67 A person should not insist on his own opinion if his co-workers disagree with him.,TRUE,"67 If one could have only one child, it is more preferable to have a boy than a girl.",TRUE,NA,NA
q68,NA,5,NA,FALSE,"Have you traveled abroad before? If you have, how often do you travel abroad?",TRUE,q68. Contacted news media,TRUE,"68. When dealing with others, one should not be preoccupied with temporary gains and losses.",TRUE,"68 Wealth and poverty, success and failure are all determined by fate.",TRUE,"68 In the past three years, have you ever contacted elected officials or legislative representatives at any level?",TRUE,NA,NA
q69,NA,5,NA,FALSE,How often do you have personal contact with foreigners?,TRUE,"q69. Here is a list of actions that people sometimes take as citizens. For each of these, please tell me whether you, personally, have never, once, or more than once done any of these things during the past three years.   Got together with others to try t",TRUE,"69 In the past three years, have you ever contacted elected officials or legislative representatives at any level-3 categories",TRUE,"69 If one could have only one child, it is more preferable to have a boy than a girl.",TRUE,69  Contacted civil servants or officials,TRUE,q66; q66,0.802; 0.802
q7,NA,5,NA,FALSE,Trust in Prime Minister or president,TRUE,"q7. I'm going to name a number of institutions. For each one, please tell me how much trust do you have in them? The president",TRUE,7 Trust in the excutive office (president or prime minister),TRUE,7 Trust in the excutive office (president or prime minister),TRUE,7 Trust in the excutive office (president or prime minister),TRUE,NA,NA
q70,NA,5,NA,FALSE,We should give up gains in the present for the possibility of larger gains in the future,TRUE,q70. Got together with others to raise an issue or sign a petition,TRUE,70  Contacted officials at higher level-3 categories.,TRUE,"70 In the past three years, have you ever contacted elected officials or legislative representatives at any level",TRUE,"70  Contacted other influential people outside the government, such as traditional leaders/community leaders",TRUE,NA,NA
q71,NA,5,NA,FALSE,Conflict among political groups is not a bad thing for our country,TRUE,q71. Attended a demonstration or protest march,TRUE,71 Contacted traditional leaders/community leaders-3 categories,TRUE,71 Contacted civil servants or officials,TRUE,71  Contacted news media,TRUE,NA,NA
q72,NA,5,NA,FALSE,"If a government policy serves the interests of the majority of people, I should support it",TRUE,q72. Used force or violence for a political cause,TRUE,72  Contacted other influential people outside the government-3 categories.,TRUE,"72 Contacted other influential people outside the government, such as traditional leaders/community leaders.",TRUE,72  Signed a paper or online petition?,TRUE,NA,NA
q73,NA,5,NA,FALSE,The best way to deal with complicated political issues should be to leave them to the future,TRUE,"q73. Thinking of whether you voted or not ever since you became eligible for voting, how would you describe yourself -have you voted in every election, voted in most elections, voted in some elections or hardly ever voted?",TRUE,73  Contacted news media-3 categories,TRUE,73 Contacted news media,TRUE,73  Used the Internet including Social Media Networks to express opinions about politics,TRUE,NA,NA
q74,NA,5,NA,FALSE,Political reform should be introduced little-by-little instead of all-at-once,TRUE,"q74. Let's talk for a moment about the kind of government you would like to have in this country, which of the followings statements do you agree with most? Choose the first or the second statement. [Interviewer: Probe whether respondent strongly agrees o",TRUE,74 Whether you personally have ever got together with others to try to resolve local problems-3 categories,TRUE,74 Signed a paper petition,TRUE,74  Joined a group to activiely support a cause [including online],TRUE,NA,NA
q75,NA,5,NA,FALSE,Cruel criminals should be punished immediately without regard to time-consuming legal processes,TRUE,"q75. Let's talk for a moment about the kind of government you would like to have in this country, which of the followings statements do you agree with most? Choose the first or the second statement. [Interviewer: Probe whether respondent strongly agrees o",TRUE,75 Got together with others to raise an issue or sign a petition-3 categories,TRUE,75 Signed an online petition,TRUE,75  Got together with others face-to face to try to resolve local problems,TRUE,NA,NA
q76,NA,5,NA,FALSE,"For the sake of the national community/society, the individual should be prepared to sacrifice",TRUE,"q76. Let's talk for a moment about the kind of government you would like to have in this country, which of the followings statements do you agree with most? Choose the first or the second statement. [Interviewer: Probe whether respondent strongly agrees o",TRUE,76 Attended a demonstration or protest march-3 categories,TRUE,76 Used the internet including social media networks to express opinions about politics and government,TRUE,76  Attended a demonstration or protest march,TRUE,q143; q143,0.936; 0.936
q77,NA,5,NA,FALSE,The most important thing for political leaders is to accomplish their goals even if they have to ignore the established procedure,TRUE,"q77. Let's talk for a moment about the kind of government you would like to have in this country, which of the followings statements do you agree with most? Choose the first or the second statement. [Interviewer: Probe whether respondent strongly agrees o",TRUE,77 Used force or violence for a political cause-3 categories,TRUE,77 Joined a group to actively support a cause(including online),TRUE,77  Taken an action or done something for a political cause that put you in risk of getting injured,TRUE,q145; q145,0.851; 0.851
q78,NA,5,NA,FALSE,"If possible, I don't want to get involved in political matters",TRUE,"q78. Let's talk for a moment about the kind of government you would like to have in this country, which of the followings statements do you agree with most? Choose the first or the second statement. [Interviewer: Probe whether respondent strongly agrees o",TRUE,"78 Thinking of whether you voted or not ever since you became eligible for voting, how would you describe yourself?",TRUE,78 Got together with others face-to-face to try to resolve local problems,TRUE,"78 Thinking of whether you voted or not ever since you became eligible for voting, how would you describe yourself-have you voted in every election, voted in most elections, voted in some elections or hardly ever voted?",TRUE,NA,NA
q79,NA,5,NA,FALSE,Contacted government (administrative) official,TRUE,"q79. Let's talk for a moment about the kind of government you would like to have in this country, which of the followings statements do you agree with most? Choose the first or the second statement. [Interviewer: Probe whether respondent strongly agrees o",TRUE,79. Which of the following statements do you agree with most?,TRUE,79 Attended a demonstration or protest march,TRUE,"79 In recent years and thinking about election campaigns, has a candidate or someone from a political party or campaign team offered you something, like food, cash, a gift, or a job in return for your vote or support?",TRUE,NA,NA
q8,NA,5,NA,FALSE,Trust in the Courts,TRUE,q8. The courts,TRUE,8 The courts,TRUE,8 The courts,TRUE,8 The courts,TRUE,q14; q14; q19; q19,0.837; 0.837; 0.808; 0.808
q80,NA,5,NA,FALSE,Contacted officials at higher level,TRUE,"q80. Over the long run, our system of government is capable of solving the problems our country faces.",TRUE,80. which of the following statements do you agree with most?,TRUE,80 Taken an action or done something for a political cause that put you in a risk of getting injured,TRUE,"80  Over the long run, our system of government is capable of solving the problems our country faces.",TRUE,NA,NA
q81,NA,5,NA,FALSE,Contacted elected officials or legislative representatives at any level,TRUE,"q81. Thinking in general, I am proud of our system of government.",TRUE,81. which of the following statements do you agree with most?,TRUE,"81 Thinking of whether you voted or not ever since you became eligible for voting, how would you describe yourself-have you voted in every election, voted in most elections, voted in some elections or hardly ever voted?",TRUE,"81  Thinking in general, I am proud of our system of government.",TRUE,q075; q075,0.827; 0.827
q82,NA,5,NA,FALSE,Contacted officials of political parties or other political organizations,TRUE,"q82. A system like ours, even if it runs into problems, deserves the people's support.",TRUE,82. which of the following statements do you agree with most?,TRUE,82 which of the following statements do you agree with most?government leaders vs.their citizens,TRUE,"82  A system like ours, even if it runs into problems, deserves the people's support.",TRUE,q092; q092; q076; q076,0.83; 0.83; 0.816; 0.816
q83,NA,5,NA,FALSE,Contacted representative of non-government/civil society organizations,TRUE,q83. I would rather live under our system of government than any other that I can think of.,TRUE,"83. Over the long run, our system of government is capable of solving the problems our country faces",TRUE,83 Which of the following statements do you agree with most? the problem of accountability,TRUE,83  I would rather live under our system of government than any other that I can think of.,TRUE,q093; q093,0.807; 0.807
q84,NA,5,NA,FALSE,Contacted traditional leaders/community leaders (IN: Mass media; TW/HK: Acquaintances in the government),TRUE,"q84. Compared with other systems in the world, would you say our system of government works fine as it is, needs minor change, needs major change, or should be replaced?",TRUE,"84. Thinking in general, I am proud of our system of government",TRUE,84 Which of the following statements do you agree with most? freedom of the press,TRUE,"84 Would you say our system of government works fine as it is, needs minor change, needs major change, or should be replaced?",TRUE,NA,NA
q85,NA,5,NA,FALSE,Contacted other influential people,TRUE,"q85. Many things may be desirable, but not all of them are essential characteristics of democracy. If you have to choose only one from each four sets of statements that I am going to read, which one would you choose as the most essential characteristics o",TRUE,"85 A system like ours, even if it runs into problems, deserves the people's support",TRUE,85 Which of the following statements do you agree with most? political leader,TRUE,85 Which one would you choose as the most essential characteristics of a democracy: Set 1?,TRUE,q080; q080,0.844; 0.844
q86,NA,5,NA,FALSE,Refused to pay taxes or fees to the government,TRUE,"q86. If you have to choose only one from each four sets of statements that I am going to read, which one would you choose as the most essential characteristics of a democracy?",TRUE,86. I would rather live under our system of government than any other that I can think of,TRUE,"86 Over the long run, our system of government is capable of solving the problems our country face",TRUE,86 Which one would you choose as the most essential characteristics of a democracy: Set 2?,TRUE,NA,NA
q87,NA,5,NA,FALSE,Got together with others to raise an issue or sign a petition,TRUE,"q87. If you have to choose only one from each four sets of statements that I am going to read, which one would you choose as the most essential characteristics of a democracy?",TRUE,"87. would you say our system of government works fine as it is, needs minor change, needs major change, or should be replaced?",TRUE,"87 Thinking in general, I am proud of our system of government",TRUE,87 Which one would you choose as the most essential characteristics of a democracy: Set 3?,TRUE,NA,NA
q88,NA,5,NA,FALSE,Attended a demonstration or protest march,TRUE,"q88. If you have to choose only one from each four sets of statements that I am going to read, which one would you choose as the most essential characteristics of a democracy?",TRUE,88  which one would you choose as the most essential characteristics of a democracy?,TRUE,"88 A system like ours, even if it runs into problems, deserves the people's support",TRUE,88 Which one would you choose as the most essential characteristics of a democracy: Set 4?,TRUE,NA,NA
q89,NA,5,NA,FALSE,Used force or violence for a political cause,TRUE,"q89. On the whole, how satisfied or dissatisfied are you with the way democracy works in [Country].  Are you …?",TRUE,89. which one would you choose as the most essential characteristics of a democracy?,TRUE,89 I would rather live under our system of government than any other that I can think of.,TRUE,"89 To you, what does “democracy” mean? (open-ended) <optional>",TRUE,NA,NA
q9,NA,5,NA,FALSE,Trust in the national government,TRUE,q9. The national government [in capital city],TRUE,9 National government in the capital city,TRUE,9 National government in the capital city,TRUE,9 National government in the capital city,TRUE,NA,NA
q90,NA,5,NA,FALSE,"Thinking of whether you voted or not ever since you became eligible for voting, how would you describe yourself-have you voted",TRUE,q90. In your opinion how much of a democracy is [Country Name] ?,TRUE,90. which one would you choose as the most essential characteristics of a democracy?,TRUE,"90 Would you say our system of government works fine as it is, needs minor change, needs major change, or should be replaced?",TRUE,"90 On the whole, how satisfied or dissatisfied are you with the way democracy works in the country?",TRUE,NA,NA
q92,NA,5,NA,FALSE,People often differ in their views on the characteristic that is essential to democracy. If you have to choose only one of the things,TRUE,q92. Where would you place our country ten years ago?,TRUE,"92 On the whole, how satisfied or dissatisfied are you with the way democracy works in the country?",TRUE,92 Politics is clean and free of corruption,TRUE,92 Where would you place our country under the present government?,TRUE,NA,NA
q93,NA,5,NA,FALSE,"On the whole, how satisfied or dissatisfied are you with the way democracy works in [country]?",TRUE,q93. Where would you want our country to be in the future?,TRUE,93. In your opinion how much of a democracy is the country?,TRUE,93 People have the freedom to take part in protests and demonstrations,TRUE,93 Where would you place our country ten years ago?,TRUE,NA,NA
q94,NA,5,NA,FALSE,In your opinion how much of a democracy is [country]?,TRUE,"q94. Here is a similar scale of 1 to 10 measuring the extent to which people think democracy is suitable for our country. If ""1"" means that democracy is completely unsuitable for [name of country] today and ""10"" means that it is completely suitable, where",TRUE,94 Where would you place our country under the present government?,TRUE,"94 When making laws, the government seek advice from religious authorities",TRUE,94 Where would you expect our country to be ten years from now?,TRUE,NA,NA
q95,NA,5,NA,FALSE,Where would you place our country during the period of [the name of the most recent government under authoritarian rule]?,TRUE,"q95. How satisfied or dissatisfied are you with the [name of president, etc. ruling current] government?  Are you …?",TRUE,95 Where would you place our country ten years ago?,TRUE,95 Political leaders rule by following their own wisdom rathan than people's preferences to ensure a society's collective welfare,TRUE,95 Where would you place our country today? Democracy is suitable or not,TRUE,q099; q099; q100; q100; q96,0.876; 0.876; 0.869; 0.869; 0.869
