concept,domain,description,w1_var,w1_scale,harmonized_name,harmonize_to,reverse_waves,notes
citizen_participation_duty,civic,Citizen not performing duty if doesn't participate,NA,NA,NA,NA,NA,W2+. 4pt agree-disagree. Civic duty measure
obey_laws_always,civic,Citizens should always obey laws even if disagree,NA,NA,NA,NA,NA,W2+. 4pt agree-disagree. Legal compliance/rule of law measure
country_loyalty,civic,Citizen should remain loyal to country no matter how imperfect,NA,NA,country_loyalty,4pt_1high,W2+,W2+. 4pt agree-disagree. Nationalism/patriotism measure
national_pride,identity,How proud to be a citizen of country,NA,NA,national_pride,4pt_1high,W2+,W2+. 4pt scale (1=Very proud to 4=Not proud at all). HIGHER=LESS proud
emigration_willingness,identity,Willingness to go live in another country,NA,NA,emigrate_willing,4pt_1high,W2+,W2+. 4pt scale (1=Very willing to 4=Not willing at all). HIGHER=LESS willing
trust_election_commission,trust,Trust in election commission,q017,4pt_0low,trust_elec_comm,4pt_1high,W4,W2-W5 newspaper/TV; W6 election commission - NOT comparable
impression_eu,external_impressions,,,,,,,
impression_un,external_impressions,,,,,,,
impression_imf,external_impressions,,,,,,,
impression_worldbank,external_impressions,,,,,,,
impression_usa,external_impressions,,,,,,,
impression_china,external_impressions,,,,,,,
impression_japan,external_impressions,,,,,,,
trust_ngos,trust,Trust in NGOs/civil society,q018,4pt_0low,trust_ngos,4pt_1high,W4,W2-W5 TV; W6 NGOs - W6 comparable only for institutional substitution
trust_television,trust,Trust in television,q016,4pt_1low,trust_television,NA,NA,W2. 4pt trust scale (1=None at all to 4=Great deal). W2 only - distinct media trust
trust_newspapers,trust,Trust in newspapers,q015,4pt_1low,NA,NA,NA,"W2. 4pt trust scale (1=None at all to 4=Great deal). Note: W2 q18 is newspapers, not NGOs"
trust_internet_news,trust,Trust in internet news,NA,NA,,,,
econ_country_past,economic,Country economy vs few years ago,q002,5pt_1worse,econ_country_past,5pt_1better,W4,All waves. Much better=1 to Much worse=5
org_member_any,social_capital,Member of any organization or group (binary),NA,NA,org_member_any,binary,none,W2 only. Binary yes/no question
org_member_1,social_capital,First most important organization belong to,NA,NA,org_import_1,categorical,none,W2 has 20 categories. W3-W6 have 21 categories. Categories mostly align
org_member_2,social_capital,Second most important organization,NA,NA,org_import_2,categorical,none,W2 has 20 categories. W3-W6 have 21 categories
org_member_3,social_capital,Third most important organization,NA,NA,org_import_3,categorical,none,W2 has 20 categories. W3-W6 have 21 categories
trust_gen_binary,social_capital,Most people can be trusted (binary/trichotomous),q024,3opt,trust_general_binary,binary,none,W1 has 3 options (both/it depends). W2-W4 binary. W5-W6 add it depends
gen_trust_binary,trust,Most people can be trusted (binary),NA,NA,gen_trust_bin,binary,none,W2-W5 only. W6 uses different question (q22 4pt scale)
trust_relatives,trust,Trust in relatives,NA,NA,trust_relatives,6pt_1high,none,W2-W3 and W5-W6. Missing W4
trust_neighbors,trust,Trust in neighbors,NA,NA,trust_neighbors,6pt_1high,none,W2-W3 and W5-W6. Missing W4
trust_others_interact,trust,Trust in people you interact with,NA,NA,trust_others,6pt_1high,none,W2-W3 and W5-W6. Missing W4
contact_frequency,social,People contacted in typical week,NA,NA,social_contacts,continuous,none,W2-W6. Count variable
trust_first_time,social_capital,Trust in people you meet for the first time,NA,NA,trust_first_time,4pt_1high,W5-W6,W2-W3 and W5-W6. Missing W4. W2-W3 (1=none→4=great deal) HIGHER=MORE. W5-W6 (1=fully→6=distrust) HIGHER=LESS. Must reverse W5-W6
trust_first_meet,trust,Trust in people you meet first time,NA,NA,trust_first_meet,6pt_1high,none,W2-W3 and W5-W6. Missing W4
difficult_problem_help,social,People to help with problems,NA,NA,social_support,ordinal,none,W2-W6. Ordinal scale (nobody/few/some/lot)
econ_country_future,economic,Country economy in few years,q003,5pt_1worse,econ_country_future,5pt_1better,W4,All waves
political_tolerance,social_capital,Difficulty conversing with those with different political views,NA,NA,political_tolerance,4pt_1high,yes_reverse,W2-W6. Four point from very hard to not hard at all. Higher=more tolerant so reverse code
voted_last_election,politics,Voted in last national election,q027,binary_1yes,voted,binary,none,All waves. Yes/No
which_party_voted,electoral,Which party or candidate voted for,q028,categorical,party_voted,categorical,none,All waves. Country-specific party codes. Not directly comparable across countries
econ_family_current,economic,Current family economic condition,q004,5pt_1bad,econ_family_now,5pt_1good,W4,All waves
attend_campaign,electoral,Attended campaign meeting or rally,q029,binary_2yes,attend_campaign,binary_1yes,W1-W2,All waves. W1-W2 (1=no 2=yes) vs W3-W6 (1=yes 2=no). W1-W2 need reversal
persuade_vote,electoral,Tried to persuade others to vote for candidate/party,q030,binary_2yes,persuade_vote,binary_1yes,W1-W2,W1-W3 and W6. Missing W4-W5. W1-W2 (1=no 2=yes) vs W3/W6 (1=yes 2=no). W1-W2 need reversal
work_for_party,electoral,Worked or helped party/candidate in campaign,q031,binary_2yes,work_party,binary_1yes,W1-W2,All waves. W1-W2 (1=no 2=yes) vs W3-W6 (1=yes 2=no). W1-W2 need reversal
election_free_fair,electoral,Assessment of election freeness and fairness,NA,NA,election_quality,4pt_1best,none,W2-W6. 4-point scale (1=completely free/fair to 4=not free/fair). W3 adds 5th option (free but unfair). Higher=worse quality
access_id_document,governance,How easy to obtain identity document service,NA,NA,NA,NA,NA,W4+ q39. 4pt (1=very difficult to 4=very easy). HIGHER=EASIER
access_school,governance,How easy to obtain place in public primary school,NA,NA,NA,NA,NA,W4+ q40. 4pt (1=very difficult to 4=very easy). HIGHER=EASIER
access_medical,governance,How easy to obtain medical treatment at clinic,NA,NA,NA,NA,NA,W4+ q41. 4pt (1=very difficult to 4=very easy). HIGHER=EASIER
access_police_help,governance,How easy to obtain help from police,NA,NA,NA,NA,NA,W4+ q42. 4pt (1=very difficult to 4=very easy). HIGHER=EASIER
interest_politics,politics,Interest in politics,q056,4pt_1low,pol_interest,4pt_1high,none,Variable numbers change but content consistent
econ_family_past,economic,Family economy vs few years ago,q005,5pt_1worse,econ_family_past,5pt_1better,W4,All waves
discuss_politics,political_interest,How often discuss political matters with family or friends,q023,5pt_1low,discuss_politics,3pt_1high,W1,Most waves. W1 (1=never to 5=very often) 5-point HIGHER=MORE. W2 (1=frequently to 3=never) 3-point HIGHER=LESS. W3-W6 (1=frequently to 3=never) HIGHER=LESS. Must reverse W1 only. Different scale lengths require careful harmonization
party_closeness,partisanship,Which party do you feel closest to,q062,categorical,party_id,categorical,none,All waves. Categorical variable with country-specific party codes. 90/99=no party. Codes vary by country - not directly comparable across countries but consistent concept
obey_parents_unreasonable,traditionalism,Children should obey parents even if unreasonable,q064,4pt_1trad,trad_obey_parents,4pt_1high,none,All waves. 1=Strongly agree to 4=Strongly disagree. Higher=less traditional
not_question_teacher,traditionalism,Students should not question teacher authority,NA,NA,trad_teacher_authority,4pt_1high,none,W2-W6. Hierarchical education
accommodate_neighbor,traditionalism,Accommodate neighbor in conflict,q066,4pt_1trad,trad_accommodate,4pt_1high,none,W1-W2 only. Conflict avoidance
not_insist_opinion_coworkers,traditionalism,Not insist on own opinion if coworkers disagree,q068,4pt_1trad,trad_conform_work,4pt_1high,none,All waves. Conformity/harmony over individual opinion
econ_family_future,economic,Family economy in few years,q006,5pt_1worse,econ_family_future,5pt_1better,W4,All waves
family_over_individual,traditionalism,Put family interests before individual,q069,4pt_1trad,trad_family_first,4pt_1high,none,All waves. Collectivism - family level
follow_own_beliefs,traditionalism,Follow own beliefs regardless of others,NA,NA,trad_individualism,4pt_1high,W2,W2 only. REVERSED - agreement=modern/individualistic. Need reversal
immediate_vs_longterm,traditionalism,Long-term relationship over immediate interest,NA,NA,trad_longterm,4pt_1high,none,W2-W6. Relational vs transactional orientation
internet_use_frequency_w2,internet,How often use internet (W2 version),NA,NA,NA,NA,NA,W2 only. 7pt scale (1=Several hours daily to 7=Never). HIGHER=LESS use. Different scale from W4+
trust_executive,trust,Trust in executive/president/PM,NA,NA,trust_exec,4pt_1high,W4,All waves present. W3/W5 use 6pt scale - need to collapse
contact_elected_officials,participation,Contacted elected officials or legislative representatives,q073,3pt_w1code,contact_officials,3pt_1high,none,All waves. 3-point scale (1=more than once 2=once 3=never). Some waves have 4-point version with willingness. HIGHER=LESS participation
trust_courts,trust,Trust in courts/judicial system,q007,4pt_0low,trust_courts,4pt_1high,W4,All waves present. W3/W5 need collapsing
contact_higher_officials,participation,Contacted government officials at higher level,q074,3pt_w1code,contact_higher_govt,3pt_1high,none,All waves. 3-point scale (1=more than once 2=once 3=never). HIGHER=LESS participation
contact_traditional_leaders,participation,Contacted traditional or community leaders,NA,NA,contact_traditional,3pt_1high,none,W2-W6. 3-point scale (1=more than once 2=once 3=never). HIGHER=LESS participation
contact_influential_people,participation,Contacted other influential people outside government,NA,NA,contact_influential,3pt_1high,none,W2-W6. 3-point scale (1=more than once 2=once 3=never). HIGHER=LESS participation
contact_media,participation,Contacted news media,q080,3pt_w1code,contact_media,3pt_1high,none,All waves. 3-point scale (1=more than once 2=once 3=never). HIGHER=LESS participation
collective_problem_solving,participation,Got together with others to resolve local problems,NA,NA,collective_action,3pt_1high,none,W2-W6. 3-point scale (1=more than once 2=once 3=never). HIGHER=LESS participation
petition_sign,participation,Got together to raise issue or sign petition,q084,3pt_w1code,sign_petition,3pt_1high,none,All waves. 3-point scale (1=more than once 2=once 3=never). HIGHER=LESS participation
attend_demonstration,participation,Attended demonstration or protest march,q087,3pt_w1code,attend_protest,3pt_1high,none,All waves. 3-point scale (1=more than once 2=once 3=never). HIGHER=LESS participation
use_force_violence,participation,Used force or violence for political cause,q095,3pt_w1code,use_force,3pt_1high,none,All waves. 3-point scale (1=more than once 2=once 3=never). HIGHER=LESS participation
trust_national_govt,trust,Trust in national government,q008,4pt_0low,trust_natl_govt,4pt_1high,W4,All waves present. This is KEY variable for Paper 5
satisfaction_democracy,democracy,Satisfaction with democracy,q098,4pt_1low,dem_satisfaction,4pt_1high,none,Variable numbers differ but content same
level_democracy,democracy,Level of democracy in country,NA,NA,dem_level,varies,none,Check scale per wave - may be 1-10 in some
democracy_scale_past,regime,Democracy scale for country 10 years ago,q099,10pt_1low,democracy_scale_past,10pt_1high,none,All waves. 10-point scale (1=completely undemocratic to 10=completely democratic). HIGHER=MORE democratic
democracy_scale_current,regime,Democracy scale for country now (1-10),q100,10pt_1low,democracy_scale_now,10pt_1high,none,All waves. 10-point scale (1=completely undemocratic to 10=completely democratic). HIGHER=MORE democratic
democracy_suitable,regime,Whether democracy is suitable for our country,q103,10pt_1low,democracy_suitable,10pt_1high,none,All waves. 10-point scale (1=completely unsuitable to 10=perfectly suitable). HIGHER=MORE suitable
govt_satisfaction,regime,Satisfaction with current government,q104,4pt_1low,govt_satisfaction,4pt_1high,none,All waves. 4-point scale (1=very satisfied to 4=very dissatisfied). HIGHER=LESS satisfied
subjective_social_status,demographics,Self-perceived social status (1-10 ladder),NA,NA,NA,NA,NA,W2+. 10pt ladder (1=Lowest to 10=Highest status). HIGHER=HIGHER status
urban_rural,demographics,Urban vs rural residence,level3,binary,urban,binary,none,Check exact variable names - may vary
year,identifiers,Survey year,NA,NA,survey_year,continuous,none,2006/2010/2014/2018/2022
