concept,domain,description,w1_var,w1_scale,w2_var,w2_scale,w3_var,w3_scale,w4_var,w4_scale,w5_var,w5_scale,w6_var,w6_scale,harmonized_name,harmonize_to,reverse_waves,notes,source,w1_label
concept_003,NA,"Even if parents' demands are unreasonable, chil...",NA,NA,q56,NA,q56,NA,q56,NA,q56,NA,q56,NA,concept_003_harm,NA,NA,Auto-generated from 5 waves (including W1 where present). REVIEW NEEDED.,auto-generated,NA
concept_004,NA,A person should not insist on his own opinion i...,NA,NA,q59,NA,q59,NA,q59,NA,q59,NA,q59,NA,concept_004_harm,NA,NA,Auto-generated from 5 waves (including W1 where present). REVIEW NEEDED.,auto-generated,NA
concept_005,NA,"For the sake of the family, the individual shou...",NA,NA,q60,NA,q60,NA,q60,NA,q60,NA,q60,NA,concept_005_harm,NA,NA,Auto-generated from 5 waves (including W1 where present). REVIEW NEEDED.,auto-generated,NA
concept_006,governance,Where would you place our country under the pre...,q100,NA,q100,NA,q100,NA,q100,NA,q100,NA,q100,NA,concept_006_harm,NA,NA,Auto-generated from 6 waves (including W1 where present). REVIEW NEEDED.,auto-generated,Where would you place our country under the present government?
concept_007,democracy,To what extent would you want our country to be...,q101,NA,q101,NA,q101,NA,q101,NA,q101,NA,q101,NA,concept_007_harm,NA,NA,Auto-generated from 6 waves (including W1 where present). REVIEW NEEDED.,auto-generated,To what extent would you want our country to be democratic now?
concept_008,other,Which comes closer to your own view?,q118,NA,q118,NA,q118,NA,q118,NA,q118,NA,q118,NA,concept_008_harm,NA,NA,Auto-generated from 6 waves (including W1 where present). REVIEW NEEDED.,auto-generated,Which comes closer to your own view?
concept_010,NA,q74a. Do you strongly agree or just agree with ...,NA,NA,NA,NA,q74a,NA,q74a,NA,q156a,NA,q156a,NA,concept_010_harm,NA,NA,Auto-generated from 4 waves (including W1 where present). REVIEW NEEDED.,auto-generated,NA
concept_011,NA,167 Which country should be a model for our own...,NA,NA,NA,NA,NA,NA,q167,NA,q167,NA,q167,NA,concept_011_harm,NA,NA,Auto-generated from 3 waves (including W1 where present). REVIEW NEEDED.,auto-generated,NA
concept_012,NA,168 How much influence does China have on our c...,NA,NA,NA,NA,NA,NA,q168,NA,q168,NA,q168,NA,concept_012_harm,NA,NA,Auto-generated from 3 waves (including W1 where present). REVIEW NEEDED.,auto-generated,NA
concept_013,NA,"169 General speaking, the influence China has o...",NA,NA,NA,NA,NA,NA,q169,NA,q169,NA,q169,NA,concept_013_harm,NA,NA,Auto-generated from 3 waves (including W1 where present). REVIEW NEEDED.,auto-generated,NA
concept_014,NA,170 How much influence does the United States h...,NA,NA,NA,NA,NA,NA,q170,NA,q170,NA,q170,NA,concept_014_harm,NA,NA,Auto-generated from 3 waves (including W1 where present). REVIEW NEEDED.,auto-generated,NA
concept_015,NA,"171 General speaking, the influence the United ...",NA,NA,NA,NA,NA,NA,q171,NA,q171,NA,q171,NA,concept_015_harm,NA,NA,Auto-generated from 3 waves (including W1 where present). REVIEW NEEDED.,auto-generated,NA
concept_016,NA,172 How close do you feel to ASEAN? (ASEAN coun...,NA,NA,NA,NA,NA,NA,q172,NA,q172,NA,q186,NA,concept_016_harm,NA,NA,Auto-generated from 3 waves (including W1 where present). REVIEW NEEDED.,auto-generated,NA
concept_017,NA,q21. Second Organization,NA,NA,NA,NA,q21,NA,q21,NA,q21,NA,q21,NA,concept_017_harm,NA,NA,Auto-generated from 4 waves (including W1 where present). REVIEW NEEDED.,auto-generated,NA
concept_018,NA,q22. Third Organization,NA,NA,NA,NA,q22,NA,q22,NA,q22,NA,q22,NA,concept_018_harm,NA,NA,Auto-generated from 4 waves (including W1 where present). REVIEW NEEDED.,auto-generated,NA
concept_020,NA,How would you describe the change in the econom...,NA,NA,q2,NA,q2,NA,q2,NA,q2,NA,q2,NA,concept_020_harm,NA,NA,Auto-generated from 5 waves (including W1 where present). REVIEW NEEDED.,auto-generated,NA
concept_022,NA,How would you compare the current economic cond...,NA,NA,q5,NA,q5,NA,q5,NA,q5,NA,q5,NA,concept_022_harm,NA,NA,Auto-generated from 5 waves (including W1 where present). REVIEW NEEDED.,auto-generated,NA
concept_026,NA,What do you think will be the state of our coun...,NA,NA,q3,NA,q3,NA,q3,NA,q3,NA,q3,NA,concept_026_harm,NA,NA,Auto-generated from 5 waves (including W1 where present). REVIEW NEEDED.,auto-generated,NA
concept_029,NA,What do you think the economic situation of you...,NA,NA,q6,NA,q6,NA,q6,NA,q6,NA,q6,NA,concept_029_harm,NA,NA,Auto-generated from 5 waves (including W1 where present). REVIEW NEEDED.,auto-generated,NA
concept_030,local_govt,"For the sake of the national community/society,...",q143,NA,q143,NA,q143,NA,q143,NA,q143,NA,q76,NA,concept_030_harm,NA,NA,Auto-generated from 6 waves (including W1 where present). REVIEW NEEDED.,auto-generated,"For the sake of the national community/society, the individual should be prepared to sacrifice his personal interest"
concept_031,governance; satisfaction,How satisfied or dissatisfied are you with the ...,q104,NA,q104,NA,q104,NA,q104,NA,q104,NA,q104,NA,concept_031_harm,NA,NA,Auto-generated from 6 waves (including W1 where present). REVIEW NEEDED.,auto-generated,How satisfied or dissatisfied are you with the current government?
concept_032,NA,How often do you follow news about politics and...,NA,NA,q50,NA,q50,NA,q50,NA,q50,NA,q50,NA,concept_032_harm,NA,NA,Auto-generated from 5 waves (including W1 where present). REVIEW NEEDED.,auto-generated,NA
concept_034,NA,How much impact do you feel government politics...,NA,NA,q53,NA,q53,NA,q53,NA,q53,NA,q53,NA,concept_034_harm,NA,NA,Auto-generated from 5 waves (including W1 where present). REVIEW NEEDED.,auto-generated,NA
concept_035,NA,How much trust do you have in your relatives?,NA,NA,q24,NA,q24,NA,q24,NA,q24,NA,q24,NA,concept_035_harm,NA,NA,Auto-generated from 5 waves (including W1 where present). REVIEW NEEDED.,auto-generated,NA
concept_041,NA,How interested would you say you are in politics,NA,NA,q49,NA,q49,NA,q49,NA,q49,NA,q49,NA,concept_041_harm,NA,NA,Auto-generated from 5 waves (including W1 where present). REVIEW NEEDED.,auto-generated,NA
concept_042,NA,Relation: The United Nations or UN,NA,NA,q157,NA,q157,NA,q157,NA,q157,NA,q157,NA,concept_042_harm,NA,NA,Auto-generated from 5 waves (including W1 where present). REVIEW NEEDED.,auto-generated,NA
concept_043,politics,A political leader should tolerate the views of...,q147,NA,q147,NA,q147,NA,q147,NA,q147,NA,q147,NA,concept_043_harm,NA,NA,Auto-generated from 6 waves (including W1 where present). REVIEW NEEDED.,auto-generated,A political leader should tolerate the views of those who challenge his political ideals
concept_046,corruption,anyone you know personally witnessed an act of ...,q116,NA,q116,NA,q116,NA,q116,NA,q116,NA,q116,NA,concept_046_harm,NA,NA,Auto-generated from 6 waves (including W1 where present). REVIEW NEEDED.,auto-generated,anyone you know personally witnessed an act of corruption?
concept_047,NA,Where would you place our country during the pe...,NA,NA,q95,NA,q95,NA,q95,NA,q95,NA,q95,NA,concept_047_harm,NA,NA,Auto-generated from 5 waves (including W1 where present). REVIEW NEEDED.,auto-generated,NA
concept_048,NA,Did you do anything else to help out or work fo...,NA,NA,q42,NA,q42,NA,q42,NA,q42,NA,q42,NA,concept_048_harm,NA,NA,Auto-generated from 5 waves (including W1 where present). REVIEW NEEDED.,auto-generated,NA
concept_051,NA,"When one has conflict with a neighbor, the best...",NA,NA,q58,NA,q58,NA,q58,NA,q58,NA,q58,NA,concept_051_harm,NA,NA,Auto-generated from 5 waves (including W1 where present). REVIEW NEEDED.,auto-generated,NA
concept_052,NA,160b It is the responsibility of the government...,NA,NA,NA,NA,NA,NA,NA,NA,q160b,NA,q160b,NA,concept_052_harm,NA,NA,Auto-generated from 2 waves (including W1 where present). REVIEW NEEDED.,auto-generated,NA
concept_055,NA,156_1 Our country should do more to learn from ...,NA,NA,NA,NA,NA,NA,NA,NA,q156_1,NA,q156_1,NA,concept_055_harm,NA,NA,Auto-generated from 2 waves (including W1 where present). REVIEW NEEDED.,auto-generated,NA
concept_056,politics,The most important thing for a political leader...,q145,NA,q145,NA,q145,NA,q145,NA,q145,NA,q145,NA,concept_056_harm,NA,NA,Auto-generated from 6 waves (including W1 where present). REVIEW NEEDED.,auto-generated,The most important thing for a political leader is to accomplish his goals even if he has to ignore the established proc
